,id,created_at,text,clean_text,cleaned_word_list
0,1235369438335074307,2020-03-05 01:00:00,"b'Therapist: ""Describe your last relationship in 5 words."" \nMe: \n\nA new episode of @CatfishMTV starts right now on MT\xe2\x80\xa6 https://t.co/Pk2BYV1bFu'",therapist   describe your last relationship in   words         new episode of   starts right now on mt     ,therap describ last rel word new episod start right mt
1,1235364342234824705,2020-03-05 00:39:45,b'It\xe2\x80\x99s the most dangerous Challenge ever... and this twist makes sure NO ONE is safe! \xf0\x9f\x92\xa5 \n\nDon\xe2\x80\x99t miss the\xe2\x80\xa6 https://t.co/nJg8nfxUpG',it    the most dangerous challenge ever    and this twist makes sure no one is safe             miss the     ,dang challeng ev twist mak sur on saf miss
2,1235361886020878336,2020-03-05 00:30:00,"b'Here to say: I miss + love @Maisie_Williams so much, AND SHE SLAYED PARIS FASHION WEEK. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/Cor8S4RFhO'",here to say  i miss   love   so much  and she slayed paris fashion week          ,say miss lov much slay par fash week
3,1235341556489555968,2020-03-04 23:09:13,"b'RT @ChallengeMTV: It\xe2\x80\x99s the most dangerous Challenge we\xe2\x80\x99ve ever had and this twist makes sure NO ONE is safe! \xf0\x9f\x92\xa5 Premiering Wednesday, April\xe2\x80\xa6'",rt    it    the most dangerous challenge we    ever had and this twist makes sure no one is safe       premiering wednesday  april   ,rt dang challeng ev twist mak sur on saf premy wednesday april
4,1235339236787642368,2020-03-04 23:00:00,"b""I'm so, so excited for @ddlovato to give us #ILoveMe. She's incredible. Send tweet. https://t.co/vm14p0lpaL""",i m so  so excited for   to give us    she s incredible  send tweet   ,excit giv us incred send tweet
5,1235335584178196481,2020-03-04 22:45:29,b'@euryan01 BIIIIIIG fan of this song. Immediate add. Yes. \xf0\x9f\x94\xa5',  biiiiiig fan of this song  immediate add  yes      ,biiiiiig fan song immedy ad ye
6,1235335327608377346,2020-03-04 22:44:28,"b""@bbkuwonus when I logged onto TW today I wasn't expecting to get TOTALLY SERVED!! OKAY CECE!!""",  when i logged onto tw today i wasn t expecting to get totally served   okay cece  ,log onto tw today expect get tot serv okay cec
7,1235334833389400069,2020-03-04 22:42:30,b'@Vchito__ the video?? INCREDIBLE.',  the video   incredible ,video incred
8,1235334786371268609,2020-03-04 22:42:19,b'@vandergizhii without a doubt \xf0\x9f\x91\x8f',  without a doubt     ,without doubt
9,1235334741471170560,2020-03-04 22:42:08,b'@kissy_Styless ^^ greattttt choices! \xf0\x9f\x92\x95',     greattttt choices      ,greatttt cho
10,1235334673712197641,2020-03-04 22:41:52,b'@pmscontent AMYA YESSSSS. A personal favorite.',  amya yesssss  a personal favorite ,amy yesssss person favorit
11,1235334468656865281,2020-03-04 22:41:03,b'@EliezerPizzarr1 ohmygoshhh I forgot how much I LOVE THIS SONG. Yes this is 100% going on my weekend playlists. \xf0\x9f\x94\xa5',  ohmygoshhh i forgot how much i love this song  yes this is      going on my weekend playlists      ,ohmygoshhh forget much lov song ye go weekend playl
12,1235334082923581440,2020-03-04 22:39:31,b'@ROSEYCAWN_XO a certified J A M \xf0\x9f\x92\x83\xf0\x9f\x94\xa5',  a certified j a m         ,cert
13,1235332202449248262,2020-03-04 22:32:03,b'@appIause this song is ALWAYSSS stuck in my head!!! (and I love it)',  this song is alwaysss stuck in my head     and i love it ,song alwaysss stick head lov
14,1235330964571729926,2020-03-04 22:27:07,b'@MiallHoran9 ^^^ a guaranteed party-starter!!!',      a guaranteed party starter   ,guarantee party start
15,1235330877837783046,2020-03-04 22:26:47,b'@styles_hayes A perfect addition to ANY playlist!!!! \xf0\x9f\x98\x8d',  a perfect addition to any playlist         ,perfect addit playl
16,1235330786292895753,2020-03-04 22:26:25,b'@dcsnewgods oooo a ~throwback~',  oooo a  throwback ,oooo throwback
17,1235330621305696256,2020-03-04 22:25:46,b'@blindzabdiel YES Jelani YES \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f',  yes jelani yes         ,ye jelan ye
18,1235330568067395586,2020-03-04 22:25:33,b'@LOV3KUWONU ^^^ this 1000% is a definite',      this       is a definite,definit
19,1235324137792364544,2020-03-04 22:00:00,"b'.@NevSchulman and @TheRealKamie try to find out who Jaquan really is, but they hit a MAJOR road\xf0\x9d\x92\x83\xf0\x9d\x92\x8d\xf0\x9d\x92\x90\xf0\x9d\x92\x84\xf0\x9d\x92\x8c. \xf0\x9f\x98\xb0\n\nSee what h\xe2\x80\xa6 https://t.co/8pBljYGTgy'",   and   try to find out who jaquan really is  but they hit a major road                             what h     ,try find jaqu real hit maj road
20,1235321792371339266,2020-03-04 21:50:41,b'What song is a must-add to your weekend playlists? \xf0\x9f\x94\xa5\xf0\x9f\x8e\x89',what song is a must add to your weekend playlists          ,song must ad weekend playl
21,1235310050635374593,2020-03-04 21:04:01,"b'RT @MTVNEWS: Megan @TheeStallion revealed that she and her label are at odds over her contract, and she alleges that her label tried to pro\xe2\x80\xa6'",rt    megan   revealed that she and her label are at odds over her contract  and she alleges that her label tried to pro   ,rt meg rev label od contract alleg label tri pro
22,1235309037971005440,2020-03-04 21:00:00,"b""Who's most likely to spill a spoiler?? @JazSinclair and Lachlan Watson from @sabrinanetflix spilled the tea on thei\xe2\x80\xa6 https://t.co/MkisdLzujG""",who s most likely to spill a spoiler     and lachlan watson from   spilled the tea on thei     ,lik spil spoil lachl watson spil tea the
23,1235296925223657476,2020-03-04 20:11:52,"b'@JoeyKing I\xe2\x80\x99d nervous fart, most likely'",  i    nervous fart  most likely,nerv fart lik
24,1235296806319292417,2020-03-04 20:11:23,b'RT @JoeyKing: Fart and walk away',rt    fart and walk away,rt fart walk away
25,1235292963175096322,2020-03-04 19:56:07,b'@adoreyouarreaga ^^ can confirm: me as well. \xf0\x9f\x92\x95',     can confirm  me as well      ,confirm wel
26,1235292855914188801,2020-03-04 19:55:42,b'@lucyejdixon of course Lucy!!! you know how much I love to spread Tom Holland cheer!!!',  of course lucy    you know how much i love to spread tom holland cheer   ,cours lucy know much lov spread tom holland che
27,1235292780097921026,2020-03-04 19:55:24,b'@s_prevot will I frame these pics? \n\nyes',  will i frame these pics    ,fram pic
28,1235292713500766210,2020-03-04 19:55:08,"b""@danavedmankina this one's for u, dana \xf0\x9f\x92\x96""",  this one s for u  dana     ,on dan
29,1235292627827912712,2020-03-04 19:54:47,b'@BleedingHeart_A YOU \nARE \nSO \nVERY \nWELCOME',  you        ,
30,1235292333559762946,2020-03-04 19:53:37,b'@pancakekissy tysm... just giving the people what they want. \xf0\x9f\x92\x9e',  tysm    just giving the people what they want      ,tysm giv peopl want
31,1235292277121183744,2020-03-04 19:53:24,b'@claudeghanimeh A king!!!!!!',  a king      ,king
32,1235292238969741312,2020-03-04 19:53:15,"b'@intohules YES, yes we do. \xf0\x9f\x98\x8c'",  yes  yes we do      ,ye ye
33,1235292184565420037,2020-03-04 19:53:02,b'@juliaftcara I \xe2\x9d\xa4\xef\xb8\x8f U 2 BB!!!!!',  i        u   bb     ,bb
34,1235292084875202562,2020-03-04 19:52:38,"b""YES QUEEN KATY. I'M READY FOR THIS. \xf0\x9f\x98\xa9\xf0\x9f\x92\x95 https://t.co/D99wuS66Tg""",yes queen katy  i m ready for this            ,ye queen katy ready
35,1235291793606012930,2020-03-04 19:51:28,b'.@BTS_twt gave us powerful \xf0\x9d\x91\xbd\xf0\x9d\x91\xb0\xf0\x9d\x91\xba\xf0\x9d\x91\xbc\xf0\x9d\x91\xa8\xf0\x9d\x91\xb3\xf0\x9d\x91\xba and incredible \xf0\x9d\x91\xaa\xf0\x9d\x91\xaf\xf0\x9d\x91\xb6\xf0\x9d\x91\xb9\xf0\x9d\x91\xac\xf0\x9d\x91\xb6 in their #BlackSwanMV!! \xf0\x9f\x94\xa5 https://t.co/sRsXN0gWIH',   gave us powerful                              and incredible                          in their           ,gav us pow incred
