,id,created_at,text,clean_text,cleaned_word_list
0,1235328641275441152,2020-03-04 22:17:54,"b""@MatthewGnyc Hi Matthew. Please visit the Facebook Business Page for assistance with what you're experiencing while\xe2\x80\xa6 https://t.co/729OUCMh4r""",  hi matthew  please visit the facebook business page for assistance with what you re experiencing while     ,hi matthew pleas visit facebook busy pag assist expery
1,1235328160939544582,2020-03-04 22:15:59,b'@alldayelong Hi Kasey. You can reach out to the Facebook Business Page regarding the charges on your ad account her\xe2\x80\xa6 https://t.co/x9yhmJFuZ4',  hi kasey  you can reach out to the facebook business page regarding the charges on your ad account her     ,hi kasey reach facebook busy pag regard charg ad account
2,1235011268613832704,2020-03-04 01:16:46,"b""@barnetlad23 Hi there. If you're having trouble receiving a code to verify your account, you can request a new one.\xe2\x80\xa6 https://t.co/Vn8EYbKZbg""",  hi there  if you re having trouble receiving a code to verify your account  you can request a new one      ,hi troubl receiv cod ver account request new on
3,1235011046449938434,2020-03-04 01:15:53,"b""@Srk_Poet Hi Sharukh. If something isn't working on Facebook, please report it to us by filling out this form: https://t.co/rAFjFP5M8Y. -KY""",  hi sharukh  if something isn t working on facebook  please report it to us by filling out this form     ky,hi sharukh someth work facebook pleas report us fil form ky
4,1234965086503989248,2020-03-03 22:13:15,b'RT @WhatsApp: Finally. Dark mode on WhatsApp. #DarkMode https://t.co/o4Ee5H7qpW',rt    finally  dark mode on whatsapp     ,rt fin dark mod whatsap
5,1234562958509756416,2020-03-02 19:35:21,b'@Druiz1 Hello Drew. Thank you for reaching out. You can visit our Help Center to request a review of the unpublishe\xe2\x80\xa6 https://t.co/dE9k87bGmB',  hello drew  thank you for reaching out  you can visit our help center to request a review of the unpublishe     ,hello draw thank reach visit help cent request review unpubl
6,1234545927915835392,2020-03-02 18:27:40,b'Messenger is about to get a lot faster. Today we\xe2\x80\x99re starting to roll out a brand new @messenger for iOS. https://t.co/Fl5svWD9kv',messenger is about to get a lot faster  today we    starting to roll out a brand new   for ios   ,messeng get lot fast today start rol brand new io
7,1234544543782952961,2020-03-02 18:22:10,b'@prateekag1 Hi Prateek. Thank you for reaching out. Please visit our Help Center for further assistance with your a\xe2\x80\xa6 https://t.co/gOvLy7hA9o',  hi prateek  thank you for reaching out  please visit our help center for further assistance with your a     ,hi prateek thank reach pleas visit help cent assist
8,1233421502566948865,2020-02-28 15:59:36,"b""@sydneyann111 We're so happy you're learning more about growing your business with Facebook. Be sure to reach out t\xe2\x80\xa6 https://t.co/BmFATzVHPu""",  we re so happy you re learning more about growing your business with facebook  be sure to reach out t     ,happy learn grow busy facebook sur reach
9,1233419994727190528,2020-02-28 15:53:37,b'@asr_india We\xe2\x80\x99re so happy that you love using our reactions feature. Great ideas from community members like you he\xe2\x80\xa6 https://t.co/CRPh6dnPQQ',  we    so happy that you love using our reactions feature  great ideas from community members like you he     ,happy lov us react feat gre idea commun memb lik
10,1233419784743604224,2020-02-28 15:52:47,"b'@JeremyJBravo We appreciate this, Jeremy.\xc2\xa0Helping our community raise money for one another is something\xc2\xa0we love to\xe2\x80\xa6 https://t.co/g0BGAHdVLp'",  we appreciate this  jeremy    our community raise money for one another is something   love to     ,apprecy jeremy commun rais money on anoth someth lov
11,1233110283708583936,2020-02-27 19:22:56,"b'@SouvikJ04429109 Hi there. If you think your account has been disabled by mistake, please visit our Help Center for\xe2\x80\xa6 https://t.co/yee8J4Utbu'",  hi there  if you think your account has been disabled by mistake  please visit our help center for     ,hi think account dis mistak pleas visit help cent
12,1232708576319176705,2020-02-26 16:46:41,"b'@4ur3liad @VEkpuk ""My work is a true reflection of my experiences and a way for me to relate to my audience - I wan\xe2\x80\xa6 https://t.co/WzfPBeZknH'",     my work is a true reflection of my experiences and a way for me to relate to my audience   i wan     ,work tru reflect expery way rel audy wan
13,1232457641856622597,2020-02-26 00:09:34,b'@SultanAlaodeh Hi there. We understand your frustration. You can find additional support for a disabled account her\xe2\x80\xa6 https://t.co/otPXRC9oTG',  hi there  we understand your frustration  you can find additional support for a disabled account her     ,hi understand frust find addit support dis account
14,1232457041966354432,2020-02-26 00:07:11,"b'@kchitiz950 Hi there. If you no longer have access to your phone and you need help logging in, here are some other\xe2\x80\xa6 https://t.co/qpDhvppfUT'",  hi there  if you no longer have access to your phone and you need help logging in  here are some other     ,hi long access phon nee help log
15,1232438077353680896,2020-02-25 22:51:49,b'@sajidbubere Hi Sajid. You can reach out to the Facebook Business Page regarding your hacked Page here: https://t.co/WqYhs5Urtf. -KY',  hi sajid  you can reach out to the facebook business page regarding your hacked page here     ky,hi sajid reach facebook busy pag regard hack pag ky
16,1232437924827783170,2020-02-25 22:51:13,"b'@abdlkaderchamma Hi there. If you\xe2\x80\x99d like to update your notification settings, you can do so by following these ste\xe2\x80\xa6 https://t.co/hMvxDBwQwe'",  hi there  if you    like to update your notification settings  you can do so by following these ste     ,hi lik upd not set follow ste
17,1232437833505239040,2020-02-25 22:50:51,b'@JStavole Hi Joe. We first recommend updating to the newest version of the app or using a different browser. If you\xe2\x80\xa6 https://t.co/9eWccsGbhA',  hi joe  we first recommend updating to the newest version of the app or using a different browser  if you     ,hi joe first recommend upd newest vert ap us diff brows
