,id,created_at,text,clean_text,cleaned_word_list
0,1235387657368121347,2020-03-05 02:12:24,b'when ure so tired from working nonstop u end up spray painting your whip \xf0\x9f\xa4\xaa\xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\x92\x9e https://t.co/NzKbpXyWh3',when ure so tired from working nonstop u end up spray painting your whip                        ,ur tir work nonstop end spray paint whip
1,1235316502544502786,2020-03-04 21:29:39,b'GAGAVISION - EPISODE 47\nhttps://t.co/KnQq3qQ0uy\n\n\xe2\x80\x9cSTUPID LOVE\xe2\x80\x9d OUT NOW: https://t.co/hLtxNC0TRY \n\n#StupidLove\xe2\x80\xa6 https://t.co/TuhJJ73TIv',gagavision   episode       t co knqq qq uy      love    out now            ,gagavid episod co knqq qq uy lov
2,1235288787573407751,2020-03-04 19:39:32,b'RT @gagadaily: s\xe1\xb4\x9b\xca\x80\xe1\xb4\x87\xe1\xb4\x80\xe1\xb4\x8d  \xf0\x9f\x92\x95\n          \xf0\x9f\x92\x95\n \xe3\x80\x80\xf0\x9f\x92\x95\n  \xf0\x9f\x92\x95\n \xf0\x9f\x92\x95\n \xf0\x9f\x92\x95\n  \xf0\x9f\x92\x95\n    \xf0\x9f\x92\x95\n \xe3\x80\x80  \xf0\x9f\x92\x95\n \xe3\x80\x80 \xe3\x80\x80\xf0\x9f\x92\x95\n   \xe3\x80\x80\xe3\x80\x80 \xf0\x9f\x92\x95\n  \xe3\x80\x80 \xe3\x80\x80  \xf0\x9f\x92\x95 s\xe1\xb4\x9b\xe1\xb4\x9c\xe1\xb4\x98\xc9\xaa\xe1\xb4\x85\n  \xe3\x80\x80\xe3\x80\x80   \xf0\x9f\x92\x95\n  \xe3\x80\x80     \xf0\x9f\x92\x95\n \xe3\x80\x80    \xf0\x9f\x92\x95\n       \xf0\x9f\x92\x95\n \xe3\x80\x80\xf0\x9f\x92\x95\xe2\x80\xa6',rt    s                                                                                                                                       s                                                                                  ,rt
3,1235112167726133248,2020-03-04 07:57:42,b'and this is why I make music https://t.co/uiliyr3sYk',and this is why i make music  ,mak mus
4,1234622847827333121,2020-03-02 23:33:19,b'\xe2\x80\x9cSTUPID LOVE\xe2\x80\x9d MERCH AVAILABLE NOW\nhttps://t.co/MltBcEkKF1 \n#StupidLove #Chromatica https://t.co/kUzJJVgZDb',    love    merch available now    t co mltbcekkf        ,lov merch avail co mltbcekkf
5,1234524574802333698,2020-03-02 17:02:49,"b'Welcome to \xe2\x80\x9cChromatica\xe2\x80\x9d, coming April 10. Pre-order now \xe2\x9a\x94\xef\xb8\x8f\xf0\x9f\x92\x93 https://t.co/GjJUC3PRWz\n\nThis is not the album cover bu\xe2\x80\xa6 https://t.co/0LjbMR05Fn'",welcome to         coming april     pre order now                is not the album cover bu     ,welcom com april pre ord alb cov bu
6,1234223456335450112,2020-03-01 21:06:17,b'\xf0\x9f\xa4\xa9 @applemusic #NewMusicDaily https://t.co/aC2wVodMGZ https://t.co/66GJP5mXm1',            ,
7,1234207149418373120,2020-03-01 20:01:29,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b\xf0\x9f\x92\x9a\xf0\x9f\x92\x99\xf0\x9f\x96\xa4\xf0\x9f\x92\x96 #stupidlove https://t.co/hLtxNCiuJw https://t.co/hLFO5Br5Mf',                                ,
8,1233875067706019840,2020-02-29 22:01:55,b'RT @BTWFoundation: Thank you for 8 incredible years! Sign up here to be part of what\xe2\x80\x99s next: https://t.co/e3SOdDD6j6 #BTWFanniversary https\xe2\x80\xa6',rt    thank you for   incredible years  sign up here to be part of what    next      https   ,rt thank incred year sign part next https
9,1233526534641614853,2020-02-28 22:56:58,"b'This girl couldn\xe2\x80\x99t be happier to see #StupidLove celebrated in my favorite city in the world. Love u NYC, and thank\xe2\x80\xa6 https://t.co/pDXxCq0ZEy'",this girl couldn    be happier to see   celebrated in my favorite city in the world  love u nyc  and thank     ,girl happy see celebr favorit city world lov nyc thank
10,1233525975708622848,2020-02-28 22:54:45,b'#StupidLove in Toronto \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 Thank u @AmazonMusic https://t.co/cwhhkuICyp https://t.co/ZsNcJAM39M',  in toronto          thank u      ,toronto thank
11,1233525540100796416,2020-02-28 22:53:01,b'#StupidLove in LA \xf0\x9f\x92\x97 Listen on @Spotify #NMF https://t.co/IHZwMMLnIL https://t.co/pjelcyEzjI',  in la      listen on        ,la list
12,1233523818032840704,2020-02-28 22:46:10,b'Thank u @AppleMusic \xf0\x9f\xa5\xb0 Listen to #StupidLove on the #NewMusicDaily playlist! \xe2\x9d\xa3\xef\xb8\x8f https://t.co/aC2wVodMGZ https://t.co/rVTpsObbm6',thank u        listen to   on the   playlist            ,thank list playl
13,1233256476614877184,2020-02-28 05:03:51,b'\xe2\x80\x9cSTUPID LOVE\xe2\x80\x9d\nTHE NEW SINGLE &amp; MUSIC VIDEO\nOUT NOW: https://t.co/hLtxNCiuJw\n#StupidLove #ShotOniPhone https://t.co/QLF3Cx1mcw',    love     new single  amp  music video  now         ,lov new singl amp mus video
14,1233244554976849921,2020-02-28 04:16:29,b'earth is cancelled',earth is cancelled,ear cancel
15,1233243956483215360,2020-02-28 04:14:06,"b'My single and music video are dropping in 45 minutes. Don\xe2\x80\x99t mind me, I\xe2\x80\x99ll just be in the corner breathing into a pa\xe2\x80\xa6 https://t.co/nLjhFjeb4L'",my single and music video are dropping in    minutes  don    mind me  i    just be in the corner breathing into a pa     ,singl mus video drop minut mind corn breath pa
16,1233121910931615744,2020-02-27 20:09:08,b'\xe2\x80\x9cSTUPID LOVE\xe2\x80\x9d \n9 HOURS \n#LG6 \n#ShotOniPhone https://t.co/ZMdoy3jGDG',    love      hours        ,lov hour
17,1233069746091786240,2020-02-27 16:41:51,b'\xe2\x80\x9cSTUPID LOVE\xe2\x80\x9d \nMIDNIGHT ET TONIGHT \n#LG6 \xe2\x9d\xa3\xef\xb8\x8f https://t.co/YAjT4dS98J',    love      et tonight            ,lov et tonight
18,1232900786486558720,2020-02-27 05:30:28,b'\xe2\x80\x9cSTUPID LOVE\xe2\x80\x9d \nTHE SINGLE &amp; MUSIC VIDEO \nOUT FRIDAY 2/28 AT MIDNIGHT ET https://t.co/nLWI3LXCHe',    love      single  amp  music video   friday      at midnight et  ,lov singl amp mus video friday midnight et
19,1232735454992068608,2020-02-26 18:33:30,"b'\xe2\x80\x9cSTUPID LOVE\xe2\x80\x9d\n2/28, midnight ET \xe2\x9d\xa3\xef\xb8\x8f\n#LG6 https://t.co/nF8A8dj5jO'",    love         midnight et           ,lov midnight et
20,1232347823787560960,2020-02-25 16:53:11,b'\xe2\x80\x9cSTUPID LOVE\xe2\x80\x9d\nTHE NEW SINGLE BY LADY GAGA \nOUT FRIDAY AT MIDNIGHT ET \n#LG6 https://t.co/lu4zDqlepm',    love     new single by lady gaga   friday at midnight et     ,lov new singl lady gag friday midnight et
21,1230963590242304000,2020-02-21 21:12:44,b'Feelin like a REBEL \xf0\x9f\xa4\x98\n\nAvailable now on @amazon https://t.co/Z4CroBYbXJ https://t.co/RVaCBX9nXp',feelin like a rebel        now on      ,feelin lik rebel
22,1229980851129110528,2020-02-19 04:07:41,b'Thank you to all monsters and little monsters who supported @hauslabs Le Monster Lip Crayon today. I love that it\xe2\x80\x99s\xe2\x80\xa6 https://t.co/GSSauUP3Rc',thank you to all monsters and little monsters who supported   le monster lip crayon today  i love that it        ,thank monst littl monst support le monst lip crayon today lov
23,1229835579560316928,2020-02-18 18:30:26,b'I wore @hauslabs LE MONSTER MATTE LIP CRAYON on stage in Miami and I wear this shade all the time in my daily life.\xe2\x80\xa6 https://t.co/HPfZK4PnCu',i wore   le monster matte lip crayon on stage in miami and i wear this shade all the time in my daily life      ,wor le monst mat lip crayon stag miam wear shad tim dai lif
24,1228334875482001410,2020-02-14 15:07:10,b'Celebrating Valentine\xe2\x80\x99s Day wearing this badass ring designed by my friend @BAkerlund for @klarna. As we celebrate\xe2\x80\xa6 https://t.co/i4rjx6HDzT',celebrating valentine    day wearing this badass ring designed by my friend   for    as we celebrate     ,celebr valentin day wear badass ring design friend celebr
25,1228046754655850496,2020-02-13 20:02:16,b'\xf0\x9f\xa4\x98 https://t.co/9I33BfgCSY https://t.co/jtWrjg5tpl',        ,
26,1228003079749943297,2020-02-13 17:08:44,b'Le Monster Matte Lip Crayon drops on @hauslabs (https://t.co/lfX4GLwMiF) &amp; https://t.co/u2QQBCGZpN on 2/18. PUT YOUR FUCKING PAWS UP \xf0\x9f\x92\x8b',le monster matte lip crayon drops on       amp    on       put your fucking paws up     ,le monst mat lip crayon drop amp put fuck paw
27,1228002860014555136,2020-02-13 17:07:51,"b""We created this product (and 11 MORE SHADES) for my biggest fans. I've been testing this for a long time (like in M\xe2\x80\xa6 https://t.co/tRUoQewVFy""",we created this product  and    more shades  for my biggest fans  i ve been testing this for a long time  like in m     ,cre produc shad biggest fan test long tim lik
28,1226938105438978048,2020-02-10 18:36:54,b'.@hauslabs is on @amazon\xe2\x80\x99s Deal of the Day today! That means lots of special prices on the products I use every day\xe2\x80\xa6 https://t.co/VieEBH0UHz',   is on      deal of the day today  that means lots of special prices on the products i use every day     ,deal day today mean lot spec pric produc us every day
29,1224835742888685569,2020-02-04 23:22:52,b'Loved performing in Miami \xf0\x9f\x8f\x9d What an amazing weekend. Wore something new on the red carpet\xe2\x80\xa6 \xf0\x9f\x98\x89 @hauslabs https://t.co/JXSgo0NtgZ',loved performing in miami      what an amazing weekend  wore something new on the red carpet            ,lov perform miam amaz weekend wor someth new red carpet
30,1224511295472291840,2020-02-04 01:53:37,"b""RT @ItsOnATT: IT'S SHOWTIME! #ATTtv #SuperSaturdayNight replay right here. Right now.  https://t.co/XTIOClZiRN""",rt    it s showtime      replay right here  right now    ,rt showtim replay right right
31,1224510473510408192,2020-02-04 01:50:21,b'All thanks to you Monsters \xf0\x9f\x98\x98 Replay up now #SuperSaturdayNight https://t.co/qIsQWNrNTl',all thanks to you monsters      replay up now    ,thank monst replay
32,1224207726072356864,2020-02-03 05:47:21,b'If you missed my #SuperSaturdayNight performance last night you can watch it again here tomorrow at 9am ET \xf0\x9f\x98\x8e https://t.co/SCbiR7fY4j #ATTtv',if you missed my   performance last night you can watch it again here tomorrow at  am et         ,miss perform last night watch tomorrow et
33,1224142846267138048,2020-02-03 01:29:32,b'. @JLo and @shakira and all the special guests were so incredible!!! What a fun halftime show I danced and smiled t\xe2\x80\xa6 https://t.co/5CvMhtrRkI',    and   and all the special guests were so incredible    what a fun halftime show i danced and smiled t     ,spec guest incred fun halftim show dant smil
34,1223682486263107584,2020-02-01 19:00:14,"b'Every time you tweet tonight using the hashtag #SuperSaturdayNight and RT this message, #ATTtv will donate $1 (up t\xe2\x80\xa6 https://t.co/yELdk0RKkj'",every time you tweet tonight using the hashtag   and rt this message    will donate     up t     ,every tim tweet tonight us hasht rt mess don
35,1223637189499600897,2020-02-01 16:00:14,"b'#SuperSaturdayNight is here \xf0\x9f\x8c\xb4 Stream it tonight at 11pm ET, RSVP here https://t.co/SCbiR7fY4j #ATTtv #ad'",  is here      stream it tonight at   pm et  rsvp here      ,stream tonight pm et rsvp
36,1222989814045134848,2020-01-30 21:07:48,"b'RT @hauslabs: We\xe2\x80\x99re bringing back some of your favorite sets and an ALL-NEW one just in time for your V-DAY glam! Limited quantities, so ch\xe2\x80\xa6'",rt    we    bringing back some of your favorite sets and an all new one just in time for your v day glam  limited quantities  so ch   ,rt bring back favorit set new on tim day glam limit quant ch
37,1222030424739704832,2020-01-28 05:35:32,b'Thinking of Kobe Bryant and his family. I\xe2\x80\x99m praying for their healing and the reincarnation of their joy. Such a tr\xe2\x80\xa6 https://t.co/GO0OGZAscn',thinking of kobe bryant and his family  i    praying for their healing and the reincarnation of their joy  such a tr     ,think kob bry famy pray heal reincarn joy tr
38,1221149288706609152,2020-01-25 19:14:12,b'My performance at #SuperSaturdayNight is a week away \xf0\x9f\x8e\xa4 watch live on @ItsOnATT #ad https://t.co/pOfids5WKY',my performance at   is a week away      watch live on      ,perform week away watch liv
39,1220142182595620865,2020-01-23 00:32:20,b'can y\xe2\x80\x99all stop https://t.co/1jvZLdY6jV',can y    stop  ,stop
40,1218239620330086405,2020-01-17 18:32:13,b'RT @hauslabs: ENTER NOW via our latest post on Instagram #HAUSCALL &gt; https://t.co/b0Kl5c9NFn https://t.co/T2CW4NmREy',rt    enter now via our latest post on instagram    gt     ,rt ent via latest post instagram gt
41,1216101829584359424,2020-01-11 20:57:24,"b'Thank you @Oprah for caring, and for helping bring light to the mental health crisis happening around the world. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/BMbq9U473H'",thank you   for caring  and for helping bring light to the mental health crisis happening around the world          ,thank car help bring light ment heal cris hap around world
