,id,created_at,text,clean_text,cleaned_word_list
0,1235434894328770560,2020-03-05 05:20:06,"b'The man accused of being the Golden State Killer has offered to plead guilty in exchange for a life sentence, court\xe2\x80\xa6 https://t.co/ZHDutQMNSp'",the man accused of being the golden state killer has offered to plead guilty in exchange for a life sentence  court     ,man accus gold stat kil off plead guil exchang lif send court
1,1235430111194664960,2020-03-05 05:01:06,"b'A New Hampshire man with flu-like symptoms was asked to avoid contact with other people. Instead, he went to a part\xe2\x80\xa6 https://t.co/CQRdsMIa7t'",a new hampshire man with flu like symptoms was asked to avoid contact with other people  instead  he went to a part     ,new hampshir man flu lik symptom ask avoid contact peopl instead go part
2,1235424813956485126,2020-03-05 04:40:03,b'The top 2 leaders at United Airlines announced plans to cut international service in April by about 20% and domesti\xe2\x80\xa6 https://t.co/vXlYAj412H',the top   leaders at united airlines announced plans to cut international service in april by about     and domesti     ,top lead unit airlin annount plan cut intern serv april domest
3,1235419777713295367,2020-03-05 04:20:02,b'The former U.N. secretary general Javier P\xc3\xa9rez de Cu\xc3\xa9llar has died at 100 https://t.co/DctQDKopal',the former u n  secretary general javier p   de cu   has died at      ,form secret gen javy de cu die
4,1235417258823835648,2020-03-05 04:10:02,"b'RT @mattfleg: ""Not sure what you say,"" Bloomberg began.\n\nThis made sense.\n\nOn Weds, the billionaire met something he\'s not used to (large-s\xe2\x80\xa6'",rt     not sure what you say   bloomberg began    made sense    weds  the billionaire met something he  s not used to  large s   ,rt sur say bloomberg beg mad sens wed billionair meet someth us larg
5,1235414749577347073,2020-03-05 04:00:03,"b'President Trump tapped a former chemical industry executive to lead the Consumer Product Safety Commission, an inde\xe2\x80\xa6 https://t.co/esCh1TWBTj'",president trump tapped a former chemical industry executive to lead the consumer product safety commission  an inde     ,presid trump tap form chem industry execut lead consum produc saf commit ind
6,1235410456182951938,2020-03-05 03:43:00,b'Read updates in Chinese: \xe6\x96\xb0\xe5\x86\xa0\xe7\x97\x85\xe6\xaf\x92\xe7\x96\xab\xe6\x83\x85\xe6\x9c\x80\xe6\x96\xb0\xe6\xb6\x88\xe6\x81\xaf\nhttps://t.co/UU9tEMDUsS',read updates in chinese                                    t co uu temduss,read upd chin co uu temduss
7,1235409728697585665,2020-03-05 03:40:06,b'\xe2\x80\x94A cruise ship bound for California is believed linked to the first U.S. coronavirus death outside Washington State\xe2\x80\xa6 https://t.co/t2N2ArdNSP',    cruise ship bound for california is believed linked to the first u s  coronavirus death outside washington state     ,cru ship bind californ believ link first coronavir dea outsid washington stat
8,1235407223628709889,2020-03-05 03:30:09,b'Dr. Bruce Aylward of the World Health Organization got a rare glimpse into Beijing\xe2\x80\x99s campaign to stop the coronavir\xe2\x80\xa6 https://t.co/zJUp4E3HVp',dr  bruce aylward of the world health organization got a rare glimpse into beijing    campaign to stop the coronavir     ,dr bruc aylward world heal org get rar glimps beid campaign stop coronavir
9,1235404682010468352,2020-03-05 03:20:03,b'RT @luisferre: There were 6 confirmed coronavirus cases in New York this morning. \n\nThat almost doubled to 11 cases by this afternoon. \n\nHe\xe2\x80\xa6',rt    there were   confirmed coronavirus cases in new york this morning     almost doubled to    cases by this afternoon       ,rt confirm coronavir cas new york morn almost doubl cas afternoon
10,1235399655459975168,2020-03-05 03:00:05,b'Researchers confirmed that human-caused climate change had an impact on Australia\xe2\x80\x99s recent devastating wildfires https://t.co/YPdpGmNQUA',researchers confirmed that human caused climate change had an impact on australia    recent devastating wildfires  ,research confirm hum caus clim chang impact austral rec devast wildfir
11,1235394623754964992,2020-03-05 02:40:05,"b""Here's the 2020 presidential election calendar\nhttps://t.co/YWmQMoZYgw""",here s the      presidential election calendar    t co ywmqmozygw,presid elect calend co ywmqmozygw
12,1235389588228669440,2020-03-05 02:20:04,"b""RT @ckoettl: One way to see the impact of the #coronavirus? Through satellite imagery. Here's what I found. #COVID19 https://t.co/1mH2RYpVE\xe2\x80\xa6""",rt    one way to see the impact of the    through satellite imagery  here s what i found        ,rt on way see impact satellit imagery find
13,1235384580728733697,2020-03-05 02:00:11,b'European officials met with Greta Thunberg hoping to win her support for their proposed climate law. But she told t\xe2\x80\xa6 https://t.co/5bhLFanEDh',european officials met with greta thunberg hoping to win her support for their proposed climate law  but she told t     ,europ off meet gret thunberg hop win support propos clim law tell
14,1235380083956699136,2020-03-05 01:42:18,"b'Sign up to get our daily briefing by email: https://t.co/Excif1tKCW\n\nEvery weekday, we\xe2\x80\x99ll fill you in on the most i\xe2\x80\xa6 https://t.co/kLbt3BjgBa'",sign up to get our daily briefing by email      weekday  we    fill you in on the most i     ,sign get dai brief email weekday fil
15,1235379511711195137,2020-03-05 01:40:02,"b'Coronavirus Daily Briefing: Schools were closed in Italy, and more cases cropped up in New York https://t.co/LK7egEPRbg'",coronavirus daily briefing  schools were closed in italy  and more cases cropped up in new york  ,coronavir dai brief school clos ita cas crop new york
16,1235374480542904320,2020-03-05 01:20:02,"b'RT @coopnytimes: The coronavirus has taken a big toll on the arts world in terms of closed venues and canceled events, but has also spurred\xe2\x80\xa6'",rt    the coronavirus has taken a big toll on the arts world in terms of closed venues and canceled events  but has also spurred   ,rt coronavir tak big tol art world term clos venu cancel ev also spur
17,1235369479263211522,2020-03-05 01:00:10,"b""Evening Briefing: Here's what you need to know at the end of the day https://t.co/YcEzQXjBgJ""",evening briefing  here s what you need to know at the end of the day  ,ev brief nee know end day
18,1235364437227433984,2020-03-05 00:40:08,b'A high school student took an anti-Semitic picture on a school trip and texted it to classmates at their New Jersey\xe2\x80\xa6 https://t.co/bBbR0n1Pjf',a high school student took an anti semitic picture on a school trip and texted it to classmates at their new jersey     ,high school stud take ant semit pict school trip text classm new jersey
19,1235359393920712704,2020-03-05 00:20:06,"b'RT @smervosh: - 1st death from coronavirus reported in California \n- Los Angeles Co. declares state of emergency, with 6 new cases \n- Total\xe2\x80\xa6'",rt       st death from coronavirus reported in california    los angeles co  declares state of emergency  with   new cases    total   ,rt st dea coronavir report californ los angel co decl stat emerg new cas tot
20,1235357705222713344,2020-03-05 00:13:23,b'@curtwoodward Intentionally targeting local news organizations in search is not and has not been part of our market\xe2\x80\xa6 https://t.co/y41fQ4D1vF',  intentionally targeting local news organizations in search is not and has not been part of our market     ,int target loc new org search part market
21,1235354403881836546,2020-03-05 00:00:16,"b""From J. Kenji L\xc3\xb3pez-Alt, here's how to make vegan chili https://t.co/jS4NLSb3Lv""",from j  kenji l   alt  here s how to make vegan chili  ,kenj alt mak veg chil
22,1235349324088987648,2020-03-04 23:40:05,"b'""Thank you for being my friend, John.""\n\n2 American men have stayed in touch, texting back and forth and making new\xe2\x80\xa6 https://t.co/LDgdDYQkuT'", thank you for being my friend  john     american men have stayed in touch  texting back and forth and making new     ,thank friend john be men stay touch text back for mak new
23,1235344308250824704,2020-03-04 23:20:09,"b'RT @ShaneGoldmacher: New w/ @AsteadWesley: After mounting losses, Elizabeth Warren goes dark as she reassess.\n\nDelegate count bleak in CA.\xe2\x80\xa6'",rt    new w     after mounting losses  elizabeth warren goes dark as she reassess    count bleak in ca    ,rt new mount loss elizabe war goe dark reassess count bleak ca
