,id,created_at,text,clean_text,cleaned_word_list
0,1235340126567485442,2020-03-04 23:03:32,"b""It won't take finding a four-leaf clover to feel lucky doing these festive St. Patrick's Day crafts for kids.\xe2\x80\xa6 https://t.co/IZdjnhBOe8""",it won t take finding a four leaf clover to feel lucky doing these festive st  patrick s day crafts for kids      ,tak find four leaf clov feel lucky fest st patrick day craft kid
1,1232780129190977536,2020-02-26 21:31:01,b'The Best Organic and Natural Skin Care Products for Pregnant or Nursing Moms\nhttps://t.co/jRQ670ntg5 https://t.co/eN9yQyRt8y',the best organic and natural skin care products for pregnant or nursing moms    t co jrq   ntg   ,best org nat skin car produc pregn nurs mom co jrq ntg
2,1232695882744827905,2020-02-26 15:56:15,b'These 18 Figure Flattering Swimsuits Will Have You Feeling Like Your Pre-Baby Self https://t.co/7rt5mPgDSR https://t.co/U68xQ4Y2HE',these    figure flattering swimsuits will have you feeling like your pre baby self    ,fig flat swimsuit feel lik pre baby self
3,1232391825102712833,2020-02-25 19:48:02,b'Serena Williams Likes to Celebrate Her \xe2\x80\x98Wild Child\xe2\x80\x99 in the Most Adorable Way\nhttps://t.co/VnBuI1J3WK https://t.co/2H1oNmUArY',serena williams likes to celebrate her     child    in the most adorable way    t co vnbui j wk  ,seren william lik celebr child ad way co vnbui wk
4,1232333969275920384,2020-02-25 15:58:08,b'Moms Are Raving About the Tummy Control \xe2\x80\x98Magic Fabric\xe2\x80\x99 in These $20 Leggings on Amazon\nhttps://t.co/7Eiq4SYy7N https://t.co/sBGzLxCBEV',moms are raving about the tummy control     fabric    in these     leggings on amazon    t co  eiq syy n  ,mom rav tummy control fabr leg amazon co eiq syy
5,1232326965182504961,2020-02-25 15:30:18,b'The Best Stain Removers for Every Mess Your Family Throws At You\nhttps://t.co/0e9LtKLcvN https://t.co/6hDQhmYXpk',the best stain removers for every mess your family throws at you    t co  e ltklcvn  ,best stain remov every mess famy throw co ltklcvn
6,1232319679491907585,2020-02-25 15:01:21,b'The 12 Best Plane Toys for Entertaining Wiggly Toddlers\nhttps://t.co/jLcXSqNGHs https://t.co/3xdUxOmCLy',the    best plane toys for entertaining wiggly toddlers    t co jlcxsqnghs  ,best plan toy entertain wig toddl co jlcxsqnghs
7,1227285679425695745,2020-02-11 17:38:02,b'The Best Essential Oil Diffusers for a More Zen Home:\nhttps://t.co/tNo4lL83FE https://t.co/gRb7Py8WjC',the best essential oil diffusers for a more zen home     t co tno ll  fe  ,best ess oil diffus zen hom co tno fe
8,1226827692005371904,2020-02-10 11:18:09,"b""We don't want to get too cheesy, but there is still so much to love even after National Pizza Day about these super\xe2\x80\xa6 https://t.co/7420uNNr86""",we don t want to get too cheesy  but there is still so much to love even after national pizza day about these super     ,want get cheesy stil much lov ev nat pizz day sup
9,1225527626221178880,2020-02-06 21:12:09,b'Queer Eye\xe2\x80\x99s Fashion Expert Tan France Breaks Down How to Find the Right Eyewear for Your Face @netflix @QueerEye\xe2\x80\xa6 https://t.co/f2W3A8JjpC',queer eye    fashion expert tan france breaks down how to find the right eyewear for your face         ,que ey fash expert tan frant break find right eyewear fac
10,1225520430922059778,2020-02-06 20:43:34,b'Disney+ Is Offering Gift Subscription Cards for Valentine\xe2\x80\x99s Day \xe2\x80\x94 Here\xe2\x80\x99s How to Get One\nhttps://t.co/PMQcqkzixs https://t.co/oU9qPssZpf',disney  is offering gift subscription cards for valentine    day     here    how to get one    t co pmqcqkzixs  ,disney off gift subscrib card valentin day get on co pmqcqkzixs
11,1225173528992997378,2020-02-05 21:45:06,b'The newest @Barbie Fashionistas Doll keeps selling out \xe2\x80\x94 but we tracked it down!\nhttps://t.co/jbMb0HoBFo https://t.co/bkofYKkD0t',the newest   fashionistas doll keeps selling out     but we tracked it down     t co jbmb hobfo  ,newest fashionista dol keep sel track co jbmb hobfo
12,1224450923520385025,2020-02-03 21:53:44,"b""Check out our roundup of the best children's books to celebrate Black History Month! \nhttps://t.co/x8jpbyPf96 https://t.co/4PZ23kj3ey""",check out our roundup of the best children s books to celebrate black history month      t co x jpbypf    ,check roundup best childr book celebr black hist mon co jpbypf
13,1223396771495280643,2020-02-01 00:04:54,"b""We've rounded up the cutest sporting gear to outfit your babe along with all of the best accessories to get them in\xe2\x80\xa6 https://t.co/l32FNB0PgW""",we ve rounded up the cutest sporting gear to outfit your babe along with all of the best accessories to get them in     ,round cutest sport gear outfit bab along best access get
