,id,created_at,text
0,1235328641275441152,2020-03-04 22:17:54,"b""@MatthewGnyc Hi Matthew. Please visit the Facebook Business Page for assistance with what you're experiencing while\xe2\x80\xa6 https://t.co/729OUCMh4r"""
1,1235328160939544582,2020-03-04 22:15:59,b'@alldayelong Hi Kasey. You can reach out to the Facebook Business Page regarding the charges on your ad account her\xe2\x80\xa6 https://t.co/x9yhmJFuZ4'
2,1235011268613832704,2020-03-04 01:16:46,"b""@barnetlad23 Hi there. If you're having trouble receiving a code to verify your account, you can request a new one.\xe2\x80\xa6 https://t.co/Vn8EYbKZbg"""
3,1235011046449938434,2020-03-04 01:15:53,"b""@Srk_Poet Hi Sharukh. If something isn't working on Facebook, please report it to us by filling out this form: https://t.co/rAFjFP5M8Y. -KY"""
4,1234965086503989248,2020-03-03 22:13:15,b'RT @WhatsApp: Finally. Dark mode on WhatsApp. #DarkMode https://t.co/o4Ee5H7qpW'
5,1234562958509756416,2020-03-02 19:35:21,b'@Druiz1 Hello Drew. Thank you for reaching out. You can visit our Help Center to request a review of the unpublishe\xe2\x80\xa6 https://t.co/dE9k87bGmB'
6,1234545927915835392,2020-03-02 18:27:40,b'Messenger is about to get a lot faster. Today we\xe2\x80\x99re starting to roll out a brand new @messenger for iOS. https://t.co/Fl5svWD9kv'
7,1234544543782952961,2020-03-02 18:22:10,b'@prateekag1 Hi Prateek. Thank you for reaching out. Please visit our Help Center for further assistance with your a\xe2\x80\xa6 https://t.co/gOvLy7hA9o'
8,1233421502566948865,2020-02-28 15:59:36,"b""@sydneyann111 We're so happy you're learning more about growing your business with Facebook. Be sure to reach out t\xe2\x80\xa6 https://t.co/BmFATzVHPu"""
9,1233419994727190528,2020-02-28 15:53:37,b'@asr_india We\xe2\x80\x99re so happy that you love using our reactions feature. Great ideas from community members like you he\xe2\x80\xa6 https://t.co/CRPh6dnPQQ'
10,1233419784743604224,2020-02-28 15:52:47,"b'@JeremyJBravo We appreciate this, Jeremy.\xc2\xa0Helping our community raise money for one another is something\xc2\xa0we love to\xe2\x80\xa6 https://t.co/g0BGAHdVLp'"
11,1233110283708583936,2020-02-27 19:22:56,"b'@SouvikJ04429109 Hi there. If you think your account has been disabled by mistake, please visit our Help Center for\xe2\x80\xa6 https://t.co/yee8J4Utbu'"
12,1232708576319176705,2020-02-26 16:46:41,"b'@4ur3liad @VEkpuk ""My work is a true reflection of my experiences and a way for me to relate to my audience - I wan\xe2\x80\xa6 https://t.co/WzfPBeZknH'"
13,1232457641856622597,2020-02-26 00:09:34,b'@SultanAlaodeh Hi there. We understand your frustration. You can find additional support for a disabled account her\xe2\x80\xa6 https://t.co/otPXRC9oTG'
14,1232457041966354432,2020-02-26 00:07:11,"b'@kchitiz950 Hi there. If you no longer have access to your phone and you need help logging in, here are some other\xe2\x80\xa6 https://t.co/qpDhvppfUT'"
15,1232438077353680896,2020-02-25 22:51:49,b'@sajidbubere Hi Sajid. You can reach out to the Facebook Business Page regarding your hacked Page here: https://t.co/WqYhs5Urtf. -KY'
16,1232437924827783170,2020-02-25 22:51:13,"b'@abdlkaderchamma Hi there. If you\xe2\x80\x99d like to update your notification settings, you can do so by following these ste\xe2\x80\xa6 https://t.co/hMvxDBwQwe'"
