,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
0,0,1235369438335074307,therapist describe last relationship words new episode starts right mt,therapist describe relationship words episode mt
1,1,1235364342234824705,dangerous challenge ever twist makes sure one safe miss,challenge miss
2,2,1235361886020878336,say miss love much slayed paris fashion week,miss fashion week
3,3,1235341556489555968,rt dangerous challenge ever twist makes sure one safe premiering wednesday april,challenge april
4,4,1235339236787642368,excited give us incredible send tweet,tweet
5,5,1235335584178196481,biiiiiig fan song immediate add yes,biiiiiig fan song add yes
6,6,1235335327608377346,logged onto tw today expecting get totally served okay cece,tw today okay cece
7,7,1235334833389400069,video incredible,video
8,8,1235334786371268609,without doubt,doubt
9,9,1235334741471170560,greattttt choices,greattttt choices
10,10,1235334673712197641,amya yesssss personal favorite,amya favorite
11,11,1235334468656865281,ohmygoshhh forgot much love song yes going weekend playlists,love song weekend playlists
12,12,1235334082923581440,certified,
13,13,1235332202449248262,song alwaysss stuck head love,song head love
14,14,1235330964571729926,guaranteed party starter,party starter
15,15,1235330877837783046,perfect addition playlist,addition playlist
16,16,1235330786292895753,oooo throwback,throwback
17,17,1235330621305696256,yes jelani yes,yes
18,18,1235330568067395586,definite,definite
19,19,1235324137792364544,try find jaquan really hit major road,road
20,20,1235321792371339266,song must add weekend playlists,song weekend playlists
21,21,1235310050635374593,rt megan revealed label odds contract alleges label tried pro,rt megan label odds contract pro
22,22,1235309037971005440,likely spill spoiler lachlan watson spilled tea thei,spill lachlan watson tea thei
23,23,1235296925223657476,nervous fart likely,
24,24,1235296806319292417,rt fart walk away,fart
25,25,1235292963175096322,confirm well,confirm
26,26,1235292855914188801,course lucy know much love spread tom holland cheer,course lucy spread tom holland cheer
27,27,1235292780097921026,frame pics,frame pics
28,28,1235292713500766210,one dana,dana
30,30,1235292333559762946,tysm giving people want,tysm people
31,31,1235292277121183744,king,king
32,32,1235292238969741312,yes yes,yes
33,33,1235292184565420037,bb,bb
34,34,1235292084875202562,yes queen katy ready,katy
35,35,1235291793606012930,gave us powerful incredible,
36,36,1235278839523074048,present smiling suit,suit
37,37,1235263739630239744,stop ur listen cover,ur cover
38,38,1235248643231358976,always boss queen looking back one,boss queen
39,39,1235233543841886209,cast coolest kids lunchroom got polaroid,cast coolest kids lunchroom
40,40,1235233031897702402,imagine,imagine
41,41,1235232901878501377,excellent plan action totally need rush grab seat,plan action rush grab seat
42,42,1235232709280182273,tryyyy know absolutely fangirl,tryyyy
43,43,1235232599464914945,even take seconds fricken dreammmm,seconds dreammmm
44,44,1235232420577894402,would also ask want see funny ones,see ones
45,45,1235231714521362432,oh losing inside,
46,46,1235231653234192385,probably miss stop honestly,stop
47,47,1235231589338091523,correct thing,thing
48,48,1235218441616920577,pov way home work subway packed seat available next,way home work seat
49,49,1235203342558781441,sophie turner first date precious,sophie turner date
50,50,1235038672765911040,rt next tuesday season finale,rt tuesday season finale
51,51,1235007049651695621,back new episodes start right mtv,episodes mtv
52,52,1234991949305667584,true honest real life representation girl power,life representation girl power
53,53,1234976848960000000,alex robby place gonna loooong night miss back back new episodes,robby place gonna night miss episodes
54,54,1234961750707130373,hiiiii holding onto pics want share,hiiiii pics share
55,55,1234954199768739848,pass ged test make grade,pass test make grade
56,56,1234953322563588096,pabllo everything,pabllo everything
57,57,1234949835075325952,wait,wait
58,58,1234946651153977350,proud girls celebrating powerful iconic girl,girls girl
59,59,1234944290972893193,rt mvps vs meatballs ambitious crossover history catch premiere,rt mvps vs meatballs crossover history catch premiere
60,60,1234931550443077633,giving us choreo yes please,yes please
61,61,1234931392674500608,wanna hug,wanna hug
62,62,1234931294213169152,gives best hugs,hugs
63,63,1234931110011904001,taste tess pickkk,taste tess pickkk
64,64,1234931040294187016,oh gggoshashg awje killed wow tysm,gggoshashg awje tysm
65,65,1234930975609626633,love,love
66,66,1234930321277300736,haha perfect awk sitch transition noise class transition noise lunch transition noise,haha sitch transition noise class transition noise lunch transition noise
67,67,1234930015961260035,sorry tell stuck head,sorry head
68,68,1234929844926001154,welcome tess duty pleasure,tess duty pleasure
69,69,1234929763694923778,let follow around sing hannah montana transitions things,hannah transitions things
70,70,1234927282113982464,rt omg terrifying hi,rt hi
71,71,1234927117202317312,think daily,
73,73,1234926327456772096,tell boss yes,yes
74,74,1234926263321735169,rt,rt
75,75,1234926131289239552,welcome,welcome
76,76,1234926060116103168,ugh cute lil wink,lil wink
77,77,1234926003304194048,haz heart,heart
78,78,1234925644708040706,alexa narrating entire day transition noises,alexa day transition noises
80,80,1234925313215401985,tell livedddd episode,episode
81,81,1234924818379702272,takes wig switches accounts,wig switches accounts
82,82,1234924165020442630,hannah montana transition noise,hannah montana transition noise
83,83,1234919405651472384,one,
84,84,1234919120849768448,important take moment appreciate gif,moment appreciate gif
85,85,1234917661101961216,yes,yes
86,86,1234916454710988800,abc,abc
87,87,1234901357544394752,winner bad bunny green crocs,winner bunny crocs
88,88,1234901339047694338,rt town next combs cartel coming city special celebrity guests looking singe,town cartel city celebrity guests singe
89,89,1234886253964746758,one hundred thousand percent ghost sh everybody brad mondo sa,percent ghost sh everybody sa
91,91,1234880006398103552,rt thank much familia,thank familia
92,92,1234879314803482633,gives butterflies,butterflies
93,93,1234879271421779968,perfect specimen,specimen
94,94,1234879021197996032,wheezing,
95,95,1234877995162226688,working fell trap get,trap
96,96,1234877898638741504,simply think better way start morning,way start morning
97,97,1234877804677824518,feel seen jas tysm,feel jas tysm
98,98,1234877694661349376,still always ray light lives,lives
99,99,1234877604567683074,answers correct,answers
100,100,1234877550062641155,heart melted chest,heart chest
101,101,1234877445272227841,tweeted,
102,102,1234877375722250246,right abbie,abbie
104,104,1234856056523808780,start day shirtless jam sesh wait smile end,day jam wait end
105,105,1234840957763411968,take peek magic behind masterpiece,peek magic masterpiece
106,106,1234644660125085696,swipe back forth really quickly smiles,swipe smiles
107,107,1234629563369414657,dropped two fire tracks say chicago freestyle times th,fire tracks times
108,108,1234615629405130752,rt honestly episode amazing ur tryna cringe hardest ever go,rt tryna cringe hardest
109,109,1234614467452784640,honesty hour watched visual videos times,hour videos times
110,110,1234601971937615875,rt nothing respect queen,rt nothing respect queen
111,111,1234599384597377025,rt see,rt see
112,112,1234587989889683456,happy birthday hope allll collab dreams come true,birthday collab dreams
113,113,1234585467359825928,rt tom steyer twerking juvenile public enemy firing flavor flav disagreement performing bernie sande,rt tom steyer enemy flavor disagreement bernie sande
114,114,1234584263585984512,sets jordan blind date never forget latest episode right,sets blind date episode right
115,115,1234582399939465221,see get love sm,sm
116,116,1234573629096067072,think absolutely yess,yess
117,117,1234573514860122112,really think might get abstract album cover based video definitely,album cover video
118,118,1234571442462904320,tell life changing imagine,life imagine
119,119,1234571266662838273,wish even th energy,energy
120,120,1234571175365369859,dimples,dimples
121,121,1234571061540409345,true class act,class act
122,122,1234571002547298304,also love ur avi,avi
123,123,1234570931567198210,yes yes,yes
124,124,1234570890723065862,stan love appreciate forever,love appreciate forever
125,125,1234570219357601793,omggg love much pic exact representation feelings,pic representation feelings
126,126,1234569638278725634,sooooo think album cover going look like,sooooo cover look
127,127,1234554066069385216,heart belongs pics passionate performer,heart pics performer
128,128,1234538964553474053,watch video whenever need smile,watch video need smile
129,129,1234538155115761665,wake shawn mendes appreciation clock,wake shawn mendes appreciation clock
130,130,1234537732048900098,get pic,pic
131,131,1234537574175248384,ugh mine julia jumped chest,mine julia
132,132,1234525423255638018,unreachable april th,april th
133,133,1234525257903505409,cry bb got,cry bb
