,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
0,0,1239310406767673345,hear tiktok trying learn dance,tiktok dance
1,1,1239295304286912512,currently rotation entire new album,rotation album
2,2,1239280204817870848,really wish could sit next cast lunch table,cast lunch table
3,3,1239265105499631616,smile smiling scientific fact,smile fact
4,4,1239250007628234752,dropped years ago weekend honor throwing back inter,years weekend honor inter
5,5,1239234906338635785,year round present seasons,year round seasons
6,6,1239223305422409729,rosa voice,rosa voice
7,7,1239223193778470917,name,name
8,8,1239223058428243969,yes perfect,yes
9,9,1239223020415320067,said see ya boi,see ya
10,10,1239222892107366402,aaaannnnnd know dance safe distance,aaaannnnnd dance distance
11,11,1239222791959990272,yup ya,yup ya
12,12,1239222709931978754,yup winner,yup winner
13,13,1239222633629134848,vote alll,vote alll
14,14,1239222585063284737,ugh yes cute choice,yes choice
15,15,1239222524325617664,social distancing,distancing
16,16,1239222471758426114,answer,answer
17,17,1239222421560983555,omgg sarah perfect yes,omgg sarah yes
18,18,1239222371212333058,gonna say itwwe,gonna itwwe
19,19,1239222265948102657,queens generation,queens generation
20,20,1239221131023917056,come bc met real life,bc life
21,21,1239219807666548738,song social distance dancing,distance
22,22,1239211438100688896,guys precious,guys
23,23,1239211345679126529,rt thank everything,thank everything
24,24,1239204710269280263,currently repeat gotta like,gotta
25,25,1239201753515556866,drops surprise album internet,drops internet
26,26,1239189610217058307,sunshine discography best way start day,sunshine discography way start day
27,27,1239174510760333312,said love dance lessons tbh would,love dance lessons tbh
29,29,1238978216733200385,self image queen,image queen
30,30,1238963117767274496,agree bite ice cream,bite ice cream
31,31,1238948017337585664,cleansing tl wholesome pic,wholesome pic
32,32,1238932916484206592,kick weekend epic playlist new tracks,weekend epic tracks
33,33,1238917817509920769,know saying goes doubt dance like,doubt dance
34,34,1238902719055892481,times stressful let tiktoks help take edge,times let edge
35,35,1238887618831503360,mood,mood
37,37,1238882074586742786,rt god knows forever grateful humbled,rt god
38,38,1238872519559577601,fall asleep go,fall asleep
39,39,1238857421629591556,want dedicate award dance community around world never forget mis,dedicate award dance community world mis
40,40,1238842323506618368,badass ladies must haves playlists,badass ladies playlists
41,41,1238827223483699201,listened vid singing harmonies approx times,vid harmonies times
42,42,1238823758133108738,niall please blushing,please
43,43,1238812122848559104,wanna thank song video jam new release,wanna thank song video jam release
44,44,1238630927531749383,jumpstart friday night playlist,jumpstart friday night playlist
45,45,1238615827886346240,gonna start eating healthy food cravings,start food cravings
46,46,1238600730698641409,video put sunshine day,video day
47,47,1238585628419334150,tag someone looks good oprah bank account,tag someone bank account
48,48,1238571651173933058,working home hope furry lil assistant like singh,home hope assistant singh
49,49,1238555430084845568,march artist gave us stellar performance song,march artist performance song
50,50,1238545397187883009,rt lot understandable panic lot misinformation leave house,rt lot panic lot misinformation house
51,51,1238540331051712512,see take deep breath next minute day self meditation along,see breath minute day meditation
52,52,1238537601818267648,hi love bb,hi love bb
53,53,1238537407223521286,always stan jersey girl,jersey girl
54,54,1238537208438685696,know streaming forever ever,
55,55,1238537118655361024,reallllly served us visuals,visuals
