,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
0,0,1235236057051877376,hunt pair adidas inertia get less retail plus free,hunt pair get
1,1,1234965776190275584,ultimate find collector money world smallest coin made one,find collector money world coin
2,2,1234240245463384074,plan find patent schematics could possibly need take dark side,plan schematics side
3,3,1233942785335709700,better stealing second tearing topps baseball series one box,baseball series box
4,4,1233571086060515329,rocky found rhythm bringing music community music lovers around world shop sellers like rocky,music community music lovers world shop sellers rocky
5,5,1233159373356195840,hey trainers celebrating pok battle sound comments,hey trainers battle sound comments
6,6,1232755837824716800,rt celebrate years gold diamond emerald tribute golden shamrock shake bid,celebrate years diamond emerald tribute shamrock shake bid
7,7,1232434597394124801,could buzzed sweater ever miss chance worn chunky knit goodness,chance chunky knit goodness
8,8,1232071706384240642,full price forget score adidas sneakers right,price forget score adidas sneakers
9,9,1232001070122946560,rt let games begin chance get nfl star ambassador gaming headset,let games chance star ambassador gaming headset
10,10,1231990490725109760,rt get,rt get
11,11,1231990477341089792,rt excited teamed make limited cloud mix juju edition,rt make cloud mix juju edition
12,12,1231291565739532289,fun fact also steve irwin birthday celebrate everyone favorite conservationist,fun fact birthday everyone conservationist
13,13,1230901244551716871,drop get pair adidas inertia plus free shipping retail ends thursday pt,drop adidas shipping ends pt
14,14,1230530551616069633,use logic justify almost anything including bluetooth enabled highly accurate replica,use logic justify anything replica
15,15,1230166150237032451,everyday never bad time rare vintage breathtaking,time vintage breathtaking
16,16,1229911476585938945,rt community raised million charity organizations around world,rt community charity organizations world
17,17,1229822262112423936,lookout something exciting,something
18,18,1229442129572900866,chance alert deals tech fashion fan gear end tomorrow,chance deals fashion fan end tomorrow
19,19,1229092828074139648,may time sneaker game takes peep,time game peep
20,20,1228746797692129281,start parade deals arrived get free shipping best prices guaranteed,start parade deals shipping prices
21,21,1228412092534923266,happy day ebay,day
22,22,1228082168355622913,next generation picard captain role model vintage,generation picard captain role model vintage
23,23,1227635475076263936,toddler unleash inner set remember,toddler inner
24,24,1227401684264996865,grab drink cup shoes secret menu taking orders,grab cup shoes menu orders
25,25,1227386432295034880,rt define empowerment asked small business owners sell online important found,rt define empowerment business owners found
26,26,1227060410517340162,answer guess right,answer guess right
27,27,1226999786139553792,find little something sublime,something sublime
28,28,1226693567503978496,big night hollywood guess oscar nominated movie watch worn,night hollywood guess oscar movie watch worn
29,29,1226215367435005953,fun fact ford mustang actually named iconic horse grill inspired world war ii,fun fact ford horse grill world war ii
30,30,1225872120443473922,time time guess watch time shop,time time watch time shop
31,31,1225567599058182144,feeling nostalgic uss enterprise worry still give go,enterprise worry
32,32,1225122430974414848,time guess watch time shop,time watch time shop
33,33,1224848108200349697,quite say goodbye another season get pre order authentic autographed merch,goodbye season order merch
34,34,1224810338169716736,rt gretel hansel theaters go see movie check official auction featuring screen used costumes,gretel hansel theaters movie auction screen costumes
35,35,1224496541466972160,tfw love universe find something special gal pal bff valentine gift guide,tfw something pal bff valentine gift guide
36,36,1224393956827394048,rt auctioning one kind grammys green room book signed celebrities musicians sign,rt kind grammys room book celebrities musicians
37,37,1224026192581480449,legend choose,legend choose
38,38,1223742827550502914,unsurprisingly valuable player year top expensive trading cards sold,player year trading cards
39,39,1223727726189694976,fan favorite ranking player merchandise sales ebay season averaging jerse,fan player merchandise sales season jerse
40,40,1223411139964559360,auctioning custom game worn cleats players,game cleats players
41,41,1223335381447278592,congrats potential winner nd prize ebay please go,congrats winner prize ebay please
42,42,1223292998496092160,update air jordan breds msrp sold keep coming back deals drops,air jordan breds deals drops
43,43,1223290133597671430,breds available retail price plus free shipping get hands one,breds price shipping
44,44,1222965453083086853,sunshine cool breeze right amount statement making roadster ebay,cool breeze amount statement ebay
45,45,1222583687331622914,make say get heart shop valentine gift guide,make heart shop valentine gift guide
46,46,1222257789940027393,flag play excessive celebration football shaped ice cubes make every refreshment touchdown,flag play celebration football ice cubes refreshment touchdown
47,47,1222252195153883147,rt better way protect oceans teaming nfl players auctioning game worn cleat,rt way oceans players game cleat
48,48,1221488219042336768,almost time bid exclusive,time bid
49,49,1221146718936256512,happy everyone celebrating year rat,everyone year rat
50,50,1221090347368902657,want step ultimate celebrity closet west opened high fashion wardrobe sup,step celebrity closet west fashion wardrobe sup
51,51,1220754886851059712,love queen bey latest release sold gender neutral super sleek sne,love queen bey release super sleek sne
52,52,1220456743408304129,ready premiere picard favorite things get engaged ready,things
53,53,1220147635610238977,larry walker hof walk making cooperstown final year eligibility check,larry walker hof year eligibility check
54,54,1220132787723747328,vote merch unanimous eyes derek,vote merch eyes derek
55,55,1219784674366484481,inductees baseball hall fame congratulations derek jeter larry walker,inductees baseball hall congratulations jeter larry walker
56,56,1219303825774870529,today honor life legacy sacrifice dr martin luther king jr,today life legacy sacrifice dr martin king jr
57,57,1218957040673968128,wait hit theaters summer one else either amazing spider man th,wait theaters summer spider man th
58,58,1218559923912495105,support relief efforts behalf friends family gifts give back,support relief efforts behalf friends family gifts
59,59,1218216573657182208,hour sale alert get hands latest retro reverse got game way lower,hour sale alert hands retro reverse game way
60,60,1217882236193660928,rt want help australia bushfire relief efforts give masks people affected wildfires throughout australia,rt help bushfire relief efforts masks people wildfires australia
61,61,1217877487905988613,rt looking ways help relief efforts australia partnered,rt ways efforts
62,62,1217852260866088960,nothing like little chic greenery,nothing greenery
63,63,1217481819962191877,fill bear claw sized hole cooking arsenal carnitas recipe thank,claw carnitas thank
64,64,1217246267803193344,new year new couch rug pillows coffee table,year rug pillows coffee table
65,65,1216799674591432704,rt buzzy limited edition product drops fuelling beauty aftermarket high demand items selling premium ht,rt buzzy edition product beauty aftermarket demand items premium ht
66,66,1216751759269466112,hr flash sale pst pm pst shop exclusive sale ebay fans code phatkicks,hr sale pst pm pst shop sale ebay fans phatkicks
67,67,1216420074145357824,week everyone favorite box set netflix friends break get joe,week everyone box friends joe
68,68,1216049884714815494,wait spring make winter cleaner thing make extra,wait spring winter thing
69,69,1216021950360780800,whether signature bag colorful cat eye help look catch,signature bag cat eye help catch
70,70,1215719708898549760,airstream cocktails yes please,airstream cocktails please
71,71,1215694543212990467,year community great taste,year community taste
72,72,1215677984574586881,rt honoured hosting wonderful auction support,rt auction support
73,73,1215677936029724672,rt already jumpsuit another chance dress like phoebe waller bridge auction,rt chance dress phoebe waller bridge auction
74,74,1215677846770741258,rt want suit filled andrew scott hugs phoebe waller bridge auctioning golden globes tuxedo,rt suit hugs waller bridge globes tuxedo
75,75,1215666088525975552,rt phoebe waller bridge auctioning couture tuxedo wore,rt phoebe waller bridge couture tuxedo
76,76,1215332288055009285,hi made donation,hi donation
77,77,1215319572292739074,make year learn ride inside tune like pros tools need,year learn ride tune pros tools
78,78,1214936548396818433,good reaching waste words live hbd king rock roll,waste words hbd king rock roll
79,79,1214628018750152711,tfw one ask dinner going year,ask dinner year
80,80,1214340370273845248,took look shopping carts today fads trend live,look shopping carts today fads trend
81,81,1213884113809051648,year go type type zen finds stress free self care collection,year type type zen self care collection
82,82,1213513672770781184,corvettes trending could anything new coming soon,corvettes anything
83,83,1213188530609901568,start side hustle like boss got,side hustle boss
84,84,1212872195954872321,add little je ne sais quois goals help learn french collection,ne sais quois goals collection
85,85,1212403860062588928,happy new year time get used writing,year time writing
86,86,1212140373503406080,time til running counting,time til counting
87,87,1211688898788638724,iconic inventions changed game,inventions game
88,88,1211345888830009346,kick new decade elegant soiree,decade soiree
89,89,1210998600152432640,ohio state vs clemson lsu vs oklahoma bowl time team repping,state vs clemson lsu vs bowl time team
90,90,1210633975695323139,rt thank shopping purpose thank shopping wait see store,rt thank thank shopping wait store
91,91,1210633961262764032,rt two grammy telecast tickets party passes generated donations ht,rt grammy tickets party passes donations ht
92,92,1210633947861987332,rt vip tickets raised,rt tickets
93,93,1210633933530025985,rt overnight stay cinderella castle suite magic kingdom went funds raised benefitting,rt magic kingdom funds benefitting
94,94,1210633920062074882,rt annual power lunch raised mm benefitting,rt power lunch mm
95,95,1210633901934305282,rt exciting year take peek roundup unique highest grossing,rt year peek roundup grossing
96,96,1210349573534695426,wallet spent kick new year extra,wallet year extra
97,97,1210255615404191745,rt top best star wars black series figures around galaxy,rt top star wars series figures galaxy
98,98,1209892813992804354,happy holidays family may day cozy comfy full everything wished,holidays family day everything
99,99,1209499220471730179,two days left shop ultimate sneaker event eight hottest styles copped favorite collab yet,days sneaker event styles collab
100,100,1209156965777068047,new year new kicks,year kicks
101,101,1208806405383176192,serg never met toy sell proud sellers like every day ebay,serg toy sell sellers day
102,102,1208445024356225024,touch football touch football ball whatever kind game day prefer,touch football touch football ball kind game day
103,103,1208123908412493824,get hands carefully lightsaber would use forge empire,hands lightsaber forge empire
104,104,1208069552820629512,time flies dropping grails together last drop get,time flies grails drop get
105,105,1207873257396785152,along rounding year celebrating biggest releases sneaker culture,year releases culture
106,106,1207803043783172096,little sparkle timepiece new action figure,action figure
107,107,1207741508893331457,hi potential winner third prize plea,winner prize plea
108,108,1207741246216658944,hi potential winner second prize,winner prize
109,109,1207740771853467648,hi potential winner second prize,winner prize
110,110,1207738436536266752,hi potential winner first prize,winner
111,111,1207737390564921351,hi please check twitter direct message inbox,hi please twitter message inbox
112,112,1207729692523913216,rt giving big bundle goodies win,rt bundle goodies
113,113,1207708508386295808,got great sneaks peep snag pair geode msr,peep snag pair geode msr
114,114,1207402878349893632,rt ultra special ebay gifts never know got last minute little secret,rt ebay gifts minute
115,115,1207360880964358145,perfect gift elevate host game sleek wedge ice form course,gift elevate host game wedge ice form course
116,116,1207344928222674944,nice day another along serving inertia sneakers,day inertia sneakers
117,117,1207048534765105152,right zero selling fees sneakers happy listing,selling fees sneakers listing
118,118,1207044480475398144,rt star wars generational movie equivalent passing family heirlooms skywalker saga comes end luca,star wars movie family heirlooms skywalker saga luca
119,119,1207016360343166981,need life read acclaimed graphic novel foundation new series,life novel foundation series
120,120,1206982389844467715,together bringing analog sneakers yes msr,analog sneakers msr
121,121,1206746872833925120,rt giving away massive pc gaming bundle goodies mic keyboard headsets mouse etc lg,rt pc goodies headsets lg
122,122,1206688449866035200,ready week sneaks kicks tomorrow day get year sought,week sneaks kicks tomorrow day year sought
123,123,1206649581162745856,rt holiday robe thanks celebrity designers helped create one kind,rt holiday thanks celebrity designers kind
124,124,1206296869355212801,meet samsuale young seller helped mom leave job sell ebay full time shop hardworking seller,meet seller mom job time shop seller
125,125,1206046217672617984,wrap watched stream thank worry still bid merch,wrap stream thank worry merch
126,126,1205985819971842048,watching live charity stream bid,charity stream bid
127,127,1205970721802899456,stream live partnered raise funds organization provides,stream live funds organization
128,128,1205534093875859457,feast eyes ray ban erika sunglasses look fast price last,eyes sunglasses price
129,129,1205521621479374849,fast air jordan bred pre order sold stay tuned exclusive sneaker drops coming,air jordan order stay sneaker drops
130,130,1205517735439912960,exclusive pre order air jordan bred live follow instagram get pair tomo,pre order air jordan follow instagram pair tomo
131,131,1205171957307781120,prepared go family history best giver ever,family history giver
132,132,1204928473254379520,rt calling fight fans bid ultimate combat sports collection featuring signed items,rt fans combat sports collection items
133,133,1204916523963428866,jolly less jingle,jingle
134,134,1204829673294688256,rt two teams streamers event ft get part action help raise money,rt teams streamers event ft part action help money
135,135,1204566469926776832,honor protect cuddle family owned business north carolina creates uniformed teddy bears comfort,honor protect family business carolina creates bears comfort
136,136,1204473605305667584,apple watch charging station revives og computer world want boot com,apple watch station revives computer world boot com
137,137,1204113545064931328,rt looking coolest gifts holiday season fan merch toys comics collectibles av,rt gifts holiday season fan merch comics collectibles
138,138,1204030437200293893,stun green monday savings amazing new deals every hour ship free,stun savings deals hour ship
139,139,1203732471902134272,meet robyn people person shop friendly sellers like every day ebay,meet people person sellers day
140,140,1203442366666825728,offer free return shipping item defective described buyers,offer return item buyers
141,141,1203342149951070209,toys playtime dreams made,toys dreams
142,142,1203044364475228160,help sorry smoothest experience please dm us full,help experience please
143,143,1202997070539284480,never got jbls priced move asap grab wireless headphones,jbls asap grab wireless headphones
144,144,1202635997026160642,dasher dancer prancer vixen comet cupid blitzen,dancer prancer vixen blitzen
145,145,1202624672484904962,peep sneakerhead gift guide full rare pairs dripping style cred,sneakerhead gift pairs style
146,146,1202383080469590016,tinsel wreath hint sparkle holidays,wreath hint sparkle holidays
147,147,1202331622365790208,rt editors go holiday gifts find anywhere else https,rt editors gifts https
