,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
0,0,1238505683487580160,rt spring tech sale ebay brings huge discounts consoles,rt spring sale ebay discounts consoles
1,1,1238150259471044608,choose favorite gadget try,gadget try
2,2,1237874555391074305,rt highlights porsche carrera gs cabriolet one many rare auto finds ebay,rt highlights carrera gs auto finds
3,3,1237874508935004162,rt spring savings arrive early phones pcs ebay best ever spring sale,rt spring savings phones pcs spring sale
4,4,1237479590265786370,introducing expensive watches ever sold ebay luxury watch listings find investment timepiece,watches luxury watch listings investment timepiece
5,5,1237178606998020096,get swing spring ebay ever spring sale til march get incredible savings fashi,spring ebay sale til march savings fashi
6,6,1237043222372737029,rt want hang nyc honor amp auctioning afternoon nyc,rt hang nyc afternoon nyc
7,7,1236707502768689154,flexible approach unwavering goal lauren white white loft powerful,approach goal lauren loft
8,8,1236382887999496192,ultra rare black lotus alpha near mint condition game never,lotus alpha mint condition game
9,9,1236025181673385984,rt march working empower women around world,march women world
10,10,1235981643896082433,update special pricing sold stay tuned drops must sneakers,pricing stay drops
11,11,1235973919372275713,sneaker flash sale geode sneakers huge price drop cop pair quantities last,sneaker flash sale geode sneakers price drop cop pair quantities
12,12,1235582087580790788,fine time fine timepiece today pt pm pt enjoy additional luxury watch eyeing,time timepiece today pm pt luxury watch
13,13,1235236057051877376,hunt pair adidas inertia get less retail plus free,hunt pair get
14,14,1234965776190275584,ultimate find collector money world smallest coin made one,find collector money world coin
15,15,1234240245463384074,plan find patent schematics could possibly need take dark side,plan schematics side
16,16,1233942785335709700,better stealing second tearing topps baseball series one box,baseball series box
17,17,1233571086060515329,rocky found rhythm bringing music community music lovers around world shop sellers like rocky,music community music lovers world shop sellers rocky
18,18,1233159373356195840,hey trainers celebrating pok battle sound comments,hey trainers battle sound comments
19,19,1232755837824716800,rt celebrate years gold diamond emerald tribute golden shamrock shake bid,celebrate years diamond emerald tribute shamrock shake bid
20,20,1232434597394124801,could buzzed sweater ever miss chance worn chunky knit goodness,chance chunky knit goodness
21,21,1232071706384240642,full price forget score adidas sneakers right,price forget score adidas sneakers
22,22,1232001070122946560,rt let games begin chance get nfl star ambassador gaming headset,let games chance star ambassador gaming headset
23,23,1231990490725109760,rt get,rt get
24,24,1231990477341089792,rt excited teamed make limited cloud mix juju edition,rt make cloud mix juju edition
25,25,1231291565739532289,fun fact also steve irwin birthday celebrate everyone favorite conservationist,fun fact birthday everyone conservationist
