,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
0,0,1235328641275441152,hi matthew please visit facebook business page assistance experiencing,hi matthew please visit facebook business page assistance
1,1,1235328160939544582,hi kasey reach facebook business page regarding charges ad account,hi facebook business page charges ad account
2,2,1235011268613832704,hi trouble receiving code verify account request new one,hi trouble code verify account
3,3,1235011046449938434,hi sharukh something working facebook please report us filling form ky,hi sharukh something form ky
4,4,1234965086503989248,rt finally dark mode whatsapp,rt mode whatsapp
5,5,1234562958509756416,hello drew thank reaching visit help center request review unpublishe,hello visit help center request review unpublishe
6,6,1234545927915835392,messenger get lot faster today starting roll brand new ios,messenger lot today roll brand ios
7,7,1234544543782952961,hi prateek thank reaching please visit help center assistance,hi prateek thank please visit help center assistance
8,8,1233421502566948865,happy learning growing business facebook sure reach,business facebook reach
9,9,1233419994727190528,happy love using reactions feature great ideas community members like,love reactions ideas community members
10,10,1233419784743604224,appreciate jeremy community raise money one another something love,appreciate jeremy community money something love
11,11,1233110283708583936,hi think account disabled mistake please visit help center,hi account mistake please visit help center
12,12,1232708576319176705,work true reflection experiences way relate audience wan,work reflection experiences way audience wan
13,13,1232457641856622597,hi understand frustration find additional support disabled account,hi frustration support account
14,14,1232457041966354432,hi longer access phone need help logging,hi access phone need help
15,15,1232438077353680896,hi sajid reach facebook business page regarding hacked page ky,hi sajid facebook business page page ky
16,16,1232437924827783170,hi like update notification settings following ste,hi notification settings ste
17,17,1232437833505239040,hi joe first recommend updating newest version app using different browser,hi joe version app browser
18,18,1232437765872046081,hi hear frustration understand concern find assistance reco,hi frustration understand concern assistance reco
19,19,1232437472535007233,hi elena additional support disabled account please visit help center gd,hi support account please visit help center gd
20,20,1232437413957341184,hi jimmy reach facebook business page regarding unpublished business page issu,hi facebook business page business page issu
21,21,1232437346055815170,hi assistance disabled account please visit help center information,hi assistance account please visit help center information
22,22,1232433846664122369,hi abhishek please check see latest version app downloaded device,hi abhishek please see version app device
23,23,1232433592917086209,hi understand frustration find additional support disabled account,hi frustration support account
24,24,1232432709386915840,hi think account hacked taken visit page secur,hi account visit page secur
25,25,1232430729763618823,hi believe account taken someone else please secure dt,hi account someone secure dt
