,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
0,0,1238593845622796288,hi see things like facebook please report us using tips hel,hi things facebook please tips hel
1,1,1238591975839809537,hi find additional support hacked account help center ky,hi support account help center
2,2,1238591754896470016,hi trying log facebook receiving code oth,hi log facebook code oth
3,3,1238506024262197248,hi brian reach facebook business page regarding experiencing acti,hi reach facebook business page acti
4,4,1238497233214947329,stay updated efforts respond outbreak,stay efforts respond outbreak
5,5,1238497232237686785,today launched covid solidarity response fund support response outbre,today solidarity response fund support response outbre
6,6,1238473914780487680,hi gawar trouble receiving code unable access phone number,gawar trouble code access phone number
7,7,1238252846770008064,hi trying log longer access phone othe,hi log access phone othe
8,8,1238252658651271168,hi mia think account hacked taken visit page secure,hi mia account visit page secure
9,9,1238251885292912642,hi jess tips selecting privacy settings please visit help center,hi jess tips privacy settings help center
10,10,1238250409162129408,hi assistance notifications settings please visit help center,hi assistance notifications settings help center
11,11,1238199655705374720,inspired cross country collaboration,country collaboration
12,12,1238177269534748672,hi hafeez assistance boosting posts please visit facebook business page,hi hafeez assistance posts facebook business page
13,13,1238128072538247168,please share idea us ik,please share idea
14,14,1238127938576367616,please report photo us allow hate speech facebook ik,report photo speech facebook ik
15,15,1237906599957557248,hi neyaz trouble receiving code verify account request new one,hi trouble code verify account
16,16,1237898300189069317,thanks feedback constantly working improve facebook experience please let,thanks facebook experience please
17,17,1237898130311368708,hi think account disabled please visit help center information,hi account please visit help center information
18,18,1237686011007655937,thanks love hear excited show diverse communities make facebook,thanks show communities facebook
19,19,1237684434289061888,working curb spread false news across platforms building new products,curb spread news platforms products
21,21,1237427252012310531,hi fernando please visit help center learn delete conversations facebook ms,hi fernando please visit help center conversations ms
22,22,1237427203446411265,hi please visit facebook business help center learn get help business fac,please visit facebook business help center help business fac
23,23,1237425074635821057,hi hector recommend running website facebook debugger tool helps identify,hi hector facebook debugger tool
24,24,1237424943895179264,thank clarifying please learn delete business manager ms,thank please business manager ms
25,25,1237424730027593728,hi alex thank reaching please visit help center steps change nam,hi thank please visit help center steps
26,26,1237424589719789568,thank reaching change email please visit help center assistance mc,thank change email please visit help center assistance mc
27,27,1237424461000740864,hear frustration find assistance troubleshooting account mc,frustration assistance account mc
28,28,1237424377844514817,hi ellie reported issue team please know looking get ba,hi ellie issue team please ba
29,29,1237424213415186432,hi victor please visit facebook business page assistance ads manager support,hi victor please visit facebook business page assistance ads manager support
30,30,1237423150154911744,hi hannah reach facebook business page regarding experiencing,hi hannah facebook business page
31,31,1237422815655022592,hi shubham thank reaching log issues find troubleshooting tips,hi shubham thank issues tips
32,32,1237422675842093057,hi naresh believe account taken someone else please secure,hi account someone secure
33,33,1237421849631322113,hi request review ad feel like rejected error addit,hi request review ad feel error addit
34,34,1237421725140176896,thanks sharing us rachel community makes facebook glad part,thanks community facebook part
