,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
0,0,1235387657368121347,ure tired working nonstop end spray painting whip,ure end spray whip
1,1,1235316502544502786,gagavision episode co knqq qq uy love,gagavision episode co knqq qq love
2,2,1235288787573407751,rt,rt
3,3,1235112167726133248,make music,make music
4,4,1234622847827333121,love merch available co mltbcekkf,merch co mltbcekkf
5,5,1234524574802333698,welcome coming april pre order album cover bu,order album cover bu
8,8,1233875067706019840,rt thank incredible years sign part next https,rt thank years part https
9,9,1233526534641614853,girl happier see celebrated favorite city world love nyc thank,girl happier city world nyc thank
10,10,1233525975708622848,toronto thank,toronto thank
11,11,1233525540100796416,la listen,la
12,12,1233523818032840704,thank listen playlist,thank listen
13,13,1233256476614877184,love new single amp music video,amp music video
14,14,1233244554976849921,earth cancelled,earth
15,15,1233243956483215360,single music video dropping minutes mind corner breathing pa,music video minutes corner breathing pa
16,16,1233121910931615744,love hours,love hours
17,17,1233069746091786240,love et tonight,et tonight
18,18,1232900786486558720,love single amp music video friday midnight et,amp music video midnight et
19,19,1232735454992068608,love midnight et,midnight et
20,20,1232347823787560960,love new single lady gaga friday midnight et,lady gaga midnight et
21,21,1230963590242304000,feelin like rebel,feelin rebel
22,22,1229980851129110528,thank monsters little monsters supported le monster lip crayon today love,thank monsters monsters monster lip crayon today
23,23,1229835579560316928,wore le monster matte lip crayon stage miami wear shade time daily life,monster matte lip crayon stage miami time life
24,24,1228334875482001410,celebrating valentine day wearing badass ring designed friend celebrate,day badass ring friend celebrate
26,26,1228003079749943297,le monster matte lip crayon drops amp put fucking paws,monster matte lip crayon paws
27,27,1228002860014555136,created product shades biggest fans testing long time like,product shades fans time
28,28,1226938105438978048,deal day today means lots special prices products use every day,deal day today prices products day
29,29,1224835742888685569,loved performing miami amazing weekend wore something new red carpet,miami weekend something carpet
30,30,1224511295472291840,rt showtime replay right right,rt showtime replay
31,31,1224510473510408192,thanks monsters replay,thanks monsters
32,32,1224207726072356864,missed performance last night watch tomorrow et,performance night watch tomorrow et
33,33,1224142846267138048,special guests incredible fun halftime show danced smiled,guests fun halftime show
34,34,1223682486263107584,every time tweet tonight using hashtag rt message donate,time tweet hashtag rt message donate
35,35,1223637189499600897,stream tonight pm et rsvp,stream tonight pm et rsvp
36,36,1222989814045134848,rt bringing back favorite sets new one time day glam limited quantities ch,rt sets time day quantities
37,37,1222030424739704832,thinking kobe bryant family praying healing reincarnation joy tr,kobe family reincarnation joy tr
38,38,1221149288706609152,performance week away watch live,performance week
39,39,1220142182595620865,stop,stop
