,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
2,2,1238301123888308224,important ever kind sick scared thi,kind thi
3,3,1237902245368180736,thank,thank
4,4,1237585172339421186,peter breaks hannah ann proposes madison,peter breaks proposes madison
5,5,1237523719083319296,pre save,pre
6,6,1237303160533745664,lady gaga chromatica ball paris pre sale co qncelpsa pre ordered copy,gaga chromatica ball paris sale co qncelpsa pre copy
7,7,1237080224530968577,beginning wanted amp powered perspectives,amp perspectives
8,8,1236724261374447616,celebrating strong women choice world pl,women choice world pl
9,9,1236041217588117505,rt ball tour kicking july amp citi cardmembers register ticke,tour july citi cardmembers ticke
10,10,1235740293304954882,would battle even break two,battle
11,11,1235492631112593408,fans london amp paris get priority access best tickets pre ordering,fans get priority access tickets
12,12,1235492486874681344,fans toronto register verified fan first access tickets register pm et saturday,fans register fan access tickets et saturday
13,13,1235492265503510529,fans us register verified fan first access tickets register et saturday,fans fan access tickets et saturday
14,14,1235491882299322368,lady gaga ball co cnembkpu,gaga ball co cnembkpu
15,15,1235387657368121347,ure tired working nonstop end spray painting whip,ure end spray whip
16,16,1235316502544502786,gagavision episode co knqq qq uy love,gagavision episode co knqq qq love
17,17,1235288787573407751,rt,rt
18,18,1235112167726133248,make music,make music
19,19,1234622847827333121,love merch available co mltbcekkf,merch co mltbcekkf
20,20,1234524574802333698,welcome coming april pre order album cover bu,order album cover bu
23,23,1233875067706019840,rt thank incredible years sign part next https,rt thank years part https
24,24,1233526534641614853,girl happier see celebrated favorite city world love nyc thank,girl happier city world nyc thank
25,25,1233525975708622848,toronto thank,toronto thank
26,26,1233525540100796416,la listen,la
27,27,1233523818032840704,thank listen playlist,thank listen
28,28,1233256476614877184,love new single amp music video,amp music video
29,29,1233244554976849921,earth cancelled,earth
30,30,1233243956483215360,single music video dropping minutes mind corner breathing pa,music video minutes corner breathing pa
31,31,1233121910931615744,love hours,love hours
32,32,1233069746091786240,love et tonight,et tonight
33,33,1232900786486558720,love single amp music video friday midnight et,amp music video midnight et
34,34,1232735454992068608,love midnight et,midnight et
35,35,1232347823787560960,love new single lady gaga friday midnight et,lady gaga midnight et
36,36,1230963590242304000,feelin like rebel,feelin rebel
37,37,1229980851129110528,thank monsters little monsters supported le monster lip crayon today love,thank monsters monsters monster lip crayon today
38,38,1229835579560316928,wore le monster matte lip crayon stage miami wear shade time daily life,monster matte lip crayon stage miami time life
39,39,1228334875482001410,celebrating valentine day wearing badass ring designed friend celebrate,day badass ring friend celebrate
41,41,1228003079749943297,le monster matte lip crayon drops amp put fucking paws,monster matte lip crayon paws
42,42,1228002860014555136,created product shades biggest fans testing long time like,product shades fans time
43,43,1226938105438978048,deal day today means lots special prices products use every day,deal day today prices products day
44,44,1224835742888685569,loved performing miami amazing weekend wore something new red carpet,miami weekend something carpet
45,45,1224511295472291840,rt showtime replay right right,rt showtime replay
46,46,1224510473510408192,thanks monsters replay,thanks monsters
47,47,1224207726072356864,missed performance last night watch tomorrow et,performance night watch tomorrow et
48,48,1224142846267138048,special guests incredible fun halftime show danced smiled,guests fun halftime show
49,49,1223682486263107584,every time tweet tonight using hashtag rt message donate,time tweet hashtag rt message donate
50,50,1223637189499600897,stream tonight pm et rsvp,stream tonight pm et rsvp
51,51,1222989814045134848,rt bringing back favorite sets new one time day glam limited quantities ch,rt sets time day quantities
52,52,1222030424739704832,thinking kobe bryant family praying healing reincarnation joy tr,kobe family reincarnation joy tr
53,53,1221149288706609152,performance week away watch live,performance week
54,54,1220142182595620865,stop,stop
55,55,1218239620330086405,rt enter via latest post instagram gt,rt enter post instagram gt
56,56,1216101829584359424,thank caring helping bring light mental health crisis happening around world,thank health crisis world
