,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
0,0,1235434894328770560,man accused golden state killer offered plead guilty exchange life sentence court,man state killer exchange life sentence court
1,1,1235430111194664960,new hampshire man flu like symptoms asked avoid contact people instead went part,hampshire man symptoms people part
2,2,1235424813956485126,top leaders united airlines announced plans cut international service april domesti,leaders airlines plans service april domesti
3,3,1235419777713295367,former secretary general javier de cu died,secretary javier cu
4,4,1235417258823835648,rt sure say bloomberg began made sense weds billionaire met something used large,bloomberg sense weds something
5,5,1235414749577347073,president trump tapped former chemical industry executive lead consumer product safety commission inde,president trump chemical industry executive consumer product safety commission inde
6,6,1235410456182951938,read updates chinese co uu temduss,co temduss
7,7,1235409728697585665,cruise ship bound california believed linked first coronavirus death outside washington state,cruise ship california coronavirus death washington state
8,8,1235407223628709889,dr bruce aylward world health organization got rare glimpse beijing campaign stop coronavir,dr world health organization glimpse campaign stop coronavir
9,9,1235404682010468352,rt confirmed coronavirus cases new york morning almost doubled cases afternoon,rt cases york morning cases afternoon
10,10,1235399655459975168,researchers confirmed human caused climate change impact australia recent devastating wildfires,researchers climate change impact devastating wildfires
11,11,1235394623754964992,presidential election calendar co ywmqmozygw,election calendar co ywmqmozygw
12,12,1235389588228669440,rt one way see impact satellite imagery found,way imagery
13,13,1235384580728733697,european officials met greta thunberg hoping win support proposed climate law told,officials thunberg support climate law
14,14,1235380083956699136,sign get daily briefing email weekday fill,sign email weekday
15,15,1235379511711195137,coronavirus daily briefing schools closed italy cases cropped new york,briefing schools cases york
16,16,1235374480542904320,rt coronavirus taken big toll arts world terms closed venues canceled events also spurred,rt coronavirus toll arts world terms venues events
17,17,1235369479263211522,evening briefing need know end day,need end day
18,18,1235364437227433984,high school student took anti semitic picture school trip texted classmates new jersey,school student picture school trip jersey
19,19,1235359393920712704,rt st death coronavirus reported california los angeles co declares state emergency new cases total,rt death coronavirus los angeles co state emergency cases
20,20,1235357705222713344,intentionally targeting local news organizations search part market,news organizations part market
21,21,1235354403881836546,kenji alt make vegan chili,kenji alt chili
22,22,1235349324088987648,thank friend john american men stayed touch texting back forth making new,thank friend men
23,23,1235344308250824704,rt new mounting losses elizabeth warren goes dark reassess count bleak ca,losses warren reassess count bleak
24,24,1235341776795422720,nbcuniversal sold billion ads olympics tokyo summer media giant anxious abo,ads olympics summer media abo
25,25,1235339282279272449,rare rebuke chief justice john roberts condemned remarks senator chuck schumer attacking president trump,rebuke chief justice john roberts remarks schumer president trump
26,26,1235335782623215617,house approved billion emergency aid combat coronavirus bipartisan package includes,house emergency aid combat coronavirus package
27,27,1235334236879671297,joe biden texas democratic primary significant win primary season support,joe biden texas win primary season support
28,28,1235331403300196352,rt perhaps biggest non presidential moment cycle upon months saying would run,rt moment cycle months
29,29,1235329186555990018,solid night bernie sanders politics reporter explains even though joe biden wo,night bernie sanders politics explains joe biden
30,30,1235326673513480204,volodymyr zelensky ukraine president fired cabinet wednesday suggesting become overl,volodymyr president cabinet wednesday
31,31,1235324166863282176,people rewatching star studded thriller contagion coronavirus outbreak continues felt li,people star thriller contagion coronavirus outbreak li
32,32,1235321635416264705,bernie sanders delivered striking assessment campaign wednesday saying,bernie sanders assessment campaign wednesday
33,33,1235319134294093827,taliban resumed attacks afghan forces soon deal end war mil,taliban attacks forces war mil
34,34,1235316624342818816,gov steve bullock montana poised run senate months insisting according dem,gov steve bullock montana months dem
35,35,1235316020446978051,rt five years bad crash left unable play josh speidel finally got shot miss,years crash play josh speidel miss
36,36,1235314397297418241,breaking news amp rose percent bouncing back steep drop investors reacted joe,news amp percent drop investors joe
37,37,1235314090496716800,president trump responded criticism administration response coronavirus pointing testing,president trump criticism administration response coronavirus
38,38,1235312087536144386,joe biden clinched maine primary edging bernie sanders th super tuesday win co bnkodpbj,joe biden bernie sanders tuesday co bnkodpbj
39,39,1235309082598412290,supreme court began hearing arguments today major abortion case could leave state louisia,court arguments today abortion case state louisia
40,40,1235306531203186688,simon amp schuster publishing powerhouse behind best selling authors like stephen king ursula le guin ju,simon amp schuster publishing powerhouse authors stephen le guin ju
41,41,1235304031125417987,last month president trump named richard grenell acting director national intelligence,month president trump richard grenell director intelligence
42,42,1235303766104199168,thanks raised important point marketing team buys key words news subscr,thanks point marketing team words news subscr
43,43,1235301516464082944,bloomberg news lifted coverage restrictions founder mike bloomberg dropped president,news coverage restrictions founder bloomberg president
44,44,1235298997050494977,hundreds millions students around globe school provinces cities towns work contain,hundreds millions students school provinces cities work contain
45,45,1235296471848714242,hundreds thousands single family homes hands giant companies squeezing renters revenu,hundreds thousands family homes companies renters
46,46,1235294698992005122,breaking news italy closing schools day cares universities coronavirus outbreak spreads,news italy closing schools day universities spreads
47,47,1235293981971488780,joe biden strong showing super tuesday politics reporter explains pair,joe biden showing super tuesday politics explains pair
48,48,1235288934126620673,deeply concerning distressing see one community one neighbors dealing challenge,community neighbors challenge
49,49,1235286412045545473,officials los angeles county declared local state emergency help respond cases coronavirus,officials angeles county state emergency help respond cases
50,50,1235285148482101248,rep henry cuellar texas eight term incumbent one conservative democrats congress narrow,rep henry texas term democrats
51,51,1235283891029790720,general motors wednesday laid comprehensive plan produce affordable electric vehicles including severa,motors plan vehicles severa
52,52,1235281640085229568,breaking news cdc broadened guidelines coronavirus testing anyone symptoms doctor ap,news cdc guidelines coronavirus anyone symptoms doctor ap
53,53,1235280645779312640,rt finally side break means,rt break means
54,54,1235278899912814592,opinion cottle writes tumult democratic race come two straight,opinion cottle race straight
