,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
0,0,1235340126567485442,take finding four leaf clover feel lucky festive st patrick day crafts kids,leaf clover st day crafts kids
1,1,1232780129190977536,best organic natural skin care products pregnant nursing moms co jrq ntg,skin care products nursing moms jrq ntg
2,2,1232695882744827905,figure flattering swimsuits feeling like pre baby self,figure swimsuits pre baby self
3,3,1232391825102712833,serena williams likes celebrate child adorable way co vnbui wk,williams child way co vnbui wk
4,4,1232333969275920384,moms raving tummy control fabric leggings amazon co eiq syy,moms tummy control leggings eiq syy
5,5,1232326965182504961,best stain removers every mess family throws co ltklcvn,stain removers mess family co ltklcvn
6,6,1232319679491907585,best plane toys entertaining wiggly toddlers co jlcxsqnghs,plane toddlers jlcxsqnghs
7,7,1227285679425695745,best essential oil diffusers zen home co tno fe,oil diffusers home co tno fe
8,8,1226827692005371904,want get cheesy still much love even national pizza day super,get cheesy pizza day
9,9,1225527626221178880,queer eye fashion expert tan france breaks find right eyewear face,queer eye fashion france breaks face
10,10,1225520430922059778,disney offering gift subscription cards valentine day get one co pmqcqkzixs,disney gift subscription cards day co pmqcqkzixs
11,11,1225173528992997378,newest fashionistas doll keeps selling tracked co jbmb hobfo,fashionistas keeps jbmb hobfo
12,12,1224450923520385025,check roundup best children books celebrate black history month co jpbypf,check roundup children books history month co jpbypf
13,13,1223396771495280643,rounded cutest sporting gear outfit babe along best accessories get,cutest babe accessories
14,14,1223382739015143424,founder casey georgeson spoke importance clean organic,founder casey georgeson organic
15,15,1222996786631127046,check loveable little valentine day pieces playful cutie adore want wear long,check day pieces cutie wear
16,16,1222995368058793992,style little sweetheart something fun festive feb click list picks favori,style something fun feb list picks
17,17,1222648800067584001,rounded best flower delivery services guaranteed ship prettiest valentine day picks,flower delivery services valentine day picks
18,18,1222648270381572096,rounded lovely little valentine day finds mom fragrances jewelry let,day fragrances jewelry let
19,19,1222647802951622657,check roundup super cute valentine day books kids want add reading collecti,check roundup valentine day books kids reading collecti
20,20,1219685947304038400,rounded little something special kids celebrate valentine day fun gift ideas gua,something kids day gift ideas
21,21,1219685481996267521,check favorite picks target affordable new motion activewear collection made get famil,picks motion collection get famil
22,22,1219076923403444224,top anti aging creams,anti creams
23,23,1218292403402104832,sweet valentine day ideas men co gsgnbuon,day ideas men gsgnbuon
24,24,1216859128389361666,pieced together perfect puzzles celebration national puzzle month make popular educational,puzzles puzzle month educational
25,25,1216858699492397056,rounded lucky finds celebrate year rat style co unx ydcbz,finds year rat style co ydcbz
26,26,1216779000137310209,new apple iphone parent dream co xayujtgq,apple iphone parent dream co xayujtgq
27,27,1216743666968035330,snowsuits keep little one warm cozy winter,snowsuits warm cozy winter
28,28,1216743187445960705,amazon shoppers think need flattering denim leggings actually pockets,amazon shoppers leggings pockets
29,29,1215815794145267714,best cases nintendo switch,cases
30,30,1215766215169400838,take advantage super savings must haves babe buybuy baby big deal baby sale,advantage savings buybuy baby deal baby sale
31,31,1215764754180005889,rounded latest launches athletic gear landing stores keep kid looking good feeli,launches stores kid feeli
32,32,1215426884349124609,check magical piece disney princess dinnerware set target,piece disney princess dinnerware target
33,33,1215387818761105409,best multivitamins every member family,multivitamins member family
34,34,1214976476094836736,super cool winter gear guaranteed keep kid warm outdoors,cool winter kid outdoors
35,35,1214976252043517953,celebrate national winnie pooh day playful picks,winnie day playful picks
36,36,1214625692018720770,maternity workout essentials keep moving co tuprgfyu,maternity workout essentials co tuprgfyu
37,37,1212761087139024899,thermometer switch forehead ear mode amp currently amazon co abjrnx vzc,thermometer switch forehead mode amp co abjrnx vzc
38,38,1210299404944629766,put gift cards good use start shopping amazon amazing year end deals co efhzt bf,gift cards use start shopping amazon year end deals bf
39,39,1210299057870135298,ring baby new year fun finds co tkwlvhy,baby year fun tkwlvhy
40,40,1208126450865455111,check fun family themed ideas enjoy holidays together co fjoeti un,check family ideas fjoeti un
41,41,1207768529803644937,rounded fab gift ideas mom guaranteed put smile face co onom bisa,gift ideas face co bisa
42,42,1207767525364252674,want christmas adorable kids holiday onesies co rhbbtzh ji,christmas kids holiday onesies rhbbtzh ji
43,43,1207765688905076737,rounded best classic toys boys girls seem get better time,toys girls time
44,44,1207706277167718407,found best last minute gifts amazon co ac vtmxqfh,minute gifts ac vtmxqfh
45,45,1205867608836325378,amazon whole section disney christmas gifts love,section disney christmas gifts
46,46,1205622001815228416,last minute holiday shoppers still snag super sale prices fab toy finds days de,minute holiday shoppers sale prices finds days
47,47,1205212645038710784,shop exclusive sephora holiday gift sets beauty obsessed friends family co mpbwhtytem,shop sephora sets friends family co mpbwhtytem
48,48,1205134122043269120,bags obsessed coach insane holiday sale,bags coach insane holiday sale
49,49,1204858170948108289,kids create picture perfect designs featuring favorite frozen characters crayola cool new art co,kids picture designs characters art co
50,50,1204852124963811329,check new jujube harry potter collection destined land top favorite potterhead wizard,jujube harry potter collection favorite potterhead wizard
51,51,1204771702024081408,love adorable dollhouses less,love dollhouses
52,52,1204184205531471873,still time shop super sales take advantage walmart great green monday deals gaming consoles,time sales monday deals consoles
53,53,1204094039638851584,walmart currently offering toys green monday,toys monday
54,54,1202338932236718080,want rock around christmas tree fun festive jammies co tls nv vpx,want rock christmas fun jammies nv vpx
55,55,1201631304904855552,still time clock grab great ps cyber monday deal late co dbjcwjbr,time clock grab ps cyber deal co dbjcwjbr
56,56,1201630578770096128,shop amazon cyber monday sale stock cold weather essentials keep cutie warm winter,shop amazon cyber sale stock weather essentials cutie winter
57,57,1201577583239929861,dyson cyber monday deals save hundreds including rare deal cult favorite hair dryer,dyson cyber deals hundreds deal cult hair dryer
58,58,1201565772566454275,shop amazing beauty buys ulta super cyber monday sale co wyumxymkjr,shop beauty buys cyber sale co wyumxymkjr
59,59,1201553203977998336,miss disney cyber monday deal happening today,disney cyber deal today
60,60,1201545241301524480,got best cyber monday deals one place co igfstuczrm,cyber place co igfstuczrm
61,61,1201164450163757056,amazon cyber monday deals better ever co fh krbmav,amazon cyber deals fh krbmav
62,62,1201163452506628097,start shopping walmart cyber monday deals today save big,start cyber deals today
63,63,1200475707660476417,shop best deals roomba black friday co jx uyzzh,shop deals friday co jx uyzzh
64,64,1200009953538461696,game time right around corner thanks amazing nintendo black friday deals walmart,game time thanks deals
65,65,1199704239494385665,amazon cyber monday deals better ever co fh krbmav,amazon cyber deals fh krbmav
66,66,1199351237747060737,oprah called digital frames amp majorly sale black friday,oprah frames sale friday
67,67,1197610007078019072,deck kiddo chic janie jack party collection pieces picture perfect holiday looks,deck kiddo janie jack party collection pieces holiday looks
68,68,1197196146181050370,amazon coat comes four new metallic colors perfect holidays,amazon coat colors holidays
69,69,1196575629107507202,sesame street celebrates years cutest isaac mizrahi collection kids co zezianbwrx,street celebrates years isaac mizrahi collection kids zezianbwrx
70,70,1196557496435052544,magical frozen lego sets building excitement sequel co cmkyfkmm,lego sets excitement sequel co cmkyfkmm
71,71,1195507342231642113,look upcoming target black friday deals,look target deals
