,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
0,0,1239311662357741568,yaya toure brilliant best,toure brilliant
1,1,1239258077725065216,best thing could happened remembers freddie sears debut goal,thing remembers sears goal
3,3,1239177024989794311,juninho geremi sealed victory style,juninho geremi victory style
4,4,1239176216185384960,rt happy birthday,rt birthday
5,5,1239176042071408641,rt happy birthday turns today,rt birthday today
6,6,1239163153008799745,rt tiny striker giant goal came behind beat blackburn freddie sears,rt striker giant goal blackburn freddie sears
7,7,1239155382439882753,peak,peak
8,8,1239138239950315522,name hidden stadium gallery,name stadium gallery
9,9,1238968400329629697,stunning finish,finish
11,11,1238867266583789570,lens,lens
12,12,1238839658597044225,rt helping need clubs donating unused food local charities,rt need clubs food charities
13,13,1238821935275884547,marc overmars wins old trafford,marc overmars trafford
14,14,1238801784786825216,rt st mary rocking antti niemi kevin phillips combined seal memorable,rt st kevin phillips
16,16,1238768162910408704,rt day robot dance born years though,day dance years
17,17,1238768092550922240,rt hitzlsperger mellberg big win molineux http,rt hitzlsperger mellberg win molineux http
18,18,1238762209028734976,whip,whip
19,19,1238555955232677889,due ongoing situation regarding covid premier league taken decision postpone,situation premier league decision postpone
20,20,1238421022652628992,premier league fa efl wsl collectively agreed postpone professional game england sta,league fa efl wsl game england sta
21,21,1238244529754517504,rt saturday match postponed following news broke earlier evening,rt match news
22,22,1238233442212622339,premier league convene emergency club meeting tomorrow morning regarding fixtures mikel arteta te,league convene emergency club meeting tomorrow morning fixtures te
23,23,1238190461451452418,rt five star united,rt star
24,24,1238148497943040002,goalkeepers different level,goalkeepers level
25,25,1238124954144604161,rt boost us,rt
26,26,1238117633305837569,maximin bissaka stars feature,maximin bissaka feature
27,27,1238102686777696259,rt popular wing back enda stevens signed new long term contract extend stay bramall lane,rt wing stevens term contract stay lane
28,28,1238100191833718785,rt aston villa away day frank lampard became time leading goalscorer,aston villa day lampard time goalscorer
29,29,1238097761515581443,rt sd confirms injuries ahead weekend rodriguez miss game twisted knee,rt sd injuries weekend rodriguez game knee
30,30,1238077530298560512,venus strike world,venus strike world
31,31,1238059662626426881,welcome skills show,skills
32,32,1238053412861771780,rt injury update going couple weeks picked injury full sq,injury update weeks sq
33,33,1238048584555167744,rt training ft drone,rt training ft drone
35,35,1238047095338172420,birthday,birthday
36,36,1238046395501854720,rt happy birthday great day deano,rt birthday day
37,37,1238041319613882368,happy birthday,birthday
38,38,1238039671743098881,five goal thriller alert came top,goal thriller alert
39,39,1238026437627650048,rt bon anniversaire,rt bon anniversaire
40,40,1237882495061745664,kevin phillips getting time space best,kevin phillips time space
41,41,1237773378217541634,rt secured dramatic win spurs scored first chelsea goal,rt win spurs chelsea goal
42,42,1237762472544739329,table looks ahead weekend,weekend
43,43,1237744066051428353,wan bissaka shackled man city attacking players exceptionally explains team week picks,wan bissaka man city players team week picks
44,44,1237736238469255168,rt debut ball delivered,rt debut ball
45,45,1237717910832857088,penalty save winner goal stunning victory,penalty save winner goal victory
46,46,1237697744778780672,rt one day would love captain,day captain
47,47,1237686956542382081,yards problem kevin phillips,yards problem phillips
48,48,1237682058979422209,rt confirm goalkeeper martin suffered knee injury saturday premier league win southampton,rt confirm goalkeeper martin injury saturday league southampton
49,49,1237674173134245888,happy birthday,birthday
50,50,1237673923237556225,rt happy birthday great day,rt birthday day
51,51,1237668449834450945,happy birthday,birthday
52,52,1237659176450641920,rt classic giggsy,rt giggsy
53,53,1237659155978162176,rt let make birthday remember,
54,54,1237636387811274754,icymi man city arsenal postponed precautionary measure,man city measure
55,55,1237568067766345728,rt club statement co eb fhkq,rt club statement co eb fhkq
57,57,1237487911089700864,former premier league referee chris foy explains key decisions involving match officials var,premier league chris foy decisions match officials
58,58,1237434812446781440,close best pics matchweek,pics
59,59,1237413598672060416,rt taken one year option federico fern contract extend stay st james park end,rt year option federico contract stay james end
60,60,1237401596176281601,team week picks,team week picks
61,61,1237378172381003777,talk late drama classic,talk drama classic
62,62,1237371657959940096,rt pep training know fit tomorrow okay,rt tomorrow okay
63,63,1237347527286034433,match official appointments matchweek mar confirmed,match official appointments mar
64,64,1237325323718537217,super son,son
65,65,1237272241471176704,leicester scored goals home away side season first time,leicester goals home season time
66,66,1237240028910309376,marc albrighton many assists riyad mahrez leicester city jamie vardy stev,assists city jamie vardy stev
67,67,1237201023988621312,thomas sorensen peter schmeichel christian eriksen fourth danish playe,thomas sorensen peter schmeichel eriksen playe
68,68,1237163759107538944,cut left bend ball far corner,cut ball corner
69,69,1237151947842617349,leicester back business,leicester business
70,70,1237140872325726212,jamie vardy back top,jamie vardy
71,71,1237133874959876096,jamie vardy amp harvey barnes net twice wrap points,jamie vardy amp barnes wrap points
