,Unnamed: 0,id,cleaned_word_list,cleaned_word_list_nouns
0,0,1235299390870499329,today ed deputy secretary mick zais met students staff career focused school offering,today deputy secretary mick zais students staff career school offering
1,1,1235294691358371843,higher priority administration protecting health safety america,priority administration health safety america
2,2,1235241334413430784,today combines rigorous academics cutting edge technical skills prepare students ages,today combines academics edge skills students ages
3,3,1235198250870804481,rt blog meet levi welsch learning gain independence even though losing sight levi gained new skills,rt blog meet welsch gain independence levi skills
4,4,1234894840162398208,rt take guessing future could hold school college scorecard stats comparisons need,rt future school college scorecard stats comparisons
5,5,1234535989449830401,variety career paths take space engineer take specific path,variety career paths space engineer path
6,6,1234531888087392263,rt oh places go starts completing fafsa form https,rt oh places form https
7,7,1234523778572529664,read things know learn places go dr,things places dr
8,8,1234478294038433799,rt enjoyed learning incredible programs using allocated,rt programs
9,9,1234477127149461509,rt visit sandburg elementary director vanderploeg visited early learning center pa,visit sandburg director vanderploeg learning center pa
10,10,1234477051975000064,rt osep director laurie vanderploeg visited sandburg elementary school early learning center,rt director vanderploeg school learning center
11,11,1233462621426405383,provides important pathway success high school students offers student opportunities per,pathway success school students student opportunities
12,12,1233449011992039425,high school meant connect lead postsecondary programs additional training high scho,school lead programs training scho
13,13,1233062256038072320,rt additionally fy budget calls billion funding idea programs million incr,rt budget funding idea programs incr
14,14,1233062247796281345,rt administration wants every student america education options focus preparing succes,administration student education options succes
15,15,1233062239340498944,rt fy budget renews call historic investment america students scholarships https,rt fy budget investment america students https
16,16,1233062230691864578,rt americans spend education yearly last year congress appropriated billion programs,rt americans education year programs
17,17,1233062221250428929,rt call consolidating nearly existing formula amp competitive grant programs one block grant,rt call formula grant programs block grant
18,18,1233062201893752838,rt administration fy budget transformative one puts students first dramatically reduces federal role,administration fy budget students role
19,19,1232771717615046656,rt welcomed ms aimee viana today student led showcase cte programs proud,rt aimee viana today student showcase cte programs
20,20,1232729359418523648,rt child ever endure atrocities parent think twice child safety sc,rt child atrocities parent safety sc
21,21,1232729341005586433,rt seen tragic rise sexual assault cases public schools reported sexual assaults rapes attempted,rt rise assault cases schools assaults rapes
22,22,1232363435314339840,rt celebrated cte month morning observing high school students preparing teachers,rt month morning school students teachers
23,23,1232362728234287104,agricultural education long essential parts nation system,education parts nation system
24,24,1232312715873525760,cte sequence courses learning experiences combine rigorous academics cutting,cte sequence courses experiences academics
25,25,1232307621996134401,rt starting job hunt know questions ask career fair career search tool help get started,rt job hunt questions career career search tool help
26,26,1231994106534121472,experience federal student aid matters committed improving customer experience,experience student aid matters customer experience
27,27,1231974134151819265,rt always stem us things drop public eye go away always sci,rt things eye
28,28,1231960052824715265,rt today combines rigorous academics cutting edge technical skills prepare students ages colleg,rt today academics edge skills students colleg
29,29,1230524403496169474,rt federal work study initiative help break artificial barriers education amp industry fir,work study help barriers amp industry fir
30,30,1230524382424043520,rt icymi announced new initiative experimental site allow students insti,rt icymi site students
31,31,1230241094622949378,rt honored join administrator celebrate breaking barriers honor,rt administrator celebrate barriers
32,32,1230221011976671234,plan design check share jamerson elementary school leveraging concepts ea,plan design check share jamerson school concepts
33,33,1230167156681138176,years expected graduation date students focused courses high school,years graduation date students courses school
35,35,1230126952310353922,rt everyone rich powerful well connected,rt everyone
36,36,1230126326151073792,much love moment student discovers something new first time,moment student discovers something time
37,37,1229852620396863488,rt data shows students participated courses higher median annual earnings years,rt data students courses earnings years
38,38,1229842265993957376,provides important pathway success high school students offers students opportunities persona,pathway success school students students opportunities
39,39,1229822102007619585,rt building future possible without happy national current next generatio,rt building future generatio
40,40,1229765870437781505,rt culturally competent schools support students diverse ethnic racial backgrounds take look,rt schools support students backgrounds look
41,41,1229405135949844480,happy,
42,42,1228417862647369729,week acting assistant secretary mark schultz toured las vegas junior academy school striving,week assistant secretary mark schultz las school
43,43,1228391708032950273,developed collaboration amp help empower,collaboration amp help
44,44,1228369102332403712,amazing group former teachers work ed thankful leadership,group teachers leadership
45,45,1227977647122190336,rt tuesday aimee viana toured tag program part students shared talents wit,rt tuesday viana program part students talents wit
46,46,1227622388759695362,aaron quite sure career path pursue discovered program fueled passion,aaron career path pursue program passion
