,Term,frequency
4292,year,461
3264,rt,361
1481,food,313
3980,travel,199
203,awards,143
4143,vote,141
804,co,133
1964,issue,124
3880,thanks,110
1852,hotel,107
3105,reader,105
4194,weekend,96
768,city,93
3159,restaurant,84
1033,day,79
91,amp,78
702,chef,75
3924,today,75
849,congratulations,73
3736,summer,64
4267,world,62
3908,time,61
4005,trip,56
960,cruise,55
848,congrats,54
2233,london,50
2563,night,50
4192,week,49
396,book,48
2886,please,48
2281,magazine,46
3357,school,45
2199,line,45
3116,recipe,45
1828,holiday,45
823,com,44
687,check,44
2576,nominations,44
4012,try,43
256,bar,42
3375,season,39
4232,win,38
3879,thank,38
1121,dinner,38
879,copy,38
3299,salad,37
639,celebrate,35
3117,recipes,35
3948,tour,34
2469,month,34
1051,decide,34
735,chocolate,33
2478,morning,32
4184,way,32
1936,inspiration,31
1097,destination,31
1758,head,31
50,airline,30
2541,need,30
932,cream,30
1833,home,29
664,chance,29
3106,readers,29
4241,winner,29
869,cookery,28
1594,get,28
590,capital,28
1649,gourmet,28
3932,tomorrow,28
4237,wine,27
3903,tickets,26
1035,days,26
1217,editor,26
4245,winter,26
2643,operator,26
3334,sauce,25
748,christmas,25
1853,hotels,25
1702,guide,25
3160,restaurants,25
3848,team,25
3652,start,25
1290,everyone,24
1374,favourite,24
1131,discover,24
3876,th,24
1385,feature,23
119,anyone,23
1888,ice,23
4133,visit,23
3847,tea,23
3369,sea,23
3301,sale,23
3935,tonight,22
3207,river,22
839,competition,22
447,break,22
3166,retailer,21
448,breakfast,21
703,chefs,21
1836,honey,21
1180,drs,21
1865,http,21
3705,style,21
1559,game,21
3558,something,21
202,award,20
1267,escape,20
3910,timeless,20
3740,sun,20
1215,edition,20
3715,subscription,20
1463,flhwkr,20
1254,enter,20
1457,flavours,20
3598,specialist,20
3587,spain,20
716,chicken,19
3179,review,19
2263,lunch,19
3457,show,19
3213,roast,19
3626,spring,19
1734,hand,19
1752,haul,19
1536,fruit,18
2248,love,18
866,cook,18
2741,party,18
3957,town,18
3832,taste,18
2369,meal,18
2932,post,17
2923,pork,17
2237,look,17
1944,interview,17
1187,duck,17
23,adventure,17
3348,scene,17
4242,winners,16
2823,pick,16
694,cheese,16
193,autumn,16
2268,luxury,16
1349,family,16
3434,shelves,16
1135,dish,16
3484,simple,16
387,bolthole,16
915,cover,16
3657,stay,16
3982,traveller,16
3451,shortlist,16
2396,menu,16
2591,nothing,16
3821,tapas,16
766,cities,15
3622,spot,15
3742,sunday,15
2331,mark,15
3916,tips,15
369,blossom,15
2550,newcomer,15
373,blues,15
3639,st,15
1137,dishes,15
3371,seafood,15
313,beef,15
2688,page,15
3826,tart,15
1617,glass,14
2936,potato,14
3231,roll,14
34,afternoon,14
1857,hours,14
2007,join,14
3464,side,14
724,chilli,14
2208,list,14
1799,hi,14
109,announce,14
3693,street,14
