,Term,frequency
1728,rt,154
2200,video,99
517,day,95
2329,yes,85
673,episode,80
1874,song,72
1212,love,72
2082,time,69
938,heart,66
2097,today,57
1376,mtv,55
2122,track,45
953,hi,44
2322,year,41
2226,wait,39
2103,tonight,38
200,birthday,37
1381,music,35
44,album,35
1492,performance,34
1519,pics,34
1169,life,34
2248,way,33
688,everything,31
2050,thank,30
2259,week,29
1953,story,29
1510,photo,29
165,bb,28
2303,world,28
2085,times,27
1697,right,27
1767,season,27
2241,watch,26
1199,look,25
2168,tysm,25
786,friends,24
2305,wow,23
2161,tweet,23
1774,see,22
2059,things,22
345,cece,21
2260,weekend,21
927,head,21
735,feel,21
1403,night,21
2323,years,20
1365,morning,20
920,harry,18
1355,mood,18
1474,party,18
1679,repeat,18
433,confirm,18
1433,omg,18
2100,tomorrow,18
1396,need,17
1343,moment,17
1625,queen,17
443,content,17
73,angel,16
972,home,16
1415,nothing,16
687,everyone,16
2040,tell,16
1875,songs,16
1807,show,15
331,carpet,15
2048,th,15
105,artist,15
979,hope,15
976,honor,15
1496,period,15
1332,miss,15
1533,playlists,15
662,end,15
1540,pls,15
1136,kobe,14
382,choice,14
2058,thing,14
466,course,14
1565,power,14
1716,room,14
1920,stan,13
1534,please,13
2234,want,13
1575,premiere,13
1201,looks,13
1872,someone,13
2022,taste,13
337,cast,12
453,correct,12
2018,talk,12
1279,mean,12
898,hair,12
824,girl,12
379,chills,12
710,fact,12
719,family,12
1532,playlist,12
1602,proud,12
78,answer,12
514,date,11
503,dad,11
793,fun,11
785,friend,11
819,gif,11
982,house,11
1480,peak,11
143,baby,11
1483,people,11
1160,let,11
547,desk,11
1297,memories,11
2300,work,11
1873,something,10
1269,masterpiece,10
481,crime,10
666,enjoy,10
1705,rn,10
489,cry,10
546,deserves,10
857,gosh,10
708,face,10
7,absolute,10
1342,mom,10
1173,lil,10
367,check,10
1552,pop,10
2193,vibe,9
1916,stage,9
1762,screams,9
2017,talent,9
951,hey,9
1131,know,9
1256,march,9
360,chance,9
1848,smile,9
2155,tunes,9
529,decade,9
82,anyone,9
238,bops,9
383,choices,9
1247,man,9
428,concert,9
498,cute,9
846,gonna,9
2079,tiktok,9
1476,pass,9
659,emotions,9
2184,valentine,9
1512,photos,9
2264,welcome,9
948,help,9
2051,thanks,9
410,collab,9
2317,ya,9
266,breath,9
812,get,9
488,crush,8
505,dance,8
981,hours,8
728,favorite,8
610,drop,8
665,energy,8
2208,visuals,8
964,history,8
348,celebrate,8
2036,tears,8
638,eee,8
783,friday,8
1528,plans,8
2060,think,8
1792,shawn,8
436,congrats,8
128,award,8
676,era,8
104,art,8
167,bc,8
469,cover,8
237,bop,8
1026,interview,8
1676,release,8
2195,vibes,8
1514,pic,8
2117,tour,8
801,game,8
787,friendship,8
2199,vid,8
1628,questions,7
705,eyes,7
1932,start,7
1069,jes,7
1927,star,7
1502,person,7
886,guys,7
463,couple,7
288,bryant,7
2210,vocals,7
1123,king,7
1326,mind,7
1526,place,7
1185,listening,7
1793,sheldon,7
1988,support,7
2094,tl,7
1093,julia,7
339,catch,7
1230,lyrics,7
1487,perfect,7
792,ft,7
1879,sooooo,7
934,heard,7
1188,lives,7
737,feelings,7
1677,reminder,7
92,appreciation,6
1675,relationship,6
2139,trip,6
600,dream,6
239,boss,6
1657,reasons,6
1791,share,6
1231,mac,6
1399,news,6
943,hehe,6
1969,styles,6
1353,month,6
1330,minutes,6
946,hello,6
10,acceptance,6
1531,play,6
844,goddess,6
566,discography,6
878,growth,6
602,dreams,6
2280,win,6
280,brings,6
875,group,6
1322,miller,6
933,hear,6
1706,road,6
1878,soooo,6
829,glad,6
80,anthem,6
986,hug,6
1685,rest,6
83,anything,6
2083,timeless,6
1770,seconds,6
2299,words,6
1206,lot,6
738,feels,6
545,deserve,6
371,chef,6
932,health,5
882,guess,5
911,hang,5
1328,mine,5
2127,transition,5
405,club,5
2159,tv,5
859,gotta,5
1344,moments,5
909,hand,5
880,gt,5
861,grab,5
1537,pleasure,5
354,ceo,5
1515,pick,5
1900,speech,5
1125,kiss,5
1901,speechless,5
1347,monday,5
1577,preparation,5
1260,marina,5
2333,yesterday,5
26,advice,5
995,icon,5
715,fall,5
1432,okay,5
1002,idk,5
1208,louis,5
1891,sorry,5
1007,imagine,5
1722,rotation,5
20,action,5
2069,thread,5
726,faves,5
2286,winner,5
1935,starts,5
1177,line,5
2289,wish,5
750,finale,5
603,dress,5
1081,join,5
1708,rock,5
1162,level,5
1387,name,5
173,beauty,5
1153,legacy,5
1062,jelani,5
1754,saw,5
2181,use,5
233,book,5
1438,ooo,5
2198,victoria,5
1149,lauren,5
518,days,5
2207,vision,5
823,gimme,5
1631,quiz,5
966,hits,5
2215,vote,5
515,daughter,5
1371,movie,5
1127,kitchen,4
385,choreo,4
1195,lol,4
2105,toooo,4
624,duty,4
1938,statement,4
1908,spoiler,4
1217,lt,4
670,epic,4
674,episodes,4
1912,st,4
1924,stans,4
1949,stop,4
713,fair,4
723,fashion,4
1894,sounds,4
2106,toooooo,4
1892,soul,4
623,duo,4
775,forever,4
621,dum,4
789,friggen,4
1643,ray,4
1640,rapper,4
459,count,4
842,goals,4
2047,text,4
2046,test,4
432,confidence,4
818,gianna,4
1543,point,4
528,debut,4
1847,sm,4
1132,knows,4
1168,lie,4
1542,pm,4
1227,luv,4
555,dimple,4
559,direction,4
407,co,4
1991,surprise,4
564,disappearance,4
1576,premieres,4
777,forget,4
2091,tissues,4
1864,sobs,4
755,fire,4
1232,maddie,4
393,class,4
392,city,4
1626,queens,4
1122,kind,4
1488,perfection,4
64,alyssa,4
156,bangs,4
989,human,4
1678,remix,4
1078,joe,4
1426,ohmygosh,4
2212,voice,4
1397,needs,4
2341,yummy,4
925,hbd,4
1455,page,4
1005,im,4
295,bunny,4
1408,noise,4
1769,seat,4
2312,xoxo,4
306,bye,4
2284,wink,4
2244,water,4
1460,pals,4
2336,youtube,4
1494,performer,4
965,hit,4
79,answers,4
218,blush,4
2201,videos,4
2321,yeah,4
32,agree,4
193,billie,4
1431,ok,4
2332,yesssss,4
2233,wanna,4
1354,months,4
2185,valentines,4
179,belongs,4
2183,vacation,4
49,alert,4
257,brain,4
2146,truth,4
2214,volume,4
1470,parties,4
110,ask,4
2120,town,4
2296,women,4
1786,set,4
2306,wowow,4
333,cartel,4
69,amp,4
98,ari,4
1084,jonas,4
1527,plan,4
910,handle,4
2287,winners,4
902,halftime,4
1771,secrets,4
313,callum,4
2295,woman,3
2020,talks,3
1158,leonie,3
1226,lungs,3
721,fans,3
524,death,3
649,elle,3
1099,jungkook,3
1214,loves,3
171,beat,3
2014,take,3
90,appreciate,3
1423,official,3
1213,loveeee,3
1468,part,3
42,alarm,3
1596,prom,3
81,anticipation,3
2218,vs,3
816,ghost,3
1101,justin,3
1880,soooooo,3
1375,mt,3
1960,strut,3
1559,positivity,3
194,bills,3
508,danielle,3
509,danny,3
1183,list,3
1564,pov,3
974,honest,3
2227,wake,3
1465,parents,3
2242,watches,3
169,beach,3
1942,steph,3
556,dimples,3
1184,listen,3
1974,suit,3
1422,office,3
1853,smooches,3
1481,pedretti,3
1003,ig,3
127,aw,3
1951,stories,3
1239,make,3
1610,pup,3
1726,royalty,3
1009,impact,3
1720,roses,3
1863,sob,3
1172,light,3
1087,journey,3
1939,stay,3
1310,miami,3
52,alexa,3
164,battle,3
772,footage,3
2243,watching,3
99,ariana,3
1022,intensifies,3
1461,panelists,3
725,fave,3
157,bar,3
1852,smooch,3
1968,style,3
1388,names,3
106,artists,3
592,door,3
56,allll,3
1702,rings,3
551,detector,3
1189,living,3
1364,mornin,3
1709,role,3
277,bridge,3
2077,tickets,3
1303,merch,3
427,conan,3
862,grace,3
290,bts,3
1368,move,3
2162,tweets,3
284,brothers,3
437,congratulations,3
2066,thoughts,3
680,etc,3
2126,trailer,3
1761,scream,3
1320,miley,3
1290,megan,3
703,eye,3
884,guide,3
1120,kid,3
1804,shot,3
1293,meme,3
707,fab,3
686,everybody,3
323,car,3
324,care,3
2135,trick,3
1521,pieces,3
403,clip,3
404,clock,3
1301,mendes,3
1128,knees,3
1897,speak,3
1775,sees,3
1776,selena,3
689,ex,3
9,accept,3
1523,pitt,3
2152,tuesday,3
417,come,3
2080,tiktoks,3
2134,tribute,3
264,breakfast,3
1121,kids,3
1361,moot,3
700,experience,3
374,chest,3
1281,means,3
2044,tess,3
956,hiiiii,3
2042,templates,3
1784,serve,3
358,challenge,3
2324,yee,3
1356,moods,3
223,board,3
830,glam,3
1046,james,3
1649,reactions,3
661,employees,3
1788,sh,3
1045,jam,3
2032,tea,3
1813,side,3
1783,series,3
837,glowing,3
377,child,3
1639,rap,3
1637,raise,3
2061,thinking,3
1686,results,3
22,actor,3
255,brad,3
1144,lademi,3
2179,ur,3
1681,representation,3
877,grown,3
843,god,3
251,boy,3
249,box,3
841,goal,3
840,go,3
1436,ones,3
949,hero,3
704,eyeliner,2
1684,respect,2
1881,sooooooo,2
717,fam,2
1707,robby,2
1032,investigates,2
1893,sound,2
1044,jake,2
1043,jacob,2
1074,jin,2
1049,jams,2
1695,ride,2
1073,jimin,2
720,fan,2
1682,request,2
1895,soundtrack,2
1054,jason,2
711,facts,2
1055,jaw,2
1193,lj,2
1191,liz,2
1056,jawline,2
1080,johnson,2
1690,retweet,2
734,feed,2
736,feelin,2
1060,jazmine,2
1035,isabella,2
1063,jenkins,2
1691,reunion,2
1787,sets,2
745,fierce,2
1110,kayla,2
939,heartaches,2
1638,range,2
940,hearts,2
1756,scene,2
1113,kedarie,2
945,hell,2
1819,simon,2
1751,sarah,2
835,gloves,2
1758,school,2
958,hiiiiiii,2
959,hiiiiiiii,2
1633,rachel,2
961,hint,2
962,hip,2
826,girls,2
1827,sings,2
1828,sir,2
1808,shows,2
1759,science,2
1877,sooo,2
916,happiness,2
894,haha,2
885,guitar,2
883,guests,2
903,halfway,2
1777,send,2
914,hannah,2
915,happens,2
1648,reaction,2
1768,seasons,2
1760,scoop,2
1766,seamless,2
1802,shore,2
1653,realize,2
1803,shortage,2
1805,shoulder,2
1115,kenneka,2
929,headphones,2
858,got,2
1745,sam,2
1665,record,2
1156,leila,2
1088,joy,2
1004,ilysm,2
1006,image,2
782,fri,2
780,frame,2
1855,snack,2
1016,incredible,2
774,forehead,2
1858,sneaker,2
763,flawless,2
1833,situation,2
760,fits,2
759,fit,2
758,fish,2
1181,lip,2
1611,pups,2
1083,jokes,2
1710,roll,2
747,figures,2
1001,idea,2
1000,icymi,2
1095,juliette,2
1731,rules,2
1627,question,2
1835,skin,2
978,hop,2
980,hour,2
1838,slay,2
983,hs,2
1667,references,2
1736,runs,2
798,gal,2
1097,jumped,2
1849,smiles,2
1734,runner,2
1733,run,2
991,hung,2
