,Term,frequency
1806,rt,153
2285,video,112
528,day,103
1268,love,89
2414,yes,78
695,episode,75
1956,song,74
977,heart,70
2170,time,69
2182,today,62
1441,mtv,56
2207,track,55
1447,music,49
991,hi,44
45,album,39
1564,performance,37
2311,wait,36
1587,pics,36
2409,year,34
2331,way,34
205,birthday,34
2188,tonight,33
710,everything,32
2173,times,31
1221,life,31
169,bb,30
2341,week,29
2136,thank,29
2325,watch,28
2033,story,28
1579,photo,27
2389,world,26
2251,tysm,25
1774,right,24
2148,things,23
2342,weekend,23
1254,look,23
1856,see,22
2244,tweet,21
959,harry,21
1421,mood,21
1411,moment,21
1849,season,21
391,choice,20
2392,wow,20
353,cece,20
1468,night,20
817,friends,20
1461,need,20
1432,morning,20
756,feel,20
2410,years,19
966,head,19
1568,period,19
75,angel,18
1696,queen,18
1754,repeat,18
1011,home,18
2147,thing,18
1543,party,17
1499,omg,17
1022,house,17
1957,songs,17
1608,pls,17
2185,tomorrow,17
709,everyone,17
455,content,17
1633,power,17
1481,nothing,16
2002,stan,16
1600,playlists,16
80,answer,16
107,artist,16
1400,miss,15
2317,want,15
1672,proud,15
2134,th,15
740,family,15
1015,honor,15
387,chills,14
2126,tell,14
1888,show,14
1184,kobe,14
732,fact,14
1018,hope,14
445,confirm,14
2103,talk,13
1226,lil,13
854,girl,13
337,carpet,13
1256,looks,13
2405,ya,13
1601,please,13
2107,taste,13
1794,room,13
475,course,13
516,dance,13
1599,playlist,13
1620,pop,12
525,date,12
1582,pic,12
147,baby,12
682,end,12
932,hair,12
1211,let,12
1555,people,11
816,friend,11
344,cast,11
1342,mean,11
2386,work,11
2281,vibes,11
1872,shawn,11
850,gif,11
749,favorite,11
920,guys,11
1782,rn,11
561,desk,11
1316,march,11
2102,talent,11
1003,history,11
823,fun,10
245,bops,10
758,feelings,10
1954,someone,10
2280,vibe,10
1308,man,10
727,eyes,10
2292,visuals,10
730,face,10
1929,smile,10
500,cry,10
2073,support,10
392,choices,10
1551,peak,10
464,correct,10
986,help,10
989,hey,10
1998,stage,10
374,check,10
440,concert,10
2168,tiktok,9
2316,wanna,9
1262,lot,9
1331,masterpiece,9
171,bc,9
2149,think,9
508,cute,9
1955,something,9
368,chance,9
2270,valentine,9
627,drop,9
1179,know,9
2295,vocals,9
886,gosh,9
2237,tunes,9
814,friday,9
875,gonna,9
499,crush,9
1239,listening,9
1645,premiere,9
1242,lives,9
818,friendship,9
273,breath,9
872,goddess,9
773,finale,9
1581,photos,9
830,game,8
2378,women,8
514,dad,8
1593,place,8
1027,hug,8
844,get,8
8,absolute,8
1573,person,8
1545,pass,8
1871,share,8
2121,tears,8
492,crime,8
654,eee,8
133,award,8
686,enjoy,8
239,book,8
1410,mom,8
2137,thanks,8
1844,screams,8
912,gt,8
1140,julia,8
1213,level,7
560,deserves,7
1873,sheldon,7
293,bryant,7
972,hear,7
2012,start,7
1835,saw,7
314,bye,7
1118,jes,7
2223,trip,7
1171,king,7
478,cover,7
685,energy,7
448,congrats,7
1559,perfect,7
1760,rest,7
1752,reminder,7
1751,release,7
1750,relationship,7
699,era,7
106,art,7
1129,join,7
1021,hours,7
2345,welcome,7
2202,tour,7
355,celebrate,7
2284,vid,7
85,anyone,7
2297,voice,7
617,dream,7
778,fire,7
1961,sooooo,7
2052,styles,7
1595,plans,7
2301,vote,7
1320,marina,7
1960,soooo,7
1598,play,7
2362,win,6
759,feels,6
1703,quiz,6
1610,pm,6
2268,use,6
95,appreciation,6
2008,star,6
1786,rock,6
581,discography,6
1697,queens,6
696,episodes,6
982,hehe,6
1388,miller,6
2181,tl,6
1800,rotation,6
736,fall,6
888,gotta,6
985,hello,6
973,heard,6
1231,line,6
1700,questions,6
1112,jelani,6
1288,lyrics,6
243,bop,6
71,amp,6
526,daughter,6
470,country,6
1783,road,6
1394,mine,6
1364,memories,6
678,emotions,6
2286,videos,6
402,class,5
2368,winner,5
20,action,5
1204,legacy,5
347,catch,5
1005,hits,5
2179,tissues,5
401,city,5
906,group,5
871,god,5
559,deserve,5
199,billie,5
2419,yesterday,5
2208,tracks,5
108,artists,5
309,butterflies,5
1197,lauren,5
2192,toooooo,5
1733,reasons,5
1975,sounds,5
2015,starts,5
1436,movie,5
822,ft,5
1392,mind,5
1991,spoiler,5
2228,truth,5
1173,kiss,5
378,chef,5
1498,okay,5
910,growth,5
101,ari,5
1506,ooo,5
2212,transition,5
692,epic,5
621,dress,5
177,beauty,5
1419,month,5
1453,name,5
1464,news,5
2157,thread,5
1264,louis,5
915,guess,5
1046,idk,5
1647,preparation,5
944,hand,5
1289,mac,5
2385,words,5
246,boss,5
1412,moments,5
1583,pick,5
947,hang,5
1275,lt,5
82,anthem,5
1037,icon,5
93,appreciate,5
964,hbd,5
971,health,5
640,duty,5
415,club,5
1719,ray,5
1566,performer,5
417,co,5
1512,option,5
2171,timeless,5
1052,imagine,5
1238,listen,5
2377,woman,5
1852,seconds,4
472,couple,4
159,bangs,4
2328,water,4
2393,wowow,4
1414,monday,4
1853,secrets,4
520,danny,4
1462,needs,4
468,count,4
708,everybody,4
86,anything,4
1131,jonas,4
1020,hour,4
2006,stans,4
185,belongs,4
2133,text,4
1030,human,4
2417,yesssss,4
420,collab,4
1560,perfection,4
849,gianna,4
2169,tiktoks,4
1753,remix,4
428,come,4
1095,james,4
26,advice,4
1074,internet,4
444,confidence,4
1396,minutes,4
413,clock,4
859,glad,4
1798,roses,4
1611,point,4
2190,toooo,4
1075,interview,4
362,ceo,4
639,duo,4
2423,youtube,4
50,alert,4
637,dum,4
2401,xoxo,4
264,brain,4
645,earth,4
2019,stay,4
303,bunny,4
2300,volume,4
1474,noise,4
1646,premieres,4
890,grab,4
2271,valentines,4
2269,vacation,4
1220,lie,4
2364,windows,4
746,fave,4
805,forget,4
284,brings,4
1714,rapper,4
1823,sam,4
1355,megan,4
2022,steph,4
734,fair,4
570,dimple,4
953,happiness,4
257,box,4
259,boy,4
1831,sarah,4
579,disappearance,4
1866,set,4
11,acceptance,4
1982,speechless,4
224,blush,4
1431,mornin,4
937,halftime,4
2205,town,4
1298,make,4
112,ask,4
2105,talks,4
2059,suit,4
819,friggen,4
339,cartel,4
1539,parties,4
65,alyssa,4
1809,rules,4
331,car,4
1632,pov,4
1290,maddie,4
945,handle,4
1594,plan,4
151,badass,4
1180,knows,4
1285,luv,4
747,faves,4
1050,im,4
2030,stop,4
40,air,3
2043,strut,3
2127,templates,3
