,Term,frequency
949,hi,1861
29,account,925
744,facebook,813
1224,kn,651
2213,thanks,474
1592,page,445
940,help,443
1671,please,420
2371,visit,360
1831,report,339
139,app,303
1964,secure,296
2336,version,285
358,center,238
297,business,236
1637,people,170
2277,trouble,156
1894,rt,155
1268,learn,136
1124,jo,120
2219,things,116
2060,something,114
1833,reports,110
1721,problems,109
2059,someone,104
1290,link,103
24,access,101
1621,password,98
287,browser,94
1841,reset,85
2000,share,78
2105,steps,76
2147,support,68
1412,memories,66
868,glad,64
2190,team,62
799,form,59
1347,manager,59
812,friend,54
692,email,52
1520,news,50
370,change,49
1546,number,48
38,ad,48
1061,issue,48
2245,today,48
456,community,46
48,ads,46
2283,try,44
1786,reach,43
437,code,41
1836,request,41
2400,web,41
768,feed,39
1431,messenger,39
2211,thank,37
930,hear,37
769,feedback,37
1593,pages,35
557,day,35
1367,mark,33
1823,remind,33
1690,post,33
30,accounts,33
1651,phone,32
1867,rm,31
2422,work,30
2043,situation,30
1802,recommend,30
375,charge,30
1025,information,29
1691,posts,27
1138,join,27
815,frustration,27
2332,verify,26
178,assistance,26
780,fill,26
1607,part,25
1543,notifications,25
813,friends,24
1500,name,24
2065,sorry,24
1236,ky,24
2353,view,24
1062,issues,23
1424,message,23
2251,tools,22
1459,mode,22
1655,photos,21
2459,zuckerberg,20
2239,tips,20
1305,log,19
2350,video,19
246,birthday,19
763,feature,19
754,family,19
434,co,17
2420,wor,17
569,debugger,17
2439,yo,17
2055,software,16
891,group,16
706,enjoy,16
892,groups,15
1653,photo,15
1726,profile,15
1791,reasons,15
1932,sarah,15
2393,watch,15
389,check,15
2429,world,15
142,application,14
1255,laura,14
832,gain,14
2435,year,14
1410,memorialization,14
360,ceo,13
357,cent,13
250,block,13
1631,payment,13
2419,women,13
1406,members,13
361,cf,13
2233,time,12
1529,night,12
1853,review,12
1078,james,12
1987,settings,12
510,create,12
1425,messages,12
1660,place,12
2220,think,12
66,aj,12
1965,security,12
2207,th,12
2119,story,11
966,hope,11
1369,marketplace,11
670,edit,11
723,event,11
2412,wife,11
1567,online,11
1346,manage,11
1446,mind,11
2310,updates,11
39,adam,11
42,address,11
725,everyone,10
1483,mother,10
282,brother,10
2304,understand,10
1588,pa,10
1314,loss,10
2398,ways,10
1627,paul,10
141,appeal,10
559,days,10
549,data,9
2396,way,9
2351,videos,9
461,computer,9
1550,oa,9
411,chris,9
1034,instagram,9
1542,notification,9
2040,sister,9
2379,vr,9
2132,submit,9
1316,love,9
1716,privacy,9
2118,stories,9
1436,michael,9
1116,jessica,9
1824,removal,9
2250,tool,8
1474,month,8
598,device,8
1444,mike,8
2312,use,8
286,browse,8
935,hel,8
555,david,8
742,facebo,8
1405,member,8
2425,worki,8
450,comments,8
1804,recover,8
1394,meet,8
488,conversation,8
2436,years,8
2426,workin,8
1310,look,8
1091,jason,8
1575,order,8
93,amanda,7
1665,platform,7
2023,show,7
123,anna,7
484,control,7
458,company,7
762,fb,7
1612,partners,7
2089,standards,7
1614,party,7
2402,week,7
1148,josh,7
2252,tr,7
2138,suggestion,7
285,brows,7
730,experience,7
1111,jennifer,7
2027,shubham,7
547,dark,7
1453,mistake,7
329,care,7
541,daniel,7
2068,sounds,7
455,communities,6
99,amit,6
2405,welcome,6
1966,see,6
1978,series,6
477,content,6
1293,lisa,6
1617,pass,6
764,features,6
760,father,6
1307,login,6
464,concerns,6
1583,ou,6
2288,turn,6
738,fa,6
1481,morning,6
1378,matt,6
283,brow,6
695,emma,6
352,causes,6
159,articles,6
404,child,6
1439,michelle,6
147,apps,6
26,acco,6
2331,verification,6
145,appreciate,6
1134,john,6
1178,karen,6
158,article,6
2094,start,6
507,cp,6
132,anthony,6
1079,jamie,6
1724,product,6
1912,safety,6
1680,policies,6
1766,rahul,6
1207,kevin,6
1767,raj,6
230,behavior,6
1052,ios,6
2247,tomorrow,6
298,businesses,6
376,charges,6
2169,talk,5
535,dan,5
364,challenge,5
327,card,5
463,concern,5
2103,stephanie,5
2191,teams,5
415,christina,5
503,courtney,5
2085,st,5
2074,speech,5
620,discussions,5
636,donations,5
2246,tom,5
2160,ta,5
468,congrats,5
322,cannot,5
1837,requests,5
385,chat,5
37,activity,5
1878,roles,5
2438,yesterday,5
51,advertising,5
1381,matthew,5
1870,robert,5
1352,manish,5
926,head,5
1839,research,5
1620,passwor,5
1286,life,5
103,amy,5
1789,reality,5
1260,le,5
169,ashley,5
1748,pt,5
1256,lauren,5
1118,jg,5
150,ar,5
110,angela,5
1,aaron,5
1189,katie,5
1400,melissa,5
1551,oculus,5
1922,sam,5
1962,secu,5
1503,nancy,5
710,episode,5
1513,need,5
15,abhishek,5
740,face,5
1432,method,5
247,birthdays,5
1419,merge,5
782,filters,5
1967,seek,5
27,accou,5
1946,schedule,5
852,george,5
1536,nonprofits,5
2315,users,5
28,accoun,5
1455,mo,4
429,click,4
1672,pm,4
1468,moments,4
1642,peter,4
472,connection,4
1512,ne,4
1580,organizations,4
491,convert,4
1539,notifica,4
1264,leaders,4
1565,ones,4
1632,payments,4
2186,taylor,4
1573,option,4
1292,links,4
1322,lucy,4
1674,podcast,4
680,elections,4
1681,policy,4
1187,kathryn,4
2104,stephen,4
1879,roll,4
882,grace,4
1907,ryan,4
594,details,4
819,fun,4
1957,search,4
1960,section,4
778,file,4
2049,smith,4
1982,services,4
672,effects,4
737,expression,4
733,experts,4
731,experiences,4
700,end,4
693,emails,4
1876,rohit,4
1874,rocks,4
917,harassment,4
543,danielle,4
1693,pr,4
2139,suggestions,4
1157,julia,4
1131,joe,4
679,election,4
539,dani,4
1780,ravi,4
1021,info,4
922,hate,4
1820,release,4
1821,relief,4
973,housing,4
2217,thi,4
1869,rob,4
923,hayley,4
550,date,4
1113,jeremy,4
746,fact,4
22,acc,4
2287,tune,4
2321,valentine,4
102,amp,4
2261,transparency,4
190,audience,4
2232,tim,4
326,cara,4
62,ai,4
148,april,4
40,add,4
2224,thoughts,4
234,ben,4
353,celebrate,4
136,anyone,4
108,android,4
50,advertisers,4
266,brand,4
21,ac,4
2369,visi,4
2222,thomas,4
2218,thing,4
2256,tracy,3
1200,kelsey,3
1923,samantha,3
561,deactivate,3
2107,sti,3
1392,media,3
1215,kim,3
567,deborah,3
1557,official,3
1677,pokes,3
2096,state,3
1553,offers,3
2101,step,3
886,grant,3
310,camera,3
315,campaign,3
1197,keep,3
1541,notificatio,3
505,cover,3
947,hey,3
509,craig,3
512,credit,3
2137,sue,3
1165,justin,3
1413,memory,3
920,hashtag,3
33,acount,3
35,action,3
1395,megan,3
1877,role,3
332,carl,3
538,danger,3
328,cards,3
2114,stop,3
1185,kat,3
1186,kate,3
551,dates,3
44,admin,3
592,desktop,3
1295,list,3
595,developer,3
846,gemma,3
1984,set,3
1281,li,3
757,fashion,3
2033,sign,3
1331,madison,3
289,bug,3
748,factory,3
747,factor,3
2403,weekend,3
743,faceboo,3
739,fac,3
280,bro,3
2407,wh,3
2020,shop,3
1619,passw,3
163,arun,3
691,emai,3
1998,shannon,3
697,employees,3
2002,shares,3
80,alexis,3
712,equality,3
1311,looks,3
1626,patrick,3
254,blood,3
73,albums,3
816,frustrations,3
842,gd,3
1564,omar,3
195,authentication,3
838,gap,3
834,game,3
1239,kylie,3
822,fundraisers,3
821,fundraiser,3
1364,marie,3
1951,scott,3
1248,language,3
251,blocks,3
113,angie,3
1641,person,3
236,bharat,3
1353,manoj,3
112,angelo,3
109,andy,3
1258,law,3
790,fo,3
2051,society,3
1269,lee,3
1658,pl,3
273,brian,3
