,Term,frequency
957,hi,1856
29,account,919
747,facebook,809
1232,kn,645
2222,thanks,473
1604,page,452
948,help,445
1684,please,430
2378,visit,349
1844,report,336
141,app,299
1973,secure,296
2343,version,280
299,business,243
361,center,243
1649,people,168
2285,trouble,158
1906,rt,153
1276,learn,135
2228,things,117
2069,something,113
1846,reports,109
1734,problems,108
2068,someone,106
24,access,104
1298,link,101
1132,jo,101
1633,password,99
289,browser,92
1854,reset,86
2008,share,80
2114,steps,78
2156,support,72
1420,memories,66
872,glad,64
1355,manager,61
2198,team,61
803,form,59
696,email,53
816,friend,53
373,change,50
1528,news,50
1554,number,49
39,ad,49
1069,issue,48
50,ads,48
2254,today,48
459,community,47
439,code,45
1798,reach,44
2291,try,44
1849,request,42
2220,thank,42
1439,messenger,40
2406,web,39
771,feed,38
772,feedback,38
937,hear,37
1664,phone,35
561,day,35
1605,pages,34
1703,post,33
1375,mark,33
1836,remind,33
30,accounts,32
179,assistance,32
1034,information,31
1814,recommend,31
1880,rm,31
378,charge,30
2050,situation,30
2428,work,29
1704,posts,28
2339,verify,28
819,frustration,28
1146,join,27
784,fill,26
1619,part,26
1551,notifications,26
1244,ky,25
1508,name,25
1070,issues,25
2074,sorry,24
817,friends,24
2360,view,23
1432,message,23
2248,tips,23
1466,mode,22
2260,tools,22
1668,photos,21
2466,zuckerberg,20
248,birthday,19
757,family,19
766,feature,19
573,debugger,18
2357,video,18
2426,wor,17
1313,log,17
436,co,17
1666,photo,16
710,enjoy,16
2445,yo,16
2062,software,16
392,check,15
1739,profile,15
895,group,15
1803,reasons,15
2400,watch,15
1941,sarah,15
2435,world,15
2425,women,15
1263,laura,14
1418,memorialization,14
837,gain,14
2441,year,14
144,application,14
1996,settings,13
364,cf,13
363,ceo,13
1414,members,13
360,cent,13
896,groups,13
2216,th,13
1866,review,13
1643,payment,13
1974,security,12
252,block,12
513,create,12
2229,think,12
1673,place,12
1537,night,12
1086,james,12
68,aj,12
2242,time,12
1433,messages,12
2317,updates,11
1377,marketplace,11
1354,manage,11
44,address,11
1454,mind,11
143,appeal,11
2128,story,11
974,hope,11
674,edit,11
1575,online,11
40,adam,11
726,event,11
2311,understand,11
2418,wife,11
728,everyone,10
563,days,10
284,brother,10
1490,mother,10
1639,paul,10
2404,ways,10
2403,way,10
1322,loss,10
1729,privacy,10
1600,pa,10
2358,videos,9
1550,notification,9
943,hel,9
1043,instagram,9
2141,submit,9
1324,love,9
2127,stories,9
1558,oa,9
1318,look,9
553,data,9
2259,tool,9
1124,jessica,9
464,computer,9
414,chris,9
2386,vr,9
603,device,9
1837,removal,9
1444,michael,8
2442,years,8
559,david,8
1452,mike,8
1402,meet,8
1413,member,8
2047,sister,8
2035,shubham,8
2031,show,8
491,conversation,8
288,browse,8
1460,mistake,8
1481,month,8
453,comments,8
2432,workin,8
1583,order,8
2431,worki,8
1816,recover,8
733,experience,7
1626,party,7
1119,jennifer,7
2319,use,7
461,company,7
1156,josh,7
487,control,7
2261,tr,7
2077,sounds,7
2408,week,7
125,anna,7
765,fb,7
551,dark,7
1624,partners,7
1678,platform,7
745,facebo,7
1099,jason,7
458,communities,7
2147,suggestion,7
545,daniel,7
332,care,7
287,brows,7
2296,turn,6
763,father,6
466,concern,6
355,causes,6
767,features,6
2083,speech,6
1215,kevin,6
1386,matt,6
1987,series,6
1087,jamie,6
1780,raj,6
1693,policies,6
467,concerns,6
741,fa,6
1301,lisa,6
1779,rahul,6
510,cp,6
379,charges,6
1488,morning,6
407,child,6
101,amit,6
480,content,6
699,emma,6
95,amanda,6
2411,welcome,6
285,brow,6
2098,standards,6
1629,pass,6
1975,see,6
149,apps,6
1891,roles,6
161,articles,6
160,article,6
1921,safety,6
2256,tomorrow,6
1737,product,6
1061,ios,6
2338,verification,6
232,behavior,6
1593,ou,6
147,appreciate,6
1142,john,6
1186,karen,6
2103,start,6
134,anthony,6
506,courtney,5
2094,st,5
325,cannot,5
27,accou,5
330,card,5
15,abhishek,5
2169,ta,5
1447,michelle,5
26,acco,5
2199,teams,5
2255,tom,5
641,donations,5
625,discussions,5
1427,merge,5
2233,thoughts,5
300,businesses,5
539,dan,5
2178,talk,5
367,challenge,5
418,christina,5
471,congrats,5
1511,nancy,5
1440,method,5
2112,stephanie,5
1521,need,5
356,celebrate,5
1852,research,5
933,head,5
38,activity,5
1976,seek,5
1971,secu,5
1632,passwor,5
1955,schedule,5
857,george,5
2322,users,5
1559,oculus,5
1197,katie,5
1883,robert,5
2444,yesterday,5
1389,matthew,5
1126,jg,5
152,ar,5
53,advertising,5
1738,products,5
1761,pt,5
1850,requests,5
1360,manish,5
171,ashley,5
786,filters,5
1931,sam,5
734,experiences,5
268,brand,5
714,episode,5
1268,le,5
1294,life,5
112,angela,5
1264,lauren,5
743,face,5
1315,login,5
28,accoun,5
1,aaron,5
105,amy,5
1408,melissa,5
249,birthdays,5
1544,nonprofits,5
1121,jeremy,4
1462,mo,4
1685,pm,4
1792,ravi,4
1272,leaders,4
1030,info,4
1801,reality,4
1588,organizations,4
1165,julia,4
1139,joe,4
1644,payments,4
1330,lucy,4
1706,pr,4
1694,policy,4
1195,kathryn,4
1300,links,4
