,Term,frequency
2455,rt,611
1118,gaga,327
1600,lady,206
70,amp,173
2872,thank,159
1716,love,125
2915,today,123
2905,time,115
713,day,101
1924,music,92
3180,world,92
1888,monsters,87
3111,watch,86
2579,show,80
1952,night,76
2079,people,70
2928,tonight,69
989,fans,61
1663,life,59
3055,video,54
49,album,53
985,family,53
546,co,52
3213,year,51
3214,years,51
2930,tony,47
2084,performance,46
2644,song,46
1503,joanne,45
3114,way,44
945,everyone,43
1370,https,41
993,fashion,40
3176,work,40
239,birthday,38
1369,http,37
1102,friends,36
1484,jazz,35
2327,reasons,34
3091,wait,33
1167,girl,32
1294,heart,32
1886,monster,32
1101,friend,31
1109,fun,31
1698,look,30
2045,part,29
3168,woman,29
219,bennett,29
644,cover,29
3083,vote,28
2922,tomorrow,28
3121,week,28
160,baby,28
837,dress,27
3170,women,26
489,cheek,26
2523,see,26
714,days,26
1248,hair,25
1823,message,25
1357,hotel,25
1746,makeup,24
2646,songs,24
632,countess,24
2557,share,23
1900,morning,23
2052,party,23
2873,thanks,23
528,city,22
1335,holiday,22
2887,thing,22
2159,pm,22
1509,join,22
3222,york,22
2939,tour,21
2116,piano,21
2693,stage,21
634,country,21
1875,mom,21
1307,help,21
2700,star,21
2003,order,21
2737,story,20
600,congratulations,20
1563,kindness,20
3036,vegas,20
1341,home,20
946,everything,19
1448,interview,19
1507,john,19
2430,rock,19
1751,man,19
1969,nothing,18
2642,something,18
2784,support,18
2870,th,18
1650,let,18
1939,need,18
2254,proud,17
932,et,17
1152,get,17
695,dance,17
487,check,16
1290,health,16
1352,hope,16
1876,moment,16
2083,perform,16
1241,guys,15
2654,soul,15
2875,thanku,15
75,angel,15
2739,stream,15
125,assault,15
2640,someone,15
568,collection,15
1336,holidays,15
1859,miss,15
2024,pain,15
1553,killer,15
1558,kind,15
2888,things,14
599,congrats,14
448,celebrate,14
1361,house,14
2108,photo,14
584,community,14
3197,xoxo,14
2197,pre,14
3175,words,14
150,award,14
1349,honor,14
292,bowl,14
2175,pop,14
3001,tv,13
682,cute,13
2008,others,13
1013,feel,13
52,alexander,13
2984,trump,13
2606,sister,13
1360,hours,13
2186,power,13
1686,lives,13
1877,moments,13
3186,wow,13
1463,issue,13
108,artist,13
1228,gt,13
2907,times,13
1158,gif,13
163,backstage,13
2903,till,13
834,dream,13
2902,til,13
1670,line,13
2345,rehearsal,13
983,fame,12
177,bar,12
2842,team,12
1796,mcqueen,12
2837,taylor,12
1904,mother,12
972,eyes,12
502,children,12
1168,girls,12
151,awards,12
2336,record,12
105,art,12
1324,history,12
1681,listen,12
2742,strength,12
2789,surprise,12
3219,yo,12
2132,place,12
975,face,11
90,anyone,11
1854,minutes,11
3066,violence,11
2900,tickets,11
1032,film,11
271,body,11
470,chance,11
1947,news,11
1084,foundation,11
2184,post,11
922,episode,11
513,christmas,11
2689,st,11
1474,jacket,11
1710,lot,11
434,cast,11
1190,gonna,11
666,cry,10
2440,romance,10
774,dinner,10
78,angels,10
2859,tell,10
1187,god,10
24,actress,10
1848,mine,10
2445,room,10
1210,grammy,10
2381,residency,10
2439,roll,10
2469,sale,10
1588,koons,10
1404,illusion,10
1281,haus,10
3005,twitter,10
391,campaign,10
2219,pride,10
910,enigma,10
3217,yes,10
679,custom,10
3052,victims,10
298,bradley,10
1608,las,10
2039,paris,10
2154,please,10
1301,hedi,10
119,asia,10
3076,voice,9
610,conversation,9
1846,mind,9
2847,tears,9
455,center,9
960,experience,9
586,compassion,9
3026,use,9
2994,tune,9
