,Term,frequency
2468,rt,612
1124,gaga,329
1606,lady,206
70,amp,174
2885,thank,160
1722,love,125
2929,today,123
2919,time,115
719,day,101
3195,world,93
1931,music,92
1895,monsters,87
3126,watch,86
2592,show,80
1959,night,76
2086,people,70
2942,tonight,69
995,fans,64
1669,life,59
3070,video,54
551,co,54
991,family,53
49,album,53
3228,year,51
3229,years,51
2944,tony,47
2091,performance,46
2657,song,46
1509,joanne,45
3129,way,44
951,everyone,43
1376,https,41
3191,work,40
999,fashion,40
240,birthday,38
1375,http,37
1108,friends,36
1490,jazz,35
2340,reasons,34
3106,wait,33
1300,heart,32
1173,girl,32
1893,monster,32
1115,fun,31
1107,friend,31
1704,look,30
3183,woman,29
2052,part,29
220,bennett,29
650,cover,29
3136,week,28
3098,vote,28
2936,tomorrow,28
160,baby,28
843,dress,27
3185,women,27
2536,see,26
720,days,26
491,cheek,26
1254,hair,25
1363,hotel,25
1830,message,25
1753,makeup,24
2659,songs,24
638,countess,24
1907,morning,23
2570,share,23
2886,thanks,23
2059,party,23
532,city,22
2169,pm,22
1341,holiday,22
2900,thing,22
3237,york,22
2953,tour,22
1515,join,22
2125,piano,21
2706,stage,21
1313,help,21
640,country,21
2713,star,21
1882,mom,21
2010,order,21
1347,home,20
605,congratulations,20
3051,vegas,20
2750,story,20
1569,kindness,20
2443,rock,19
1513,john,19
1758,man,19
938,et,19
1454,interview,19
952,everything,19
2883,th,18
2655,something,18
1976,nothing,18
2797,support,18
1158,get,18
1946,need,18
1656,let,18
701,dance,17
1883,moment,17
2266,proud,17
2207,pre,16
1358,hope,16
2090,perform,16
1564,kind,16
1296,health,16
489,check,16
2653,someone,15
2888,thanku,15
125,assault,15
1559,killer,15
75,angel,15
573,collection,15
1866,miss,15
2667,soul,15
1342,holidays,15
1247,guys,15
2752,stream,15
2031,pain,15
2901,things,14
450,celebrate,14
3212,xoxo,14
2117,photo,14
2914,tickets,14
1355,honor,14
589,community,14
1367,house,14
2185,pop,14
293,bowl,14
604,congrats,14
150,award,14
3190,words,14
2015,others,13
163,backstage,13
2619,sister,13
1884,moments,13
2921,times,13
2196,power,13
3016,tv,13
1469,issue,13
2998,trump,13
688,cute,13
840,dream,13
2917,till,13
1234,gt,13
2916,til,13
1692,lives,13
1164,gif,13
1366,hours,13
1676,line,13
108,artist,13
2358,rehearsal,13
3201,wow,13
52,alexander,13
1019,feel,13
2755,strength,12
2142,place,12
1174,girls,12
1687,listen,12
978,eyes,12
2349,record,12
177,bar,12
105,art,12
989,fame,12
504,children,12
2802,surprise,12
1330,history,12
2855,team,12
2850,taylor,12
1803,mcqueen,12
3234,yo,12
1911,mother,12
151,awards,12
1861,minutes,11
1038,film,11
2702,st,11
515,christmas,11
272,body,11
1480,jacket,11
436,cast,11
2482,sale,11
90,anyone,11
1090,foundation,11
928,episode,11
3081,violence,11
2046,paris,11
981,face,11
1716,lot,11
2194,post,11
1196,gonna,11
472,chance,11
1954,news,11
1193,god,10
3067,victims,10
3020,twitter,10
2394,residency,10
685,custom,10
2452,roll,10
1614,las,10
2453,romance,10
1287,haus,10
3232,yes,10
780,dinner,10
916,enigma,10
119,asia,10
1307,hedi,10
2458,room,10
78,angels,10
1410,illusion,10
24,actress,10
1594,koons,10
672,cry,10
2164,please,10
1216,grammy,10
2872,tell,10
1855,mine,10
392,campaign,10
2229,pride,10
299,bradley,10
2860,tears,9
966,experience,9
1166,gift,9
2664,sorry,9
1853,mind,9
1918,movie,9
2064,passion,9
