,Term,frequency
3947,rt,321
1056,coronavirus,270
3524,president,221
4756,trump,188
3083,news,170
3328,people,137
4354,state,134
876,co,124
1205,day,114
5110,year,113
5125,york,108
3175,opinion,105
3853,results,97
3997,sanders,95
813,china,86
5111,years,83
3151,officials,83
656,campaign,83
503,bloomberg,77
456,bernie,72
5066,world,72
842,city,71
2423,joe,68
3285,party,63
466,biden,63
1223,debate,62
2090,health,62
711,cases,62
3065,need,60
4767,tuesday,58
4644,time,58
2051,hampshire,56
670,candidates,56
4980,week,53
2174,house,53
2990,morning,53
5052,women,53
724,caucuses,52
710,case,50
1970,government,47
4654,today,46
2750,man,45
1219,death,45
4947,warren,44
4357,states,44
1272,democrats,43
3092,night,43
3210,outbreak,43
4646,times,42
4818,updates,40
1094,court,39
4731,trial,38
2873,michael,38
1206,days,38
723,caucus,37
2144,home,37
4599,th,36
3541,primary,35
4963,way,34
1517,election,34
3278,part,34
2353,iowa,33
1149,cruise,33
1083,country,33
4146,ship,33
4807,union,32
3453,polls,32
176,analysis,32
3198,oscars,32
61,administration,31
4071,see,31
166,americans,31
1543,end,30
3123,number,30
2978,month,30
4456,super,29
647,california,29
3677,race,29
951,company,29
4389,story,29
2076,harvey,29
625,buttigieg,29
2979,months,29
1284,department,28
3399,places,28
1612,europe,28
4915,vote,28
2633,life,28
2460,justice,28
4917,voters,28
2007,group,28
4939,war,27
2889,mike,27
4987,weinstein,27
1708,family,27
786,charges,26
775,change,25
1687,fact,25
3444,police,25
2446,judge,24
4984,weeks,24
1342,director,24
809,children,24
860,climate,24
4666,tonight,23
2173,hours,23
2678,look,23
4028,school,23
2917,minister,23
2200,hundreds,23
4624,thousands,23
4778,tv,23
2389,japan,23
2272,industry,23
4095,series,22
57,address,22
1489,economy,22
1082,countries,22
1539,employees,21
2589,leaders,21
1231,decades,21
3483,power,21
700,carolina,20
3802,reporters,20
2588,leader,20
2106,help,20
669,candidate,20
1506,efforts,20
3398,place,19
5063,workers,19
3603,prosecutors,19
4082,senate,19
470,bill,18
3289,passengers,18
3145,office,18
1846,france,18
4163,show,18
3408,plans,18
3840,response,17
2533,kobe,17
4619,things,17
533,border,17
3502,precincts,17
1771,film,17
5061,work,17
3202,others,16
3446,policy,16
4056,season,16
4276,south,16
1216,deal,16
4506,system,16
4957,watch,16
2970,monday,16
4367,step,16
3268,parents,16
4070,security,16
2971,money,16
171,amp,16
318,authorities,16
2573,lawmakers,16
3342,person,16
2360,island,16
4083,senator,16
4982,weekend,16
799,checks,16
187,angeles,16
2522,klobuchar,15
4116,sex,15
1734,fears,15
3006,movie,15
4319,spread,15
51,ad,15
5077,writes,15
900,college,15
2827,media,15
3805,reports,15
5083,wuhan,15
2571,law,15
3742,record,15
4259,something,15
2808,mayor,15
5051,woman,15
2130,history,14
305,attorney,14
2840,members,14
512,board,14
3302,patients,14
3954,rules,14
950,companies,14
2906,millions,14
4550,team,14
1254,delegates,14
2782,markets,14
1643,executive,13
4464,supporters,13
1133,crisis,13
3921,roger,13
165,america,13
4661,toll,13
1720,fashion,13
2458,jury,13
4387,stories,13
838,cities,13
3966,russia,13
3550,prison,13
1531,emergency,13
13,abuse,13
1086,county,13
3450,politics,13
574,britain,13
4413,students,13
3829,residents,13
4594,texas,13
2847,men,13
3824,researchers,13
4589,test,13
3158,oil,13
2924,minutes,12
2682,los,12
3544,princess,12
4698,trade,12
4380,stone,12
2322,intelligence,12
4662,tom,12
1682,face,12
4029,schools,12
1243,defense,12
1220,deaths,12
780,chaos,12
301,attacks,12
840,citizens,12
4301,spending,12
1663,experts,12
2645,line,12
3665,questions,12
2137,ho,12
4889,violence,12
3124,numbers,12
589,bryant,12
2779,market,12
2792,masks,12
3402,plan,12
4373,steyer,11
702,carpet,11
4100,service,11
4381,stop,11
69,ads,11
4174,side,11
401,battle,11
2440,journalists,11
2694,love,11
1966,gov,11
3197,oscar,11
2121,highlights,11
3439,point,11
2540,korea,11
25,accounts,11
2241,impeachment,11
2963,moment,11
2654,list,11
1625,everything,11
4349,star,11
4978,wednesday,11
3702,rape,11
743,center,11
806,chief,11
3079,nevada,11
2504,kids,11
2368,italy,11
1410,dollars,11
1860,friday,11
1006,contain,10
1199,data,10
3347,pete,10
4462,support,10
335,awards,10
2431,joon,10
850,class,10
2422,jobs,10
1782,fire,10
4298,speech,10
2537,kong,10
263,art,10
4412,student,10
2763,map,10
2685,lot,10
120,air,10
2277,infections,10
372,bank,10
4337,stake,10
4822,use,10
2284,information,10
4875,video,10
2620,li,10
5014,wife,10
914,column,10
1405,dog,9
4335,stage,9
1452,drop,9
3003,move,9
527,books,9
4528,taliban,9
1399,doctor,9
1504,effort,9
3825,reserve,9
684,car,9
4811,university,9
3147,officers,9
1457,drug,9
3190,organization,9
3529,pressure,9
4334,staff,9
4722,travel,9
3150,official,9
3664,question,9
4786,twitter,9
2734,majority,9
1024,control,9
5024,win,9
4065,secretary,9
1321,diamond,9
690,care,9
2160,hospital,9
4378,stock,9
4379,stocks,9
2151,hong,9
1524,elizabeth,9
617,business,9
3586,project,9
3958,run,9
1585,era,9
2356,iran,9
3335,performance,9
4874,victory,9
4400,street,9
2830,meet,9
2344,investigation,9
4772,turkey,9
2425,johnson,9
981,congress,9
3473,post,9
4955,washington,9
5093,xi,9
761,challenge,9
3596,proposal,9
3922,role,9
1822,food,9
5075,writer,8
3284,parts,8
2383,james,8
1760,field,8
4520,takeaways,8
4894,virus,8
996,conspiracy,8
4133,share,8
2944,mo,8
5119,yo,8
3778,release,8
2041,haenel,8
1865,frisk,8
2895,miles,8
831,churches,8
3800,report,8
946,community,8
4618,thing,8
748,century,8
2613,let,8
2793,mass,8
548,boy,8
1076,count,8
1202,daughter,8
3369,photos,8
5030,winner,8
2995,mother,8
1796,flavor,8
3310,pay,8
78,adviser,8
1434,dozens,8
4648,tips,8
3940,roundup,8
1139,critics,8
2510,kind,8
117,aid,8
1743,feel,8
123,airlines,8
37,act,8
3977,safety,8
4542,tax,8
1627,evidence,8
250,argument,8
3101,nomination,8
246,area,8
1828,forces,8
1827,force,8
48,actress,8
4005,saturday,7
4081,sen,7
4161,shot,7
4084,senators,7
3868,review,7
535,boris,7
1497,editors,7
2764,maps,7
3848,restrictions,7
4087,sentence,7
2801,matter,7
4034,scientists,7
658,campaigns,7
2424,john,7
2547,labor,7
2591,league,7
4329,st,7
1422,door,7
4352,start,7
560,break,7
2416,jinping,7
2866,mexico,7
2427,join,7
3896,rights,7
4202,site,7
4203,sites,7
758,chairman,7
2421,job,7
2794,massachusetts,7
2578,lawyer,7
1400,doctors,7
1295,des,7
4320,spreads,7
2576,lawsuit,7
808,child,7
4687,town,7
4862,version,7
2043,half,7
3464,population,7
1735,feature,7
2087,headlines,7
975,conflict,7
966,conditions,7
3078,network,7
3076,netflix,7
4663,tomorrow,7
2008,groups,7
3030,museum,7
4634,thursday,7
4626,threat,7
2163,host,7
300,attack,7
1235,decision,7
2205,husband,7
3004,movement,7
2237,immigration,7
4869,vice,7
148,allegations,7
1253,delegate,7
4998,wh,7
5127,yorkers,7
3280,parties,7
5060,words,7
43,activists,7
1889,game,7
1110,crash,7
3312,peace,7
5019,william,7
1122,credit,7
1129,crimes,7
4878,view,7
1934,giant,7
3348,peter,7
1963,google,7
101,age,7
1778,find,7
4918,votes,7
3185,order,7
2006,ground,7
4880,views,7
2985,moon,7
882,coast,7
2276,infection,7
2939,mitt,7
387,barr,7
2336,interview,7
830,church,7
2337,interviews,7
4529,talk,7
1621,events,7
392,base,7
4453,sunday,7
846,claims,7
826,chris,7
2351,investors,7
4478,survey,7
4554,tech,7
4434,success,7
2934,mississippi,7
2262,india,7
1558,england,6
2558,language,6
4450,summer,6
817,chocolate,6
5042,witness,6
1918,generation,6
1488,economists,6
3743,records,6
1159,culture,6
5029,wing,6
3720,reality,6
3908,river,6
1731,fda,6
4356,statements,6
3452,poll,6
1169,cut,6
1766,figures,6
3146,officer,6
1433,dozen,6
1762,fight,6
3162,olympics,6
1137,criticism,6
600,buildings,6
1951,goal,6
3366,phone,6
1447,driver,6
3203,ou,6
2886,migrants,6
4992,wenliang,6
1802,flight,6
3375,picture,6
3191,organizations,6
1012,contest,6
4927,wait,6
3934,room,6
448,benefits,6
449,benjamin,6
3929,romney,6
77,advertising,6
1013,contests,6
93,afghanistan,6
2574,lawrence,6
1601,estate,6
4416,study,6
730,cdc,6
897,collection,6
5076,writers,6
3263,parasite,6
2857,messages,6
4659,tokyo,6
1092,course,6
4620,think,6
2683,loss,6
4612,theory,6
18,access,6
1329,differences,6
15,academy,6
4291,speaks,6
3571,products,6
3614,protesters,6
4606,thanks,6
1230,decade,6
888,coffee,6
417,become,6
3007,movies,6
2210,ice,6
4593,tests,6
473,billionaire,6
4315,sports,6
1845,fran,6
4260,son,6
1683,facebook,6
1863,friends,6
2141,hollywood,6
1184,dallas,6
960,concern,6
3895,right,6
223,appeals,6
1189,dance,6
4421,style,6
1879,future,6
368,ban,6
2805,matzneff,6
2646,lines,6
247,areas,6
95,africa,6
5067,worries,6
38,action,6
517,body,6
4682,tourist,6
3563,process,6
3559,problem,6
661,canada,5
653,camp,5
1098,coverage,5
