,Term,frequency
1049,coronavirus,405
3913,rt,348
3480,president,200
3040,news,198
4717,trump,172
3292,people,139
5085,york,130
4310,state,130
1184,day,122
3958,sanders,115
862,co,113
5072,year,111
3134,opinion,102
5030,world,98
428,bernie,82
3113,officials,82
684,cases,79
439,biden,75
818,city,75
2054,health,75
2389,joe,73
4611,time,71
5073,years,71
636,campaign,69
473,bloomberg,69
783,china,62
4940,week,62
4730,tuesday,61
3020,need,61
5015,women,60
4313,states,60
1199,debate,57
1936,government,56
3170,outbreak,56
4621,today,54
2942,morning,54
2147,house,52
3810,results,49
3048,night,46
2115,home,46
1074,country,45
1186,days,45
4613,times,43
649,candidates,43
1085,court,43
4910,warren,43
3246,party,42
4780,updates,41
2712,man,41
683,case,40
3411,polls,39
3236,part,38
3496,primary,38
52,administration,38
3077,number,37
627,california,36
163,americans,36
4926,way,35
4414,super,33
1196,death,33
4105,ship,32
171,analysis,32
1587,europe,32
4561,th,32
2881,minister,32
4334,stocks,31
4278,spread,31
1130,cruise,31
2930,month,31
2838,michael,30
4879,voters,30
4036,see,29
1525,end,29
3995,schools,29
2242,industry,28
3634,race,28
3357,places,28
2605,life,28
2853,mike,27
2744,markets,27
4944,weeks,27
2040,harvey,26
2931,months,26
1499,election,26
1972,group,26
4917,washington,25
1511,emergency,25
4216,something,25
1675,family,25
4947,weinstein,25
4684,travel,25
3798,response,25
1115,crisis,24
2562,leaders,24
4587,thousands,24
1249,democrats,24
2072,help,24
697,caucuses,23
760,charges,23
3403,police,23
442,bill,23
4344,story,22
2652,look,22
3117,oil,22
488,board,22
4581,things,21
3303,person,21
1634,experts,21
4692,trial,21
934,companies,21
4903,war,21
4466,system,21
1472,economy,21
4022,season,21
2548,lawmakers,20
1261,department,20
2334,italy,20
4743,tv,20
781,children,20
2146,hours,20
4634,tonight,19
749,change,19
4551,test,19
4357,street,19
2924,monday,19
935,company,19
674,carolina,19
2790,media,19
2432,justice,19
5026,workers,19
180,angeles,19
2811,men,19
3366,plans,18
2414,judge,18
1521,employees,18
3107,office,18
5014,woman,18
2357,japan,18
1933,gov,18
2771,mayor,18
167,amp,18
3500,princess,18
3994,school,18
4061,series,18
4234,south,17
3503,prison,17
1209,decades,17
836,climate,17
5043,writes,17
1487,efforts,17
3226,parents,17
1077,county,17
1702,fears,17
608,buttigieg,17
4942,weekend,17
2173,hundreds,17
2742,market,17
2311,investors,16
1230,delegates,16
1197,deaths,16
1389,doctors,16
2284,intelligence,16
509,border,16
717,center,16
3163,others,16
3360,plan,16
3356,place,16
3250,passengers,16
4769,union,16
664,care,16
4333,stock,15
1656,face,15
3704,record,15
1073,countries,15
3919,rules,15
4557,texas,15
2725,map,15
2561,leader,15
4877,vote,15
4856,virus,15
2099,history,14
3112,official,14
2325,island,14
3462,precincts,14
296,authorities,14
3624,questions,14
1486,effort,14
3262,patients,14
1194,deal,14
3929,russia,14
2659,lot,14
603,business,14
37,ad,14
4047,senator,13
2406,journalists,13
4737,turkey,13
2754,masks,13
3806,restrictions,13
4321,step,13
1817,france,13
4938,wednesday,13
1324,director,13
4419,support,13
5024,work,13
778,chief,13
4655,town,13
2656,los,13
4377,students,13
4290,staff,13
888,college,13
3762,reports,13
3785,residents,12
3759,reporters,12
1861,game,12
4853,violence,12
229,area,12
1434,drop,12
2617,line,12
4840,victory,12
4133,side,12
4775,university,12
112,air,12
2842,michigan,12
4421,supporters,12
4784,use,12
4513,team,12
4279,spreads,12
1685,fashion,12
4667,trading,12
2430,jury,12
4293,stake,12
3405,policy,12
3623,question,12
4976,wife,12
1905,girl,12
4120,show,12
4342,stories,11
1615,executive,11
4257,spending,11
1593,events,11
2667,love,11
4323,steps,11
998,contain,11
279,attack,11
973,congress,11
280,attacks,11
2316,iran,11
2507,kobe,11
2959,movie,11
3558,prosecutors,11
1141,cuomo,11
813,cities,11
648,candidate,11
4406,summer,11
347,bank,11
3036,nevada,11
2391,johnson,11
2205,immigration,10
1738,film,10
1731,fight,10
2871,millions,10
2245,infection,10
58,ads,10
4837,victims,10
869,coast,10
162,america,10
4001,scientists,10
2618,lines,10
1791,food,10
931,community,10
2511,korea,10
2624,list,10
4046,senate,10
826,class,10
2545,law,10
1014,control,10
4080,sex,10
1973,groups,10
4161,site,10
1931,google,10
1829,friday,10
2920,moment,10
2948,mother,10
2925,money,10
1111,crimes,10
1437,drug,10
4336,stop,10
4328,steyer,10
1097,crash,10
3492,prices,10
3080,nursing,10
20,accounts,10
3108,officer,10
4303,star,10
558,britain,10
1674,families,10
4489,taliban,9
2492,klobuchar,9
3420,population,9
512,boris,9
660,car,9
2090,highlights,9
3397,point,9
802,church,9
3484,pressure,9
1478,editors,9
504,books,9
4664,trade,9
3781,researchers,9
4067,service,9
1418,dozens,9
1344,disease,9
341,ban,9
3151,organization,9
4034,security,9
827,classes,9
3444,power,9
629,call,9
115,airlines,9
3409,politics,9
847,closing,9
2061,heart,9
3923,run,9
1504,elizabeth,9
4625,tokyo,9
1596,everyone,9
3937,safety,9
285,attorney,9
4919,watch,9
4927,ways,9
2829,mexico,9
4835,vice,9
2805,members,9
736,challenge,9
4615,tips,9
2786,measures,9
2935,moon,9
1795,force,9
375,battle,9
501,book,9
2482,kind,9
4502,tax,9
2704,majority,9
1592,event,9
3718,region,9
2956,move,9
1873,gatherings,9
4859,visit,9
145,allegations,9
3495,primaries,9
3858,risk,8
4703,trip,8
2388,jobs,8
3309,peter,8
3286,pence,8
3340,piece,8
2350,james,8
3404,policies,8
3896,room,8
2888,minutes,8
2477,kids,8
3738,relief,8
2850,migrants,8
3538,project,8
3525,products,8
2765,matter,8
2756,massachusetts,8
754,chaos,8
2726,maps,8
498,bond,8
2957,movement,8
525,boy,8
3488,prevent,8
2983,music,8
2896,mississippi,8
3782,reserve,8
821,claims,8
3057,nomination,8
4590,threat,8
2519,labor,8
3003,nation,8
2306,investigation,8
1476,editorial,8
1393,documents,8
2134,hospital,8
2118,homes,8
1661,fact,8
1152,cut,8
4275,sports,8
1701,fear,8
2004,haenel,8
1090,coverage,8
5056,xi,8
211,appeals,8
1177,data,8
1180,daughter,8
4481,takeaways,8
4201,soccer,8
2137,hospitals,8
13,abuse,8
4376,student,8
2246,infections,8
1120,critics,8
1220,defense,8
4580,thing,8
2298,interviews,8
2253,information,8
1784,fo,7
4459,symptoms,7
212,appearance,7
1750,fire,7
2795,meet,7
1772,flight,7
3006,nations,7
1597,everything,7
4220,songs,7
3659,rape,7
5031,worries,7
3680,reality,7
1301,diamond,7
84,afghanistan,7
4380,study,7
4215,someone,7
5047,wuhan,7
1388,doctor,7
1598,evidence,7
492,body,7
5023,words,7
4538,tennessee,7
654,capital,7
4544,terms,7
34,actress,7
4396,success,7
2907,mo,7
3498,prince,7
232,argument,7
4281,spring,7
1119,criticism,7
1409,door,7
1397,dollars,7
3078,numbers,7
24,act,7
243,art,7
4286,st,7
876,coffee,7
1002,contest,7
4491,talks,7
780,child,7
2049,head,7
4053,sentence,7
5080,yo,7
3354,pl,7
951,concerns,7
3803,restaurants,7
950,concern,7
2510,kong,7
2120,hong,7
4029,secretary,7
2185,idea,7
364,bars,7
2228,india,7
898,column,7
2390,john,7
68,adviser,7
3863,rivals,7
2387,job,7
3883,roger,7
3884,role,7
2297,interview,7
2383,jinping,7
2370,jersey,7
1213,decision,7
815,citizens,7
4656,towns,7
4092,share,7
4995,winner,7
604,businesses,7
4162,sites,7
788,choice,7
4140,sign,7
4125,shows,7
3754,rep,7
3757,report,7
1920,goal,7
1003,contests,7
578,bryant,7
3245,parts,7
966,conflict,7
803,churches,7
3241,partner,6
4685,travelers,6
5087,yorkers,6
1471,economists,6
3152,organizations,6
5078,yields,6
1164,dallas,6
108,aid,6
1208,decade,6
3308,pete,6
127,alabama,6
1419,dr,6
3146,order,6
3193,package,6
4720,try,6
3272,pay,6
1329,disabilities,6
4749,twitter,6
3109,officers,6
3140,opposition,6
2819,message,6
1139,culture,6
2588,letter,6
4845,views,6
1849,future,6
1862,games,6
2658,losses,6
4855,virginia,6
1899,giant,6
2628,lives,6
795,chris,6
4987,win,6
969,confusion,6
2564,league,6
1480,education,6
2006,half,6
2010,halt,6
2038,harry,6
4981,william,6
2530,land,6
2051,headlines,6
4897,wall,6
867,coalition,6
2363,jazz,6
562,broadway,6
1835,front,6
2728,marathon,6
4841,video,6
1833,frisk,6
5041,writer,6
1500,elections,6
25,action,6
696,caucus,6
703,cdc,6
1066,count,6
1679,fans,6
2887,minute,6
4823,verdict,6
1699,fda,6
723,ceo,6
93,age,6
1735,figures,6
2330,israel,6
1043,coro,6
1746,find,6
1766,flavor,6
1781,flu,6
2769,max,6
1831,friend,6
2750,mars,6
3325,phone,6
192,answers,6
4556,tests,6
4254,speech,6
4630,tom,6
420,benjamin,6
4335,stone,6
4431,surgery,6
4341,stores,6
3375,players,6
4163,situation,6
3758,reporter,6
538,break,6
4410,sunday,6
172,analyst,6
4127,shut,6
3451,pr,6
4118,shot,6
443,billie,6
4308,start,6
4600,thursday,6
530,brand,6
3676,readers,6
4240,spain,6
3432,post,6
199,anxiety,6
204,anything,6
4291,stage,6
389,become,6
4490,talk,6
3483,press,6
3931,sa,6
4650,tournaments,6
294,author,5
1893,get,5
273,asylum,5
3638,racism,5
3518,process,5
1671,fall,5
1673,fallout,5
4606,ties,5
985,conservatives,5
1934,governm,5
4294,stallion,5
3666,rates,5
1938,governor,5
1659,facility,5
685,cash,5
1957,greece,5
2767,matthews,5
182,animals,5
281,attempt,5
1882,generation,5
2884,minnesota,5
1780,florida,5
1796,forces,5
4828,version,5
1808,founder,5
475,blow,5
4217,son,5
2731,march,5
1832,friends,5
1056,cost,5
3598,putin,5
2804,member,5
2797,meeting,5
284,attention,5
1881,general,5
90,afternoon,5
