,Term,frequency
611,kids,185
50,baby,122
954,sale,65
467,gifts,62
283,day,56
449,fun,56
546,ideas,54
218,co,51
1183,toys,51
404,family,43
799,party,41
288,deals,40
679,maternity,40
194,check,39
204,christmas,38
817,picks,37
524,holiday,35
608,kid,34
466,gift,33
880,products,31
1172,toddlers,30
455,games,29
972,season,27
24,amazon,26
965,school,25
722,moms,24
386,everything,24
1097,summer,24
645,list,24
1002,shop,23
867,pregnancy,23
748,need,23
108,books,23
91,birthday,22
317,disney,22
1163,time,21
494,halloween,19
984,sets,19
49,babies,18
1289,year,17
7,activities,17
246,costumes,17
454,game,17
642,line,16
1143,teens,16
651,love,16
382,essentials,15
228,collection,15
212,clothes,15
277,cyber,15
1171,toddler,15
526,home,14
1165,tips,14
469,girls,14
1253,weather,14
942,roundup,13
1091,style,13
413,favorites,13
198,child,12
1170,today,12
749,needs,11
718,mom,11
1231,video,11
706,minute,11
484,guide,11
401,fall,10
769,ones,10
1262,winter,10
285,days,10
1092,styles,10
167,car,10
1250,way,10
252,crafts,10
1202,try,10
272,cute,9
797,parents,9
820,pieces,9
960,savings,9
1107,surprise,9
829,plan,9
780,outfits,9
1180,top,9
1134,target,8
408,fashion,8
810,pets,8
392,experience,8
758,nursery,8
320,diy,8
123,boys,8
1089,stuffers,8
1058,spring,8
737,movies,8
287,deal,8
16,ages,8
531,house,8
54,bags,8
1065,start,7
927,reviews,7
636,leggings,7
971,score,7
357,edition,7
1072,stock,7
53,bag,7
512,help,7
1064,star,7
1000,shoes,7
649,lot,7
374,ends,7
1049,spirit,7
182,celebrate,7
162,cameras,7
179,catch,7
59,barn,7
802,paw,7
125,brain,7
790,pajamas,7
475,grab,7
428,fingerlings,7
308,diaper,7
394,experts,7
1127,tablet,7
478,grandparents,7
427,finds,7
1251,ways,6
104,board,6
1192,treat,6
647,look,6
491,hair,6
507,headsets,6
238,consoles,6
15,age,6
1004,shopping,6
1005,show,6
1282,xbox,6
1036,something,6
366,electronics,6
1255,weekend,6
1021,sleep,6
1006,shower,6
801,patrol,6
468,girl,6
145,bump,6
861,pottery,6
1224,valentine,6
974,seats,6
337,dress,6
915,registry,6
1246,warm,6
1118,swimsuits,6
1093,subscription,6
436,food,6
262,crib,6
637,lego,6
931,right,6
429,fire,6
795,parent,6
728,monsters,5
