,Term,frequency
1742,rt,885
841,goal,518
2087,time,289
1329,mins,240
1237,man,240
2035,team,211
846,goals,208
211,birthday,151
376,city,149
895,half,148
1391,news,137
1266,matches,130
1809,season,128
1193,liverpool,99
365,chelsea,93
2194,villa,93
2227,watford,92
1558,points,87
1474,palace,86
1187,line,82
952,home,82
2095,today,82
506,day,80
1264,match,76
1927,spurs,71
1914,southampton,70
110,aston,70
2228,way,68
1546,player,68
243,bournemouth,66
811,game,66
1503,penalty,65
266,brighton,64
1164,leicester,64
897,ham,63
2278,wolves,63
682,everton,61
877,gt,60
357,change,57
2237,weekend,49
292,burnley,48
1976,strike,46
1870,side,44
1240,manager,41
22,afc,41
2272,wins,41
2299,year,40
1343,month,40
1734,round,38
358,changes,38
1332,minutes,38
2266,win,37
1003,injury,37
1950,start,37
2058,th,36
1855,sheff,36
1787,score,35
148,ball,35
25,afternoon,35
2236,week,34
2181,var,33
1148,lead,32
13,action,32
256,break,32
704,fans,31
1153,league,30
392,co,30
513,debut,30
454,corner,29
1577,predictions,28
941,history,28
773,football,28
479,cross,28
79,appearances,27
1649,record,27
53,amp,27
1547,players,26
699,face,26
2270,winners,26
325,card,26
1871,sides,25
1397,night,24
389,club,24
1095,kick,24
1488,pass,22
1910,son,21
2296,xi,21
2177,utd,20
812,games,20
109,assists,20
2300,years,19
1513,performance,19
516,decade,19
1545,play,19
1023,jack,19
1026,james,19
999,ings,19
650,end,18
182,bench,18
2060,thanks,18
235,boss,18
32,aguero,18
2191,victory,18
1692,returns,18
1932,st,18
2269,winner,17
1673,replaces,17
378,clarets,17
1128,lads,17
157,barnes,17
755,fixture,17
972,https,17
2119,trafford,17
1936,stadium,17
1243,mane,16
1660,referee,16
518,december,16
1478,park,16
918,health,16
1768,saturday,16
1865,shot,16
1953,stats,16
1715,road,15
1293,meetings,15
226,blues,15
2105,tonight,15
1691,return,15
1340,moment,15
1831,sergio,15
916,header,15
507,days,15
1046,jimenez,15
1759,salah,14
1383,net,14
381,clash,14
1790,scores,14
121,aubameyang,14
1359,move,14
2038,teams,14
1925,spot,14
101,arsenal,13
246,box,13
1150,leaders,13
1506,pepe,13
783,foul,13
1747,run,13
1985,sub,13
1542,place,13
809,gabriel,13
914,head,13
40,alexander,13
511,deal,13
523,deeney,13
307,campaign,13
1854,sheets,13
1895,slots,13
2202,visitors,13
1105,klopp,12
536,dele,12
1043,jesus,12
1024,jahanbakhsh,12
2183,vardy,12
1609,pukki,12
78,appearance,12
264,bridge,12
237,bottom,12
2123,training,12
1355,mourinho,12
1232,mahrez,12
1251,mark,12
906,harry,12
1657,reds,12
35,albion,12
1339,molineux,12
371,chris,12
2210,vote,12
1653,recovery,12
37,alderweireld,12
303,calvert,12
1,aaron,11
2265,wilson,11
1977,striker,11
1686,result,11
748,finishes,11
751,firmino,11
1410,number,11
756,fixtures,11
2173,update,11
2107,top,11
1505,pep,11
732,field,11
1027,jamie,11
1265,matchday,11
2132,trent,11
1566,post,11
903,handball,11
1202,london,11
2280,wood,11
1952,starts,11
1246,march,11
89,area,10
1053,john,10
2262,wilder,10
1076,kane,10
872,greenwood,10
1941,stamford,10
1815,secure,10
2000,support,10
2206,volley,10
1949,stars,10
413,competition,10
276,bruce,10
786,foxes,10
1062,jordan,10
429,congratulations,10
503,davies,10
1200,loan,10
1703,richarlison,10
54,ancelotti,10
2239,weeks,10
359,charge,10
331,carlo,10
586,doubles,10
1175,levels,10
936,heung,10
1135,lane,10
1173,level,10
1557,point,10
1443,opener,10
1531,picks,10
728,fernandes,10
721,feeling,10
818,gazzaniga,9
1324,min,9
251,brace,9
928,henderson,9
2268,winks,9
2186,vertonghen,9
219,blades,9
356,chances,9
1800,sd,9
648,encounter,9
1212,lucas,9
73,anthony,9
164,beat,9
1177,lewin,9
249,boys,9
1131,lampard,9
961,hosts,9
1929,squad,9
636,effort,9
2016,table,9
1385,nets,9
1255,martin,9
2225,watch,9
1420,official,9
1171,let,9
1260,mason,9
1984,style,9
959,hornets,9
82,appointments,9
1422,offs,9
747,finish,9
856,goodison,9
2248,west,9
1817,see,9
2103,tomorrow,8
1029,jan,8
1527,photo,8
1091,kevin,8
285,build,8
1489,passes,8
1204,look,8
1509,pereyra,8
1752,sadio,8
2282,work,8
1049,job,8
1994,sunday,8
526,defeat,8
108,assist,8
1002,injuries,8
847,goalscorer,8
750,fires,8
772,foot,8
2067,think,8
1066,jose,8
1578,premier,8
355,chance,8
366,cherries,8
1856,sheffield,8
95,arnold,8
802,ft,8
645,emerick,7
351,chamberlain,7
2302,yesterday,7
842,goalkeeper,7
688,excitement,7
2218,walker,7
1876,signing,7
1407,norwich,7
694,eyes,7
1540,pitch,7
703,family,7
1510,perez,7
528,defender,7
758,fleck,7
753,fitness,7
1629,range,7
502,david,7
1621,races,7
560,difference,7
742,finals,7
741,finalists,7
735,fifth,7
778,fornals,7
465,cover,7
729,fernandinho,7
1569,power,7
1315,midfielder,7
1762,sanchez,7
1370,mw,7
1031,january,7
1767,sarr,7
425,confirm,7
19,advantage,7
62,anfield,7
1267,matchweek,7
1341,moments,7
680,evening,7
181,ben,7
1956,step,7
899,hammers,7
1205,looks,7
1907,solo,7
328,career,7
2027,taps,7
1915,space,7
1903,snodgrass,7
1069,jota,7
2138,trip,7
1978,strikes,7
1101,king,7
2028,target,7
2031,taylor,7
1107,knock,7
161,battle,7
880,guardiola,7
2189,vicarage,7
298,callum,7
960,host,7
2127,traore,7
1082,keane,7
1102,kings,7
195,bergwijn,6
1273,matt,6
1257,martinelli,6
1345,moor,6
405,come,6
551,df,6
550,deulofeu,6
532,deflection,6
2042,teemu,6
917,heads,6
512,dean,6
1650,records,6
828,get,6
2180,van,6
777,form,6
462,course,6
1727,rodriguez,6
1726,rodrigo,6
1325,mina,6
1718,roberto,6
1958,steps,6
1299,mendy,6
1713,riyad,6
485,cup,6
278,bruno,6
1331,minute,6
2249,westwood,6
1772,saves,6
44,alisson,6
1683,rest,6
2154,turn,6
501,date,6
1789,scorers,6
1782,schmeichel,6
1310,michael,6
1362,moyes,6
2217,walcott,6
1529,pick,6
1853,sheet,6
630,edge,6
1904,sokratis,6
312,cancels,6
1499,pearson,6
1866,shots,6
1248,marcus,6
1403,nods,6
321,captain,6
1444,opening,6
1881,silva,6
684,everyone,6
133,ayew,6
1541,pl,6
628,ederson,6
595,draws,6
591,drama,6
589,doucoure,6
1559,pokes,6
1561,pope,6
377,claim,6
1563,position,6
2076,thriller,6
593,draw,6
2166,uncut,5
745,finds,5
1417,odion,5
1411,numbers,5
15,adama,5
2124,transfer,5
1469,pack,5
685,everything,5
1712,rivals,5
1191,live,5
569,diogo,5
5,abraham,5
1484,partners,5
260,breakthrough,5
2113,towards,5
494,dan,5
1496,paul,5
2295,xhaka,5
527,defence,5
1142,latches,5
1656,redmond,5
1999,superb,5
901,hand,5
1663,reina,5
717,feature,5
2283,world,5
124,aurier,5
2074,threat,5
2257,wi,5
2256,whips,5
1638,reaction,5
1634,raul,5
499,danny,5
1337,mo,5
1550,plays,5
103,ashley,5
1811,seasons,5
291,burn,5
354,champions,5
1298,men,5
268,brilliant,5
1954,stay,5
382,class,5
2197,vintage,5
