,Term,frequency
1758,rt,896
847,goal,517
2108,time,285
1344,mins,240
1247,man,239
852,goals,220
2054,team,212
207,birthday,161
373,city,149
902,half,148
1409,news,143
1276,matches,129
1823,season,125
362,chelsea,100
1203,liverpool,100
2213,villa,96
2244,watford,86
508,day,85
1577,points,84
1489,palace,84
1196,line,84
961,home,83
1274,match,79
2117,today,76
1565,player,75
1947,spurs,73
110,aston,72
1933,southampton,70
2245,way,68
1520,penalty,67
816,game,66
237,bournemouth,65
1173,leicester,64
2297,wolves,63
688,everton,63
904,ham,61
260,brighton,58
353,change,58
884,gt,55
1357,month,50
286,burnley,48
2254,weekend,48
1014,injury,44
1250,manager,42
22,afc,42
1997,strike,42
2321,year,42
1162,league,40
1884,side,40
1970,start,40
2290,wins,40
2282,win,38
1347,minutes,38
1802,score,37
148,ball,36
2078,th,36
1750,round,35
1868,sheff,35
25,afternoon,35
354,changes,34
2253,week,33
515,debut,33
391,co,32
2199,var,31
77,appearances,31
250,break,31
778,football,30
1566,players,29
479,cross,29
13,action,28
1157,lead,28
2287,winners,27
320,card,27
454,corner,27
709,fans,27
949,history,27
388,club,27
704,face,26
1597,predictions,26
1668,record,26
1415,night,26
52,amp,24
1104,kick,23
1885,sides,22
109,assists,22
1928,son,22
1036,james,21
656,end,21
982,https,21
1504,pass,21
1563,play,21
2317,xi,21
2286,winner,20
2195,utd,20
1010,ings,20
2210,victory,19
1033,jack,19
1708,returns,19
154,barnes,19
817,games,19
177,bench,19
229,boss,18
32,aguero,18
1530,performance,18
1953,st,18
1691,replaces,17
1784,saturday,17
2080,thanks,17
2322,years,17
1354,moment,17
220,blues,17
2191,update,16
2126,tonight,16
1867,sheets,16
1679,referee,16
762,fixture,16
1253,mane,16
378,clash,16
375,clarets,16
926,health,16
1878,shot,16
1974,stats,15
1958,stadium,15
2201,vardy,15
1913,slots,15
520,december,15
1844,sergio,15
518,decade,15
509,days,15
1401,net,15
240,box,15
1707,return,15
2057,teams,14
368,chris,14
1037,jamie,14
1972,starts,14
1304,meetings,14
1805,scores,14
2144,training,14
2141,trafford,14
1136,lads,14
1944,spot,14
1494,park,14
121,aubameyang,14
1998,striker,13
302,campaign,13
1375,move,13
1159,leaders,13
2221,visitors,13
1733,road,13
39,alexander,13
1353,molineux,13
1182,level,13
526,deeney,13
2229,vote,13
1241,mahrez,13
1775,salah,13
1676,reds,13
1559,place,13
787,foul,13
922,head,13
1056,jimenez,13
924,header,13
1523,pepe,13
1763,run,12
513,deal,12
100,arsenal,12
1252,manchester,12
2005,sub,12
1262,mark,12
1113,klopp,12
539,dele,12
1629,pukki,12
1522,pep,12
1672,recovery,12
913,harry,12
298,calvert,12
1034,jahanbakhsh,12
735,fernandes,12
2128,top,12
813,gabriel,12
2152,trent,11
1053,jesus,11
2225,volley,11
36,alderweireld,11
1548,picks,11
1211,london,11
758,firmino,11
1257,march,11
1071,jordan,11
2124,tomorrow,11
1370,mourinho,11
76,appearance,11
2265,west,11
1598,premier,11
34,albion,11
2281,wilson,11
944,heung,11
87,area,11
1139,lampard,11
505,davies,10
326,carlo,10
1576,point,10
1275,matchday,10
356,charge,10
412,competition,10
1829,secure,10
231,bottom,10
271,bruce,10
1265,martin,10
910,handball,10
1,aaron,10
1831,see,10
936,henderson,10
1585,post,10
1718,richarlison,10
1221,lucas,10
1209,loan,10
1338,min,10
213,blades,10
2256,weeks,10
53,ancelotti,10
755,finishes,10
2278,wilder,10
1428,number,10
1063,john,9
589,doubles,9
760,fitness,9
1013,injuries,9
258,bridge,9
727,feeling,9
862,goodison,9
654,encounter,9
1186,lewin,9
763,fixtures,9
2036,table,9
806,ft,9
1999,strikes,9
853,goalscorer,9
159,beat,9
969,hosts,9
1143,lane,9
80,appointments,9
1087,kane,9
1213,look,9
1075,jose,9
640,effort,9
790,foxes,9
754,finish,9
2015,sunday,9
740,field,9
1438,official,9
429,congratulations,9
1440,offs,9
71,anthony,9
243,boys,9
2285,winks,9
529,defeat,8
1703,result,8
1059,job,8
2004,style,8
1425,norwich,8
245,brace,8
1969,stars,8
821,gazzaniga,8
1100,kevin,8
352,chances,8
690,everyone,8
2300,wood,8
1975,stay,8
1078,jota,8
133,ayew,8
94,arnold,8
848,goalkeeper,8
777,foot,8
749,finalists,8
279,build,8
757,fires,8
2302,work,8
1962,stamford,8
1403,nets,8
967,hornets,8
562,difference,8
1768,sadio,8
1543,photo,8
1814,sd,8
1110,kings,8
1459,opener,8
2022,support,8
504,david,8
879,greenwood,8
1743,rodriguez,8
1180,let,8
1558,pl,8
1925,solo,8
1526,pereyra,7
323,career,7
158,battle,7
351,chance,7
466,cover,7
363,cherries,7
1039,jan,7
1778,sanchez,7
316,captain,7
1041,january,7
19,advantage,7
736,fernandinho,7
2148,traore,7
2050,taylor,7
60,anfield,7
2046,taps,7
686,evening,7
347,chamberlain,7
1921,snodgrass,7
1798,schmeichel,7
1527,perez,7
1386,mw,7
1783,sarr,7
176,ben,7
1505,passes,7
2324,yesterday,7
1640,races,7
1545,pick,7
1109,king,7
651,emerick,7
43,alisson,7
2205,vertonghen,7
783,fornals,7
2198,van,7
1889,signing,7
968,host,7
1742,rodrigo,7
887,guardiola,7
1977,step,7
1824,seasons,7
514,dean,7
2242,watch,7
1114,knee,7
272,bruno,7
425,confirm,7
598,draws,7
1902,skills,7
1093,keane,7
191,bergwijn,7
2087,think,7
594,drama,7
108,assist,7
293,callum,7
1283,matt,7
1184,levels,7
531,defender,7
1950,squad,7
2235,walker,7
552,deulofeu,7
743,fifth,7
699,eyes,7
1869,sheffield,7
1421,nods,7
1934,space,6
1303,meeting,6
1866,sheet,6
782,form,6
1485,pack,6
1133,lacazette,6
1922,sokratis,6
447,converts,6
1329,midfielder,6
1214,looks,6
1927,something,6
1578,pokes,6
1310,men,6
1669,records,6
1324,michael,6
1580,pope,6
1682,reina,6
722,feature,6
486,cup,6
1360,moor,6
2172,turn,6
1804,scorers,6
548,derby,6
592,doucoure,6
2184,uncut,6
374,claim,6
1378,moyes,6
1648,range,6
