,Term,frequency
2577,rt,1074
2849,students,606
2623,school,581
975,education,362
3000,today,246
2934,teachers,182
2848,student,182
2626,schools,180
135,amp,147
597,college,128
2991,time,124
3256,year,121
2647,secretary,108
791,day,106
3185,week,105
2135,parents,104
1396,help,89
3228,work,85
529,children,73
3167,watch,71
978,educators,70
434,career,70
99,aid,65
1140,families,64
1637,join,62
2963,th,62
2882,support,61
2965,thank,60
2350,programs,59
2349,program,58
2872,summer,57
24,access,56
2693,share,56
3170,ways,55
2738,skills,55
2679,session,55
1800,loan,54
2088,opportunity,54
1218,form,54
1680,kids,53
2966,thanks,53
2867,success,52
3257,years,52
1980,morning,52
3169,way,50
2933,teacher,49
1974,month,49
1456,https,49
709,country,48
2508,resources,48
2807,state,48
558,classroom,46
3139,visit,45
3005,tomorrow,44
1730,leaders,44
2621,scholarships,44
1734,learn,42
2809,states,41
526,child,41
210,assistant,40
3016,tour,40
572,co,40
965,ed,39
1771,life,38
2558,role,38
3260,yesterday,38
2087,opportunities,38
2793,staff,38
1739,learning,37
1552,innovation,37
3236,world,37
618,community,37
466,celebrate,36
649,congratulations,36
2873,summit,36
1141,family,36
1106,experience,36
2400,questions,34
2593,safety,34
2008,nation,34
533,choice,33
949,dyk,33
906,districts,32
2629,science,32
2138,part,32
782,data,31
2090,options,31
1731,leadership,31
2187,people,31
2246,pm,30
2857,subcommittee,30
131,america,29
375,budget,29
2307,president,28
3102,use,28
1628,job,27
2818,stem,27
2975,things,27
320,blog,27
682,conversation,26
510,charter,26
1812,lot,25
1131,fafsa,24
515,check,24
3268,youth,24
472,center,24
1737,learners,24
1074,event,24
853,development,23
2945,technology,23
125,ambassador,23
1435,honor,23
833,department,23
1871,math,23
65,adults,23
2395,quality,23
58,administration,23
1900,meet,23
1068,et,23
905,district,23
2674,service,23
704,counselors,22
1429,home,22
1252,fun,22
1801,loans,22
598,colleges,22
1236,freedom,22
1076,everyone,22
3076,twitter,22
2134,parent,22
488,challenge,21
1474,icymi,21
1387,health,21
87,afternoon,21
2486,report,21
610,commission,21
876,disabilities,21
2906,system,21
1476,idea,21
2694,shares,20
2316,prevention,20
2495,research,20
2233,plan,20
1325,grants,20
2237,play,20
1816,love,20
2932,teach,20
2323,principals,19
1262,future,19
2100,others,19
189,art,19
3031,training,19
3222,women,19
893,discussion,19
1181,fill,19
837,deputy,19
1508,importance,18
3013,topic,18
2015,needs,18
865,difference,18
2790,st,18
1324,grant,18
1544,information,18
1793,lives,18
2643,sec,17
495,chance,17
2275,power,17
2830,story,17
2916,talk,17
933,dr,17
634,computer,17
1901,meeting,17
1198,flexibility,17
806,debt,17
3008,tonight,17
977,educator,17
1455,http,17
614,commitment,17
1289,get,16
1807,look,16
476,ceremony,16
42,action,16
512,chat,16
248,awareness,16
552,class,16
163,applications,16
2653,see,16
734,credit,16
1971,money,16
2937,team,16
159,app,16
2064,office,16
2043,number,16
334,book,16
1478,ideas,16
3093,university,15
132,americans,15
1223,foundation,15
44,activities,15
1336,group,15
792,days,15
1906,members,15
3274,zais,15
2724,signs,15
1127,fact,15
2538,rights,15
1629,jobs,15
2002,myth,14
2230,place,14
1838,make,14
648,congrats,14
1135,faith,14
1873,matter,14
1321,graduation,14
407,call,14
2767,space,14
2852,study,14
20,academy,14
2014,need,14
3067,tune,13
353,break,13
2481,remarks,13
935,dream,13
1916,message,13
2507,resource,13
1569,institutions,13
169,appreciation,13
854,devos,13
2996,tips,13
559,classrooms,13
1721,law,13
1315,graders,13
821,degree,13
891,discuss,12
1059,equity,12
1054,environment,12
1204,focus,12
2676,services,12
900,distance,12
247,awards,12
2618,scholars,12
1107,experiences,12
40,act,12
2635,scott,12
435,careers,12
2917,talks,12
2543,risk,12
2351,progress,12
2828,stories,12
3166,washington,12
717,courses,12
1078,everything,12
1454,htt,12
547,city,12
797,deadline,12
2981,thoughts,12
534,choices,12
873,director,12
2641,season,11
2254,policy,11
2757,something,11
2160,pathways,11
1872,mathematics,11
3011,tools,11
1129,facts,11
3232,workforce,11
674,contributions,11
1453,ht,11
1038,enrollment,11
1953,misuse,11
2907,systems,11
617,communities,11
3092,universities,11
1966,moment,11
1019,encourage,11
2854,stump,11
2779,spending,11
32,accreditation,11
1301,goals,11
1349,guide,11
2804,start,11
1788,literacy,11
499,change,11
2776,speech,11
2236,plans,11
2201,person,10
1452,hs,10
1313,grade,10
1248,fsa,10
1011,employers,10
1258,funding,10
1677,kicks,10
1300,goal,10
2549,road,10
1047,entities,10
2429,reality,10
432,care,10
1752,let,10
1283,generation,10
469,celebration,10
621,company,10
1857,mark,10
1694,knowledge,10
1499,impact,10
2925,tax,10
639,concepts,10
1137,fall,10
1010,employees,10
1269,game,10
2282,practices,10
910,diversity,10
1383,head,10
1364,hands,10
815,decision,10
793,dc,10
936,dreams,10
943,drug,10
2241,please,10
816,decisions,10
754,cte,10
2995,tip,10
2567,round,10
2426,reading,10
1157,feel,10
963,economy,9
2232,places,9
3061,trump,9
643,conference,9
2821,steps,9
2976,think,9
2021,network,9
713,courage,9
2157,path,9
2253,policies,9
944,drugs,9
2386,pursue,9
983,efforts,9
759,culture,9
2709,show,9
730,create,9
827,demand,9
2152,passion,9
2711,showcase,9
2713,shows,9
489,challenges,9
1942,minutes,9
