screen_name,followers,friends,total_tweets
cleantechnica,121355,151,45227
Teslarati,192582,63,9287
InsideEVs,35611,53,39069
arstechnica,1170117,1257,108618
austinnotduncan,553731,153,55187
karpathy,257943,527,6371
woodhaus2,29140,22,28
boringcompany,347122,5,97
Gizmodo,2894657,139,130278
BadAstronomer,616841,583,94024
newscientist,3620050,163,71471
OpenAI,411033,0,451
neiltyson,13743213,39,6544
TheOnion,11420232,10,74057
LaughingSquid,535633,1,88722
TeslaOwnersWW,5034,90,384
DMC_Ryan,124102,420,47292
MKBHD,3743494,354,47666
verge,2639941,167,172139
Hyperloop,185885,94,115
RickandMorty,1943849,206,4702
waitbutwhy,227123,514,1517
tsrandall,24024,2639,6950
OCTeslaClub,3166,339,2548
ElectricJen,1910,129,5080
TeslaOwnersONT,2449,293,291
StLTesla,1784,500,2101
TeslaOwnersBC,3129,459,418
NTXTeslaOwners,2884,298,2976
NorCalRenoTesla,2268,62,265
SouthernAZTesla,2582,219,2431
TeslaXCanada,1240,625,1373
Oatmeal,643037,586,8029
MarkRuffalo,6494840,1852,41684
smithmegan,29753,628,1051
TeslaClubItaly,5803,1187,4096
autocar,120772,860,62828
dungerdunger,3179,2899,6582
AutoCritic,25076,1481,7959
TeslaClubBE,11351,2677,15575
Angus_MacK,6459,342,2154
TeslaMotorsNC,690,0,0
LeilaniMunter,46601,990,22655
westcoastbill,41430,348,3084
CRcars,25908,150,10925
TeslaRoadTrip,61146,71,4877
PeterDrives,7081,929,4673
FastCoImpact,212933,854,64901
AutoweekUSA,162775,560,41249
mt_loverman,17261,2092,11312
gigaom,307720,1301,66427
RoadandTrack,657014,1172,44324
EdLoh,11749,8424,17399
AutoGuide,121218,497,65934
engadget,2420745,272,179615
TechCrunch,10140214,961,209653
tsport100,11910,3646,49553
therealautoblog,381435,990,105127
automobilemag,215000,594,35925
TreeHugger,352613,7417,51908
SpaceX,9964736,100,4637
mjburnsy,16811,1137,6564
elonmusk,32675551,83,10256
katiefehren,26971,1431,22364
CNETCarTech,20484,22,5144
MotorTrend,735907,1169,40911
CARandDRIVER,1078966,973,32054
GreenCarReports,24702,8622,33191
AutoblogGreen,26936,1098,8768
adamwerbach,17833,1016,12264
TeslaMotorsClub,136372,18,2747
pluginamerica,15037,593,3534
bobbyllew,158039,1229,73949
Jason,319527,25723,14041
