screen_name,followers,friends,total_tweets

Haunt3dG,0,17,0

TannerR65556703,0,25,0

kontrun_Zhang,9,157,6

ytk96642612,1,231,0

eVS2J7ajeCCr44F,0,17,0

rgrclem,0,16,0

TASHA233021,3,65,51

HajiGul40375600,12,380,4

EvanGao12,1,37,9

Hampejz2,0,4,0

adilenasitler,4,139,198

mozzie85674133,0,4,0

DarkStarRecord,31,57,31

Siddiquirazik1,1,17,0

jaschnall,5,9,19

8urpreet,0,10,0

SAlmasatfeh,2,79,0

Abrham666,1,81,3

KeerthanaRamas7,0,195,0

rajaprsg,19,93,19

paulgraimond,0,67,1

ilyashestak,5,161,25

nikki_xa,1,76,0

SayyedT63860512,0,153,0

DinaCarreras,5,10,3

Saarhil,0,39,0

iC3YCIgefY4RGeg,0,17,0

MagisterGabe,15,109,93

Dilshanchamik11,1,10,0

Holusi2,5,186,43

kirbysrevenge,10,305,0

SchefflerElijah,0,40,0

Jacob11091,5,159,19

orkedooooo,0,107,17

Hamedrouhi1,3,60,1

JenniferBecca,0,32,0

Westlake_RltyGr,0,104,0

Cisco82283329,1,81,0

soonernav,63,168,119

TristanIzquier1,0,36,0

ElhashemyHamza,1,15,1

qsabughaith,137,911,995

tweettwerktweet,0,5,0

PhilippeGiudice,0,7,0

Micha01988598,0,52,0

EricMuita,269,386,999

GajendraSurend1,1,101,0

KnaubertMartin,0,51,0

mhdmuzzammil14,4,19,4

Alexand93552646,66,2322,1826

Shaker70814927,0,22,0

MaxWrig35992620,0,61,0

kishan_nagesh,0,64,0

ramondicarrera2,11,319,138

Sifa05811464,1,38,0

_panzzy_,10,78,7

Josea_roma,581,1109,1322

AndreasBremthal,6,23,4

strykerzbane,0,28,0

rkrobertson,1,12,0

krisleung604,0,12,0

DjBjOrdWRFfQrJZ,0,2,7

gordana14806481,0,10,0

sg12637,0,59,0

vegonen,1,8,1

PavelK24909640,0,40,0

Jake91337915,0,41,0

name97734,0,2,0

Bryan76296570,0,76,0

zenes6008,0,50,0

jsalcedo281,0,37,0

PeytonLamb15,0,31,0

wendratiarno,38,64,56

FauxSurf,8,87,60

Mikesouthey1983,0,8,1

Estha88764200,0,23,0

Nicschultz6,0,14,0

Madi37148466,1,94,0

YouthTennessee,0,112,9

shakuradams2018,24,651,11

Elli777777,1,66,2

Diego__AnS,0,28,26

Andikakausarrr,0,117,0

7TKuaR8Cx0GO0cc,0,21,0

LeighEmmerson4,0,31,0

cmontecristo2,1,10,0

PedRamRod,2,40,5

FeedbacknewsP,0,26,0

Aimbelmaht,51,373,515

sukhbir93,105,1044,1563

Sketche76623125,0,5,11

dinusy832,0,16,0

OWeiermiller,0,32,0

Skysopo0918,11,168,48

leekiki88989358,0,85,5

ManikumarKonda,38,807,71

RashmiM00997734,0,14,1

ZachCampana2,0,43,0

budihal_shweta,43,574,46

kleanls,0,21,0

henriquetmugabo,46,126,399

RaghamwarSai,0,99,0

Binu_Chandran,61,368,12

CV73993351,0,19,0

Mohamme30987847,3,308,2

edieclaaa,1,83,2

KHHszg,0,191,0

justen_phelps,1,15,2

Ani96716083,0,53,0

GulamSa01568658,0,11,0

Lambo1414,169,28,2827

iam_legenddd,871,1176,304

OfficielMouhib,0,61,0

Leticia99116514,0,44,0

sorenchen1,0,211,0

sunny_amir,9,160,5

Flo_Flo_YT,24,213,938

unity_humanity,1,49,10

CAshanndy,167,2632,3562

PMaroulidis,0,31,0

Emmanue20704078,17,580,7

AffairsRmh,0,22,0

B189304241,1,35,0

EfrainPortales2,0,2,0

iamkatiepalmer,160,399,2

Umang91514901,0,9,0

thereal2Odd,0,4,0

GabFarian,12,39,79

samarit77305732,0,136,6

EttyHatfield,1,16,1

WayneMcKie,18,110,12

nithinravi,230,259,167

q11650386,0,10,0

whitera55251174,0,17,0

Brandie98641623,1,29,0

StefanHamann7,0,5,0

Blagoslav3,1,12,2

RahulSi46051171,0,23,0

Kevin90991812,0,3,0

samuel_virgile,87,1011,638

Ruiznorma54yah1,1,10,0

FacelloAlex,1,9,0

Frybal1,1,17,0

deibtc,80,54,14

eddyinho7,30,42,2

dodrill_grant,1,23,1

tuanaatbas,37,33,12

math_bdm,9,125,5

Christo87226985,1,56,1

jcmilo16,169,724,590

Derick54238991,19,965,350

DakshinaNuwan,2,106,3

teresa19721744,1,38,0

MatisenHaze,6,240,0

MariamE04595654,3,15,0

Ahmedaboail4,0,162,0

kikistypewriter,0,34,0

DipasqualeWayne,0,14,0

Himansh35346437,0,35,0

Welson87,4,189,35

SoyJaviNava,1,38,2

JennaBergmann4,3,35,0

BastienSoret,0,5,0

Hadi37052269,0,4,0

patrici91145964,2,11,1

GaibiEr,2,23,0

BonaminiEnzo,8,85,3

BobRossYeeet,0,93,0

AlexSan02603234,0,20,0

ukasz85555726,0,7,0

Brother05665169,0,45,0

Akhil__rocky,0,205,6

begemotspace,1,23,2

Reader67544002,0,153,0

Proseteacher,46,226,935

CelestGustavo,0,22,14

TConspt,2,121,8

FarzanaMccallum,4,71,64

tonytabullo,8,99,22

Olexandrb1,0,12,0

Blazar_Tech,22,661,5

StevensonDorota,5,36,35

shashibindo,227,2798,5416

EricMinKim,96,382,16

CrisSparcaci,0,12,4

Araceli61855919,3,112,0

markritacco6,61,461,971

Kyle79304562,2,14,0

MichelleAleiah,1,49,0

ArpitBajaj23,18,162,0

Lakshmi29352718,0,64,0

Leobrv_415,25,33,3

RajanSarhadi,2,26,1

Goodman333333,1,25,0

namanamasteJP,3,268,0

SinghVornica,1,64,7

joslucas67,287,1982,12803

HerbAllen10,3,113,2

Knez_Dj,11,30,58

ZZTheNinja,14,42,19

HumaAkbar16,2,26,22

MTechDesign,2,21,2

VincenzioA,4,147,0

Sherlandd1,1,24,4

Srishti_Agr,4,216,0

ToprakAycan2,1,16,0

AntoineAsker,0,21,0

Milosz05928382,0,32,0

JessicaEnders5,3,111,0

MrMahmoudFares,11,618,4

Joanna_PSz,1,9,2

ryrzny,1203,343,373

MilleVanille3,0,24,0

Brijeshpandyaa,12,151,62

XanderS41966289,0,5,0

wh_kosasih,3,54,22

ArcanjoNestor,5,127,0

_nitesh_singh,3,73,6

mgreenNine,9,50,11

baily_connor,1,20,0

imdadf27,0,8,0

Timur94080363,0,12,0

AprilJa07465122,0,100,1

Shubham47531806,7,288,238

ashcarp0302,4,114,0

anshfrdy,13,496,202

twist2099,2,38,24

ParmesanY,2,56,3

viren_warring,1,83,0

Adilet38898634,0,31,0

bakura_yamimode,23,708,3805

kikibond,247,361,1134

aib_tf,0,9,0

DinkoHafizovic,1,19,0

anthosamnas,16,271,284

Mario78850304,0,9,0

nanivarun,24,8,11

Pg57T,0,11,1

maxfpc2,3,61,1

ReynaldoSambri6,44,1246,23

jared_schottin,1,10,1

kieranjferg1967,5,67,4

LxOEgfiayagDUF6,0,11,0

PrestigeElectr3,0,5,0

SudipGhorai1,35,821,23

LarreaGil,0,7,0

