,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,rt,97.3,year,446.5,rt,135.3,summer,26.1,food,97.9,time,26.6,thanks,41.7,chef,73.8,week,31.8,awards,143.1
1,com,44.1,vote,102.3,food,42.8,ice,23.1,travel,69.4,tea,14.1,rt,36.8,trip,32.6,today,31.6,food,135.4
2,tour,34.1,hotel,98.5,issue,40.8,cream,22.3,rt,35.0,afternoon,10.9,food,22.6,world,21.3,rt,31.2,travel,129.8
3,issue,32.0,congratulations,63.9,amp,31.7,thank,14.7,magazine,18.8,escape,10.1,city,20.8,rt,20.6,recipe,17.5,reader,105.1
4,copy,30.8,cruise,55.1,weekend,30.5,gourmet,13.0,month,18.4,list,9.1,co,17.6,day,19.4,head,16.3,vote,38.9
5,please,26.4,congrats,47.3,http,21.1,edition,12.8,cover,11.1,get,8.6,recipes,16.9,check,17.1,celebrate,15.3,book,26.1
6,operator,26.1,line,45.1,co,20.4,holiday,12.6,street,8.9,issue,8.5,weekend,16.9,night,15.6,try,13.8,nominations,19.4
7,tickets,22.6,restaurant,45.0,thanks,19.9,thanks,11.9,wine,8.8,thanks,8.3,dinner,16.6,weekend,14.6,hand,12.9,please,18.6
8,team,20.5,london,41.5,check,18.2,salad,11.6,news,8.7,pleasure,8.1,night,14.9,co,14.4,day,12.1,co,15.7
9,enter,18.1,city,34.7,guide,17.0,gift,10.1,subscription,8.0,winter,7.9,home,14.6,review,13.0,meal,10.7,chance,14.9
