,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,trip,37.9,food,90.8,rt,55.3,city,74.3,issue,62.7,cruise,54.8,rt,85.8,win,34.8,thanks,53.9,year,319.5
1,rt,23.8,rt,62.5,food,50.2,year,70.3,today,34.8,line,45.1,month,13.8,recipe,29.0,year,48.7,awards,143.1
2,co,20.6,magazine,46.1,com,31.8,hotel,51.8,copy,25.8,year,22.8,tickets,13.8,need,16.8,co,45.7,vote,141.1
3,amp,20.6,travel,37.6,travel,26.5,congrats,25.5,holiday,25.3,river,16.0,summer,12.4,issue,16.6,school,37.4,travel,135.2
4,post,16.1,gourmet,24.1,weekend,25.8,retailer,21.1,rt,23.5,adventure,12.9,subscribers,12.1,rt,15.2,rt,33.5,food,132.2
5,tapas,14.6,amp,22.1,team,25.1,specialist,20.1,bar,22.1,amp,12.3,fruit,11.8,chocolate,13.7,check,31.2,reader,105.1
6,tomorrow,13.4,day,19.6,world,24.5,way,16.3,sale,19.0,rt,12.1,today,11.7,feature,12.6,tour,30.9,congratulations,60.6
7,spain,12.9,summer,17.3,thank,21.3,award,16.0,thanks,18.7,cocktail,11.1,party,10.9,house,11.1,cookery,28.1,restaurant,51.5
8,weekend,12.2,thanks,17.1,please,18.6,home,15.3,city,16.0,issue,10.3,winter,9.6,try,10.9,operator,26.1,rt,50.2
9,days,10.2,hand,16.9,edition,18.1,something,15.1,season,15.3,boutique,10.1,weekend,9.4,cities,10.1,day,23.4,hotel,45.5
