,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,today,46.5,song,48.8,heart,70.0,yes,78.1,video,112.1,love,89.1,birthday,32.1,wait,33.8,rt,97.2,time,57.4
1,photo,27.1,bb,30.1,episode,69.6,performance,37.1,music,38.0,day,86.0,pics,17.8,weekend,23.1,story,28.1,hi,30.9
2,world,18.0,pls,17.1,mtv,56.1,feel,20.1,choice,20.1,track,35.0,date,12.1,angel,18.1,times,23.5,thank,27.1
3,playlists,16.1,want,15.1,everything,32.1,right,18.1,cece,20.1,way,25.1,gif,11.1,queen,18.1,year,21.2,rt,22.5
4,dance,13.1,omg,14.9,tonight,26.5,thing,18.1,morning,19.1,moment,21.1,things,8.9,need,16.0,friends,20.1,mood,21.1
5,everyone,12.1,years,14.1,day,17.2,song,18.0,hope,14.1,repeat,18.1,breath,8.7,harry,14.4,tweet,15.1,wow,20.1
6,time,11.8,tysm,13.5,answer,15.1,life,15.9,taste,11.0,kobe,14.1,eee,8.1,album,13.9,th,14.1,confirm,14.1
7,rt,11.5,week,13.2,head,14.1,artist,11.0,stan,10.1,hi,13.3,share,8.1,look,13.8,chills,12.1,guys,10.0
8,favorite,11.1,tomorrow,13.0,tell,14.1,mean,10.1,party,10.0,hey,10.1,course,8.1,content,10.6,end,12.1,gt,8.1
9,masterpiece,9.1,rt,12.3,fact,12.1,choices,10.1,face,8.1,rt,9.5,check,7.9,vibes,10.1,ya,11.1,looks,8.1
