,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,days,33.1,time,71.6,details,69.7,deals,98.5,rt,36.2,ebay,24.5,thanks,110.2,holiday,80.1,day,92.8,code,52.8
1,amp,23.5,shop,57.9,rt,49.5,check,55.9,something,33.1,help,21.4,item,63.3,season,76.7,today,75.3,name,52.7
2,funds,23.0,fashion,53.4,support,47.3,please,51.3,money,31.1,deal,19.8,help,59.5,gift,59.1,auction,49.3,look,47.8
3,feedback,22.5,spring,52.2,help,46.0,things,42.6,ebay,30.3,issues,16.2,case,51.7,ebay,40.3,rt,45.4,rt,33.9
4,delivery,21.5,coupon,40.4,thank,45.9,year,39.6,shop,18.4,friday,13.1,buyer,45.7,experience,33.2,proceeds,33.9,address,31.7
5,see,19.2,pt,36.1,chance,33.7,rt,38.6,account,17.7,today,12.6,time,45.7,day,25.5,bid,33.1,email,31.0
6,year,16.3,summer,32.8,hi,29.0,look,23.8,try,16.7,rt,12.6,items,42.3,help,24.6,deals,31.5,list,28.6
7,rt,12.5,use,24.7,dm,26.9,bt,22.6,item,16.1,winner,11.6,sellers,39.0,chance,22.4,savings,29.0,help,26.3
8,family,12.1,items,24.5,way,23.6,shop,19.8,shoes,14.5,life,10.8,price,34.2,cm,20.3,shipping,24.5,items,25.1
9,score,10.4,code,22.3,jn,23.2,ebay,19.6,thing,13.7,team,10.6,let,31.3,home,19.8,sellers,23.4,amp,24.9
