,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,jn,27.1,ebay,66.3,rt,154.7,season,21.0,help,130.3,support,69.1,deals,94.8,today,52.7,item,71.2,days,69.0
1,proceeds,22.1,time,51.5,shop,84.9,fall,20.0,thanks,88.5,thank,41.9,look,57.7,coupon,38.8,seller,56.1,ebay,40.9
2,chance,20.9,something,36.2,day,65.0,account,16.1,dm,52.0,rt,40.9,help,52.5,pt,37.1,bl,49.4,shipping,31.2
3,fun,17.0,sale,25.8,items,64.1,chance,15.5,way,51.0,weekend,22.8,name,49.1,pm,24.5,buyer,43.7,help,28.7
4,bid,17.0,season,24.4,sellers,63.9,show,14.9,details,42.4,star,20.1,things,49.1,day,23.0,time,33.2,amp,27.6
5,edition,16.0,chance,23.8,year,43.0,bid,14.7,hi,41.7,shop,18.8,holiday,46.2,code,22.0,case,28.4,fashion,22.0
6,essentials,15.1,gift,21.7,auction,36.8,styles,11.9,sorry,36.1,today,17.5,code,45.8,car,21.0,cj,27.7,funds,21.2
7,summer,14.7,list,21.1,ebay,34.4,year,10.7,experience,31.7,community,15.3,please,40.7,use,14.9,report,24.2,home,19.4
8,sellers,13.2,spring,21.0,kind,25.5,auction,10.0,hear,24.2,wars,15.1,gift,37.1,home,13.6,fees,20.7,app,17.6
9,world,13.2,year,18.9,gifts,23.7,piece,9.9,cm,23.7,everyone,11.9,address,36.1,wait,12.8,rt,19.2,rt,16.0
