,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,thanks,454.3,app,303.1,page,377.4,visit,162.3,hi,69.1,hi,181.0,people,133.5,help,443.1,rt,66.3,account,367.9
1,kn,172.9,version,285.1,hi,375.6,hi,162.0,code,41.1,account,98.8,something,114.1,hi,306.7,kn,34.6,hi,365.1
2,memories,66.1,hi,276.5,facebook,345.6,account,143.8,trouble,28.5,password,90.6,reports,110.1,center,238.0,today,34.4,kn,342.8
3,glad,64.1,browser,94.1,business,236.1,jo,120.1,news,28.3,access,90.1,problems,109.1,account,195.3,community,32.4,please,251.7
4,report,41.2,facebook,55.8,kn,101.2,facebook,116.5,facebook,27.9,steps,76.1,hi,105.4,someone,87.1,change,27.5,secure,217.6
5,learn,40.2,web,41.1,report,100.5,issue,34.2,posts,27.1,reset,71.3,mark,31.6,secure,78.6,part,25.1,visit,145.1
6,remind,33.1,messenger,33.1,account,95.3,link,32.2,report,26.7,facebook,62.5,work,30.1,learn,67.9,thank,24.4,facebook,113.0
7,join,27.1,day,29.1,trouble,85.4,please,22.4,verify,26.1,email,52.1,rt,23.7,please,67.7,hi,20.4,report,98.8
8,situation,19.4,try,24.4,please,78.5,assistance,19.7,account,24.4,number,48.1,facebook,22.4,report,60.4,people,19.3,link,71.0
9,photos,18.0,request,22.2,things,78.0,log,19.1,post,22.5,friend,43.7,zuckerberg,20.1,facebook,59.0,recommend,16.6,page,67.8
