,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,thanks,454.7,hi,246.0,help,350.9,people,168.1,account,238.2,access,104.1,app,298.3,rt,116.3,page,288.0,hi,502.2
1,kn,238.4,trouble,158.1,hi,271.3,something,113.1,hi,197.9,password,98.0,version,279.0,facebook,52.0,hi,256.9,account,401.9
2,memories,66.1,account,149.7,center,243.1,reports,109.1,secure,105.9,hi,79.1,hi,198.5,today,29.5,facebook,205.1,please,323.8
3,glad,64.1,facebook,124.4,please,106.4,problems,108.1,help,94.3,facebook,65.2,browser,92.1,friends,24.1,business,152.4,kn,314.4
4,remind,33.1,things,83.4,visit,99.7,hi,105.0,someone,76.3,reset,55.3,web,39.1,watch,15.1,learn,56.8,facebook,270.2
5,hear,30.1,steps,51.9,account,99.4,mark,32.8,things,33.8,email,53.1,photos,18.6,year,14.1,reach,44.1,visit,249.5
6,join,24.0,news,50.1,facebook,82.9,zuckerberg,20.1,learn,32.2,number,49.1,thanks,18.3,report,13.3,change,43.5,report,249.4
7,community,20.4,code,45.1,share,80.1,work,18.0,reset,30.9,phone,35.1,try,12.9,women,11.0,kn,43.3,secure,190.3
8,thank,19.2,report,38.6,form,55.4,wor,17.1,support,23.5,day,35.1,look,9.1,story,11.0,ads,29.1,page,164.2
9,enjoy,16.1,feed,38.1,kn,49.4,birthday,14.7,situation,23.4,account,30.2,recommend,7.9,instagram,9.1,posts,27.0,link,101.1
