,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,rt,369.7,show,44.7,world,42.2,amp,71.1,hair,24.6,family,34.3,rt,56.2,love,85.4,tonight,35.3,thank,159.1
1,gaga,277.3,rt,42.7,everyone,24.3,rt,61.2,fun,23.9,see,25.0,year,24.5,rt,30.5,watch,26.2,fans,61.0
2,lady,205.1,watch,36.5,people,24.0,night,30.8,people,22.4,life,21.7,monsters,17.5,joanne,26.0,tomorrow,25.8,time,37.7
3,today,62.3,dress,17.4,vote,20.8,gaga,27.3,time,21.9,mom,20.1,help,14.5,birthday,22.8,video,22.8,monsters,30.4
4,day,50.5,performance,16.1,day,18.9,heart,22.0,rt,20.4,songs,18.0,dance,13.0,gaga,22.2,friends,20.7,amp,23.6
5,music,50.1,stage,11.4,today,16.5,jazz,21.7,makeup,20.1,countess,17.8,time,11.1,tour,19.9,reasons,20.1,love,16.7
6,amp,36.3,morning,11.1,work,13.9,tony,21.6,man,19.1,hotel,16.5,others,10.9,days,19.1,music,20.1,cover,14.4
7,https,34.7,look,11.0,support,13.9,vegas,20.1,baby,15.0,story,14.9,bradley,10.1,john,18.1,rt,20.0,today,13.2
8,years,33.0,part,9.8,time,11.0,cheek,19.1,thanks,14.9,women,13.7,joanne,9.4,song,17.5,party,18.1,gif,13.1
9,http,24.8,day,9.0,taylor,8.1,girl,17.0,woman,14.8,amp,13.5,rock,9.3,city,16.7,album,15.7,world,12.0
