,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,music,81.2,monsters,79.3,amp,38.6,rt,161.9,rt,118.3,amp,29.3,rt,90.5,show,68.1,time,35.1,thank,113.4
1,rt,57.6,rt,44.5,years,30.4,gaga,135.8,gaga,62.3,thank,27.6,gaga,64.1,rt,57.5,rt,34.2,rt,37.2
2,video,37.0,world,27.7,everyone,24.1,lady,124.6,day,47.3,look,23.9,fans,31.2,gaga,46.1,girl,30.0,life,36.6
3,tonight,24.2,today,22.2,day,20.1,love,62.7,lady,25.3,message,19.7,reasons,29.5,tony,42.0,watch,26.9,today,27.4
4,http,21.6,love,17.9,today,16.9,year,45.6,family,25.2,man,16.1,lady,28.2,co,30.9,baby,18.9,time,18.7
5,amp,21.1,stream,15.1,monster,13.7,fun,22.6,time,24.6,piano,15.4,birthday,25.1,night,29.1,vote,15.6,people,13.4
6,watch,17.1,day,13.6,pain,13.0,days,21.0,https,23.6,share,15.3,amp,21.3,bennett,29.1,countess,14.1,album,12.7
7,people,15.6,amp,12.2,check,11.8,time,19.9,wait,19.8,jazz,15.1,love,19.8,cheek,26.1,night,14.1,fans,12.7
8,et,15.5,gt,11.1,rt,11.2,woman,19.7,way,18.5,vegas,13.9,joanne,17.5,amp,26.0,world,12.5,soul,12.6
9,gaga,12.2,see,11.1,stage,10.9,https,17.6,people,18.0,women,13.7,hotel,17.1,lady,20.4,tonight,12.1,day,12.3
