,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,rt,66.8,opinion,29.3,sanders,95.1,bloomberg,48.2,coronavirus,106.8,york,35.0,news,70.9,day,98.3,coronavirus,119.9,trump,68.2
1,co,20.5,trump,21.8,results,79.1,co,34.6,china,68.2,rt,29.8,biden,51.3,need,60.1,people,58.3,president,65.6
2,joe,13.9,news,19.5,bernie,72.1,michael,25.4,president,54.6,times,29.2,joe,48.4,morning,52.8,ship,33.1,state,42.7
3,campaign,11.4,president,18.3,rt,61.2,rt,21.5,rt,46.2,europe,25.1,president,39.3,year,49.8,cruise,33.1,union,32.1
4,biden,10.3,year,11.6,party,58.4,year,18.5,cases,46.1,tv,19.6,rt,36.4,see,28.0,updates,32.8,co,30.4
5,week,10.0,people,10.4,caucuses,52.1,oscars,18.1,trump,35.2,candidate,18.0,people,29.5,end,27.1,rt,30.7,fact,22.1
6,officials,9.3,minister,10.0,tuesday,50.0,debate,17.5,women,28.8,state,15.4,trump,27.6,places,23.8,outbreak,29.0,address,22.1
7,los,9.0,government,9.2,president,43.7,years,15.8,week,25.8,health,13.3,hampshire,27.0,climate,22.2,americans,26.8,years,16.6
8,angeles,8.9,state,9.1,state,40.5,markets,14.1,york,22.1,night,13.2,coronavirus,24.3,rt,21.3,news,25.6,checks,16.1
9,year,8.4,months,9.0,campaign,35.6,people,13.2,city,21.1,today,12.7,warren,24.0,change,13.6,japan,23.1,election,14.6
