,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,biden,75.1,rt,77.5,coronavirus,222.0,york,57.8,sanders,58.2,president,199.9,coronavirus,76.7,year,54.9,rt,37.8,bloomberg,69.1
1,joe,73.1,updates,41.1,cases,68.9,rt,40.1,bernie,39.9,trump,171.8,health,20.6,rt,38.1,officials,23.1,day,69.0
2,rt,54.6,women,30.4,york,53.7,opinion,36.8,rt,35.4,coronavirus,44.5,china,20.1,see,25.1,people,21.4,morning,54.1
3,states,52.9,coronavirus,20.0,day,50.7,city,27.5,results,34.2,people,41.2,rt,19.6,places,25.0,york,18.8,debate,52.0
4,tuesday,47.2,year,18.9,news,47.7,harvey,26.1,co,26.9,news,35.7,questions,14.1,coronavirus,21.3,state,18.4,need,42.8
5,sanders,44.7,times,12.9,outbreak,46.6,times,25.8,people,25.6,cruise,31.1,minister,14.0,americans,15.6,part,15.1,michael,30.1
6,state,40.7,week,12.8,officials,37.5,weinstein,25.1,party,19.5,administration,29.6,th,13.5,doctors,15.1,border,15.1,europe,23.9
7,news,36.9,world,11.4,number,31.8,news,22.8,coronavirus,17.5,ship,29.4,people,13.0,health,13.1,women,14.9,campaign,23.3
8,primary,36.3,house,10.9,city,30.7,people,19.8,precincts,14.1,rt,28.8,world,12.3,masks,13.1,news,14.0,caucuses,23.1
9,polls,35.5,record,9.8,world,28.0,board,17.9,news,13.9,man,21.8,experts,11.9,care,12.6,turkey,13.1,mike,20.3
