,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,maternity,8.1,co,19.4,gifts,43.6,baby,20.7,party,41.1,kids,24.8,sale,40.4,baby,41.7,day,32.5,kids,51.4
1,game,7.7,gifts,15.3,kids,37.3,pregnancy,14.0,everything,23.0,sale,12.2,deals,32.8,products,26.1,kids,15.6,christmas,30.8
2,baby,6.1,baby,13.1,gift,33.1,check,12.2,birthday,22.1,love,11.3,kids,26.4,kids,17.9,activities,9.1,holiday,22.9
3,consoles,5.1,moms,10.3,ideas,29.4,game,9.5,baby,21.9,kid,9.7,school,23.1,toddlers,17.0,baby,8.5,season,22.4
4,video,5.1,games,8.1,sets,17.1,maternity,9.2,ideas,19.7,day,8.7,halloween,19.1,toys,8.8,needs,8.1,games,15.1
5,experts,5.1,brain,7.1,day,13.0,books,8.1,need,12.9,weather,8.1,costumes,17.1,nursery,8.1,girls,8.1,toys,12.5
6,breast,5.1,kid,6.4,babies,12.8,top,7.1,fun,11.3,bags,8.1,amazon,16.9,sale,6.2,fun,7.5,books,12.0
7,products,5.1,fun,5.9,fun,12.3,summer,6.4,check,10.2,fall,6.1,maternity,16.9,teens,6.1,family,7.0,list,11.2
8,kids,5.0,collection,4.8,family,11.7,line,6.1,toys,9.4,phone,5.1,shop,14.9,holiday,5.9,maternity,6.2,kid,10.7
9,tips,4.1,cyber,4.4,co,11.7,fashion,6.1,plan,9.1,essentials,5.0,disney,13.7,amazon,5.2,toys,6.1,toddler,10.1
