,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,family,19.6,holiday,26.5,baby,22.1,day,44.3,everything,21.6,kids,32.5,sale,39.0,baby,35.0,kids,36.4,kids,13.4
1,maternity,16.8,season,25.0,party,17.2,gifts,41.9,baby,14.1,toddlers,25.1,kids,34.1,products,31.1,ideas,21.4,baby,9.5
2,fun,12.2,toys,17.3,ideas,16.1,kids,20.4,need,11.3,teens,16.1,deals,32.9,kids,31.1,gift,20.1,co,9.1
3,needs,11.1,list,13.6,toys,11.2,games,13.2,deal,6.1,party,14.9,picks,24.5,time,18.9,books,19.9,gifts,9.1
4,style,9.0,christmas,11.3,kid,11.1,activities,13.1,party,6.0,birthday,14.8,amazon,22.8,toddler,10.1,halloween,16.1,game,7.1
5,kids,9.0,kids,8.8,maternity,9.2,family,12.3,co,5.8,babies,13.1,school,22.6,line,8.9,disney,13.6,maternity,6.1
6,check,8.6,pregnancy,8.1,christmas,9.0,co,11.6,kid,5.4,ideas,12.3,cyber,11.6,picks,8.6,gifts,11.3,essentials,5.9
7,baby,8.4,moms,8.1,gift,8.1,fun,10.7,game,5.1,summer,10.1,shop,11.3,tips,7.1,costumes,10.1,child,5.1
8,sets,8.1,movies,8.1,nursery,6.1,minute,10.1,parent,5.0,co,8.9,today,10.0,diaper,7.1,baby,9.5,cute,5.1
9,pajamas,7.1,co,7.6,sale,5.6,baby,9.4,home,5.0,baby,7.3,games,9.7,shoes,7.1,christmas,8.8,stock,5.1
