,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,rt,109.5,man,175.8,time,172.0,goals,182.4,birthday,151.1,rt,333.6,matches,103.3,rt,79.6,goal,461.4,rt,67.2
1,gt,60.1,city,143.3,half,134.8,season,128.1,rt,139.6,team,211.1,time,82.8,way,61.4,mins,240.0,wolves,55.5
2,round,33.7,penalty,49.6,rt,122.7,player,68.1,card,26.1,news,137.1,points,56.5,match,56.5,villa,76.2,palace,37.2
3,time,31.6,chelsea,29.2,day,53.6,rt,33.3,today,19.2,line,64.8,spurs,40.3,winners,25.6,bournemouth,66.1,predictions,28.1
4,wins,28.4,goal,25.9,change,40.5,start,27.5,day,17.0,game,57.6,liverpool,35.1,decade,19.1,aston,66.0,afternoon,21.6
5,bench,18.1,side,23.1,goals,25.8,matches,26.7,everton,14.7,today,55.7,weekend,28.3,years,19.1,brighton,57.5,break,20.0
6,lads,17.1,leicester,21.0,xi,13.7,appearances,24.9,man,14.7,changes,33.9,home,27.4,villa,17.0,watford,55.0,line,17.4
7,saturday,16.1,utd,20.1,stadium,12.8,points,20.9,th,13.1,week,29.1,goal,26.7,boss,15.0,ham,54.4,fixture,17.1
8,football,15.1,manager,17.8,aubameyang,12.5,games,20.1,gabriel,12.1,league,24.3,year,26.6,park,13.9,southampton,52.0,health,16.1
9,victory,14.8,history,17.4,injury,12.2,assists,19.5,jesus,12.1,injury,22.5,action,21.6,bridge,12.1,palace,41.8,alderweireld,12.1
