,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,rt,114.0,rt,51.7,time,126.5,birthday,161.1,goal,349.1,rt,344.5,goals,219.6,rt,140.8,goal,112.0,team,212.1
1,round,35.1,minutes,37.7,matches,93.9,rt,115.5,man,228.4,day,68.9,season,121.9,month,50.1,mins,75.3,news,143.0
2,weekend,31.2,win,19.7,half,63.5,points,67.7,mins,164.8,change,52.0,player,59.5,line,41.5,villa,49.4,rt,128.6
3,palace,25.9,boss,12.1,liverpool,51.5,today,18.9,time,133.6,game,48.6,score,37.1,injury,40.2,bournemouth,47.0,gt,55.1
4,time,22.6,bottom,10.1,watford,35.4,recovery,12.1,city,126.0,line,42.7,matches,35.1,afternoon,35.1,watford,42.6,changes,34.1
5,match,22.3,kick,9.2,wins,28.2,reds,12.0,half,84.7,today,23.3,league,27.0,wolves,18.6,aston,39.6,week,32.0
6,club,20.6,feeling,9.1,action,26.1,end,11.6,spurs,63.1,face,23.0,appearances,26.9,manager,18.5,afc,35.3,predictions,26.1
7,play,18.8,table,9.1,penalty,25.7,burnley,9.5,way,62.7,goal,20.5,match,24.5,clash,15.9,liverpool,31.4,xi,20.2
8,football,18.8,fixtures,9.1,year,23.3,jamie,9.1,southampton,60.8,var,18.4,assists,22.1,player,15.7,th,22.7,start,19.0
9,winners,16.9,stars,8.1,leicester,21.2,match,7.8,palace,58.3,replaces,17.1,goal,20.6,update,15.0,slots,15.1,today,18.9
