,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,years,71.1,tesla,36.0,model,375.2,car,90.2,tesla,37.2,tesla,138.9,model,73.1,superchargers,66.0,future,23.9,model,59.3
1,mode,44.3,rt,33.7,rt,89.2,rt,61.2,rt,32.1,thanks,136.3,drive,62.1,supercharger,54.8,video,23.6,hi,59.1
2,stay,42.1,car,32.8,car,65.1,part,42.1,gas,26.6,rt,52.4,test,44.1,service,43.1,model,23.0,chance,57.1
3,car,32.5,energy,28.3,cars,39.8,revolution,25.1,road,26.2,model,37.7,congrats,35.1,tesla,38.5,yes,22.1,enjoy,51.1
4,gen,26.1,miles,24.8,tesla,28.0,events,16.9,trip,23.4,support,34.6,co,28.3,home,34.4,updates,17.1,sit,49.1
5,iii,25.1,think,21.1,fun,28.0,time,13.9,power,19.6,look,28.5,photo,27.0,rt,33.4,day,16.1,yet,37.1
6,thank,21.8,powerwall,19.1,amp,27.5,company,13.1,hear,17.7,team,23.3,questions,26.1,charge,32.1,tesla,15.2,help,32.7
7,shot,19.1,co,18.1,miles,25.8,right,13.1,world,15.6,cool,16.1,roof,22.9,network,22.1,car,14.3,thanks,30.9
8,tesla,15.7,home,16.8,number,24.1,pm,12.1,view,15.1,miles,13.6,wheel,16.1,model,19.2,hello,13.1,drive,30.7
9,support,13.6,glad,14.1,owners,22.9,locations,12.0,stations,15.1,customers,13.1,motor,16.1,owners,17.3,gigafactory,12.1,please,29.5
