,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,thanks,128.0,model,67.7,model,394.3,drive,110.1,miles,53.8,years,71.1,rt,78.9,energy,45.5,hi,39.1,congrats,45.1
1,thank,61.2,superchargers,52.5,rt,89.0,model,57.7,tesla,51.9,car,57.6,car,63.3,service,42.1,thanks,38.2,rt,29.4
2,support,48.1,road,44.9,tesla,75.8,test,44.1,rt,38.7,chance,57.1,tesla,57.0,tesla,27.8,mode,34.5,yes,28.1
3,look,46.1,tesla,42.5,cars,36.9,car,22.0,model,28.2,sit,49.1,enjoy,51.1,world,25.3,help,33.6,revolution,25.1
4,rt,24.8,supercharger,41.0,range,35.8,rt,21.0,watch,26.1,model,47.6,day,34.8,use,18.9,team,28.4,tesla,22.9
5,info,24.1,owners,38.3,car,32.3,events,20.1,store,19.7,stay,42.1,ride,28.1,powerwall,18.0,dm,25.1,owner,18.9
6,car,20.6,part,35.8,design,23.1,fun,14.0,pm,18.1,yet,37.1,questions,26.1,power,15.7,please,24.1,address,12.1
7,hi,19.9,trip,30.8,amp,22.4,reservations,11.0,glad,17.1,gen,26.1,hear,24.1,home,11.8,tesla,20.9,batteries,10.9
8,tesla,17.2,photo,29.1,owners,21.4,week,10.8,supercharger,13.7,iii,25.1,think,21.1,map,11.1,details,19.1,cars,9.2
9,time,14.5,locations,21.0,co,21.3,co,10.3,pt,13.5,co,18.9,amp,19.6,location,10.7,co,16.9,amp,9.0
