,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights
0,teachers,39.7,school,83.3,student,42.2,rt,141.8,education,90.8,college,49.7,rt,226.1,school,243.6,rt,211.5,students,313.0
1,share,30.5,students,81.6,rt,41.8,students,66.8,rt,80.8,students,37.3,secretary,108.1,rt,119.4,student,74.1,school,136.6
2,lot,25.1,rt,79.4,join,40.6,families,40.8,classroom,31.8,rt,27.7,education,81.0,students,59.5,education,61.6,rt,128.3
3,honor,21.5,time,69.3,today,39.5,school,39.2,world,27.2,dyk,26.8,watch,60.5,today,40.4,loan,52.1,education,74.9
4,country,18.5,yesterday,38.1,month,35.7,work,38.3,skills,23.8,data,19.7,session,51.1,schools,37.0,today,45.9,amp,66.4
5,rt,18.2,education,28.3,tomorrow,34.6,thank,38.2,time,21.9,parents,19.2,school,46.4,districts,32.1,success,41.4,schools,65.8
6,fact,15.1,week,24.5,form,25.6,children,36.3,things,21.1,today,18.8,assistant,40.1,way,26.5,amp,40.0,year,63.6
7,americans,15.1,tour,21.3,pm,25.6,educators,35.1,career,20.7,student,17.7,today,36.3,district,23.0,help,38.1,teachers,56.5
8,th,14.3,congratulations,17.5,aid,25.2,day,34.3,opportunity,19.6,programs,16.9,subcommittee,30.1,safety,23.0,programs,30.1,parents,51.5
9,students,13.8,opportunities,16.6,et,23.1,today,23.3,work,19.0,skills,15.7,morning,29.2,access,21.6,ways,26.7,week,37.1
