id,created_at,text
1242193728498028551,2020-03-23 20:57:18,b'RT @vonderleyen: Ver\xc3\xb6ffentlichen f\xc3\xbcr Mitgliedstaaten heute Leitlinien f\xc3\xbcr die Green Lanes. 4 Ziele f\xc3\xbcr G\xc3\xbcterverkehr auf\xf0\x9f\x87\xaa\xf0\x9f\x87\xbaStra\xc3\x9fen:\n1\xe2\x83\xa3Grenz\xc3\xbcb\xe2\x80\xa6'
1242193658289545220,2020-03-23 20:57:01,"b""RT @vonderleyen: Today we issue guidelines on \xe2\x80\x98green lanes\xe2\x80\x99 to member states. 4 objectives to make real progress on \xf0\x9f\x87\xaa\xf0\x9f\x87\xba's roads:\n1\xe2\x83\xa3Crossing\xe2\x80\xa6"""
1242193640409255937,2020-03-23 20:56:57,b'RT @vonderleyen: Today\xe2\x80\x99s #coronavirus response team focused on the preparation of various meetings taking place this week: \n\xe2\x96\xaa\xef\xb8\x8fHealth\n\xe2\x96\xaa\xef\xb8\x8fHome\xe2\x80\xa6'
1242189919122006016,2020-03-23 20:42:10,b'RT @LienhardRacing: #MiuraMonday\n\n\xc2\xa9 by Wolfango Spaccarelli https://t.co/JGDLaUACW1'
1242189122699223040,2020-03-23 20:39:00,"b""RT @ItaliAuto: #MiuraMonday\n\n1971 #Lamborghini \xf0\x9f\x87\xae\xf0\x9f\x87\xb9 Miura SVJ #Bertone \n\n\xc2\xa9 Sean Smith - RM Sotheby's https://t.co/eX0s7POKep"""
1242061468591366147,2020-03-23 12:11:45,"b""RT @Italia_fra: Entour\xc3\xa9 de collines, au pied des monts Sibillini, le lac Fiastra est un miroir d'eau cristalline qui brille parmi la v\xc3\xa9g\xc3\xa9ta\xe2\x80\xa6"""
1242061407945965569,2020-03-23 12:11:30,b'RT @ItaliAuto: Good Morning \xe2\x98\x80\xef\xb8\x8fWith... 1976 Alfa Romeo Montreal Targa \xf0\x9f\x98\x8d.. Bertone\xf0\x9f\x92\x95\n\n\xc2\xa9 classiccardb\n\n#GoodMorning #MorningMonday #AlfaRomeo #\xe2\x80\xa6'
1242061370088206338,2020-03-23 12:11:21,"b'RT @ScuderiaFerrari: Grazie mille ai nostri #Tifosi, ai Partner e a tutti i Collaboratori. Sentiamo il vostro supporto e vi siamo vicini! T\xe2\x80\xa6'"
1242061318007513089,2020-03-23 12:11:09,"b""RT @VisitGreecegr: Good morning from Plaka, Milos Island. We'd love to see your kids draw this landscape. Put them to the task and then sha\xe2\x80\xa6"""
1241861814528495618,2020-03-22 22:58:23,"b'RT @destiinations: Amalfi coast, Italy https://t.co/3iGyp5LzfA'"
1241859427516514304,2020-03-22 22:48:54,b'@nytimes This shows that closing the borders early can stop spreading the virus'
1241856949605535747,2020-03-22 22:39:04,b'RT @Sebastian023456: La riviera ligure (o conosciuta come la riviera italiana) \xc3\xa8 la parte della costa che va dal confine francese al mar li\xe2\x80\xa6'
1241856527864078344,2020-03-22 22:37:23,"b'RT @vonderleyen: Thank you for nominating me, @DrTedros! #SafeHands challenge accepted!\n\nFollow the @WHO guidelines, wash your hands \xf0\x9f\xa7\xbc \xf0\x9f\x92\xa6and\xe2\x80\xa6'"
1241856471475916801,2020-03-22 22:37:10,b'RT @VisitGreecegr: The Visit Greece team gathered up some thoughts and came down with simple productive ways to deal with your time at HOME\xe2\x80\xa6'
1241855233401241606,2020-03-22 22:32:14,b'RT @Planet_F1: #OnThisDay'
1241855024541638661,2020-03-22 22:31:25,b'RT @_ExoticRides_: https://t.co/cvckuR2wfk'
1241854834631942152,2020-03-22 22:30:39,b'RT @LienhardRacing: 1987 #Lamborghini Countach 5000 QV\n\n\xc2\xa9 by Motorcarclassics https://t.co/RqFZLhs9Ii'
1241854708492492803,2020-03-22 22:30:09,b'RT @LienhardRacing: by Marcel Lech Photography\n\nFerrari Enzo \xe2\x99\xa5\xef\xb8\x8f https://t.co/Kpw6XTmnky'
1241854254232604675,2020-03-22 22:28:21,b'RT @ren_119: https://t.co/VosYPqzpSW'
1241854051739992064,2020-03-22 22:27:33,"b'RT @guyverhofstadt: Based on this German-French experience, the @EU_Commission should immediately set up a similar cross - border hospital\xe2\x80\xa6'"
1241735543207141377,2020-03-22 14:36:38,b'RT @ter_lotte: Have a lovely evening\xf0\x9f\x92\x95\nStay healty\xf0\x9f\x98\x98\nItaly. https://t.co/3cZZ38H0Mt'
1241735408150556673,2020-03-22 14:36:06,"b'RT @F1: Michael Schumacher finished on the podium for the first time in #F1, #OnThisDay in 1992\n\nIt was the first of 155 over the following\xe2\x80\xa6'"
1241735193339277313,2020-03-22 14:35:15,b'Have a nice day @ter_lotte https://t.co/A60abpB6DD'
1241735063521366016,2020-03-22 14:34:44,b'RT @VisitGreecegr: Good morning. \nIn all things of nature there is something of the marvelous. Aristotle. \n#StaySafe #VisitGreece #Thessaly\xe2\x80\xa6'
1241734927969894401,2020-03-22 14:34:11,"b""RT @guyverhofstadt: The virus doesn't recognise borders, our response shouldn't either.\n\nThis is the solidarity &amp; coordination we need to g\xe2\x80\xa6"""
1241734860294754304,2020-03-22 14:33:55,b'RT @Ferrari: This is #Ferrari. Today more than ever. https://t.co/6auuFiIOOj'
1241399649237434369,2020-03-21 16:21:55,"b""RT @ParisAMDParis: Colette Raker\nPlace du Tertre.  Montmartre\nParis d'avant https://t.co/Pji4iqvT9r"""
1241399608737239043,2020-03-21 16:21:45,b'RT @cuadrosdecarlos: @ItaliAuto @FAFBulldog @LienhardRacing @vividcloudofwat @orsoladelzenero @exitspeed01 @junjokerando @Rinoire @MauroBel\xe2\x80\xa6'
1241399409188966400,2020-03-21 16:20:57,b'RT @vonderleyen: Viele Menschen stecken immer noch an \xf0\x9f\x87\xaa\xf0\x9f\x87\xbaGrenzen fest. \xf0\x9f\x9a\x9amit Medizin+anderen G\xc3\xbctern stauen sich. An einigen Grenzen bessert s\xe2\x80\xa6'
1241399365396242434,2020-03-21 16:20:47,b'RT @FerrariRaces: The #FerrariRacingDays. Made to let you channel your inner Prancing Horse. \xf0\x9f\x94\xa5\n \n#F1Clienti #FerrariCorseClienti https://t.\xe2\x80\xa6'
1241399255358738432,2020-03-21 16:20:21,b'RT @vonderleyen: De nombreux Europ\xc3\xa9ens ont encore du mal \xc3\xa0 rentrer chez eux. Des  \xf0\x9f\x9a\x9atransportant des m\xc3\xa9dicaments et d\xe2\x80\x99autres biens sont bloq\xe2\x80\xa6'
1241399150081716227,2020-03-21 16:19:56,b'RT @VisitGreecegr: Do you like culture? This is the best time to take a tour of the Byzantine and Christian Museum in Athens. #VisitGreece\xe2\x80\xa6'
1241399122038525952,2020-03-21 16:19:49,"b""RT @vonderleyen: Many Europeans are still unable to travel back home. \xf0\x9f\x9a\x9a carrying medicine and other goods are blocked. There's already good\xe2\x80\xa6"""
1241348335061143557,2020-03-21 12:58:00,"b""RT @LienhardRacing: #AlfaLove\xe2\x9d\xa3\xef\xb8\x8f\n1959-1966 #Alfa Romeo Giulia Sprint Speciale 1600\nOne of just 1'400 cars built\nDesigner Franco Scaglione at\xe2\x80\xa6"""
1241347973491167233,2020-03-21 12:56:34,b'RT @Princes05808656: Ich w\xc3\xbcnsche euch allen meine Twitter-Freunde ein ganz sch\xc3\xb6nes Wochenende trotz der fatalen Lage . Bleibt alle gesund u\xe2\x80\xa6'
1241347383444803586,2020-03-21 12:54:13,b'RT @AngelMelodie2: @Christopherkn26 @19Edg91 @HA11NNH @Cosito1Horacio @GordonMercedes9 @Aventurero64 @oliveri_pablo @Rinoire @Lamboholic1 @\xe2\x80\xa6'
1241347323197829120,2020-03-21 12:53:59,b'RT @MaranelloSales: #CarOfTheWeek - 2015 Ferrari 458 Speciale Aperta | Bianco Italia Metallic with Nero Alcantara Interior | Plenty of Exte\xe2\x80\xa6'
1241347131119742976,2020-03-21 12:53:13,b'@ren_119 Thanks @ren_119 for sharing this lovely picture at this difficult moments'
