id,created_at,text
1242136239362334721,2020-03-23 17:08:51,b'RT @KING5Seattle: #BREAKING: Boeing to temporarily suspend Puget Sound production due to #coronavirus https://t.co/htDT3uI3It'
1241515247132758016,2020-03-22 00:01:15,b'RT @jockowillink: Listen to the latest @tferriss 20 minute podcast/PSA. It has great information on how to help the medical professionals w\xe2\x80\xa6'
1241082077996396546,2020-03-20 19:20:00,b'RT @ZeemanJoshua: Me when I finally get to see my barber again in June https://t.co/UcnqBn3ZJh'
1240457139698556928,2020-03-19 01:56:43,b'RT @carlymaybliss: A powerful message \xf0\x9f\xa6\xa0 #ActuallyStayHome https://t.co/ZChOojWRy6'
1240449131748814850,2020-03-19 01:24:54,"b""@acloudguru It gives me something to do since I won't be leaving home anytime soon."""
1239996797432385537,2020-03-17 19:27:29,b'RT @RexChapman: Tom Brady telling Julian Edelman he\xe2\x80\x99s leaving.\n\nI\xe2\x80\x99m dead...\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\xad\xf0\x9f\x92\x80\xf0\x9f\x92\x80\nhttps://t.co/uXiVndg2pZ'
1239704656189612032,2020-03-17 00:06:37,b'@ChrisConner @twostraws I feel the same way about restaurants that can\xe2\x80\x99t have customers dine in .'
1239686761611067393,2020-03-16 22:55:30,"b'RT @dailystoic: Remember: You Don\xe2\x80\x99t Control What Happens, You Control How You Respond\n\nSo do your part. Put your study to practice and insp\xe2\x80\xa6'"
1239046417466843137,2020-03-15 04:31:00,b'RT @KevinLevin: Ask/Require your students to keep a daily journal during the next few months. Their children will be reading about this mom\xe2\x80\xa6'
1239020430343548930,2020-03-15 02:47:45,"b'@kaydacode Lots of coding and reading for me, I already work remote full time lol.'"
1238258323662737412,2020-03-13 00:19:24,"b'RT @BarackObama: If you\xe2\x80\x99re wondering whether it\xe2\x80\x99s an overreaction to cancel large gatherings and public events (and I love basketball), her\xe2\x80\xa6'"
1238235693274394624,2020-03-12 22:49:29,b'@GregoryMcKeown Lots of reading and coding is what I plan on doing lol.'
1238234826903179264,2020-03-12 22:46:02,b'@michaelcodes7 Are you in WA state?'
1223788192203034624,2020-02-02 02:00:16,b'@DomHarris11 https://t.co/Gcz9WAzemD'
1223787989756547073,2020-02-02 01:59:28,b'@ProFootballHOF @CanesFootball @DomHarris11 https://t.co/Gcz9WAzemD'
1222027124464242688,2020-01-28 05:22:25,"b'RT @shah_ali1: Bill Gates at Dick\xe2\x80\x99s Burgers, Seattle, Washington waiting in line to place his order.  When you\xe2\x80\x99re worth $95 billion, casual\xe2\x80\xa6'"
1220805407356022785,2020-01-24 20:27:45,b'@hell_let_loose Excited to finally play this game in a few days. Just had a new pc built and it should be arriving next week.'
1220734276120875013,2020-01-24 15:45:06,b'RT @NeilPasricha: The average person checks their phone 150 times a day.\n\nUnplug to recharge.'
1219062165396586496,2020-01-20 01:00:43,b'@MaioccoNBCS I\xe2\x80\x99m sure the critics will say \xe2\x80\x9cJimmy didn\xe2\x80\x99t throw enough\xe2\x80\x9d'
1219036069347225601,2020-01-19 23:17:02,b'RT @akashanav: For every #49ers\xe2\x80\x99 fan that\xe2\x80\x99s sat through:\n\n- 5-11 with Jim Tomsula in 2015\n- 2-14 with Chip Kelly in 2016\n- Brian Hoyer and\xe2\x80\xa6'
1217822918337421312,2020-01-16 14:56:24,"b'@DonnyWals Caught the Apple bug recently when I purchased my first MacBook early last year, thought about doing Web\xe2\x80\xa6 https://t.co/3IXQDdBwwF'"
1216503062031765504,2020-01-12 23:31:46,b'@TheSmile206 Saw you on tv'
1216295148490915841,2020-01-12 09:45:35,b'@TonyBlackTV They still haven\xe2\x80\x99t apologized for the mistake....'
1216132889818959872,2020-01-11 23:00:50,"b""@DrMcBlueBerry @TAXGUY09 @MaioccoNBCS @jenniferleechan Goodwin, they'll probably give Petis one more season. Deebo/\xe2\x80\xa6 https://t.co/b7q5S0CoIW"""
1216130356094521344,2020-01-11 22:50:46,b'@Callen27G @MaioccoNBCS Wrong guy...'
1216125195083108352,2020-01-11 22:30:15,b'@BDPeacock Did Jimmy pancake someone on that drive?'
1216080519571525632,2020-01-11 19:32:44,"b'@codeine_coding @WuTangClan Hip Hop instrumentals mostly, when I become more proficient ill change it up.'"
1215678744494366720,2020-01-10 16:56:13,"b'@TimIsenman @1917 Yeah, I saw The Grudge last week with my wife and it was horrible lol'"
1215668575043588096,2020-01-10 16:15:48,b'Excited to watch @1917 tonight!'
1215356225614823429,2020-01-09 19:34:39,"b'@Flexicoder I stand all day now lol, my normal 9-5 job is remote so it definitely helps. Just need to organize the\xe2\x80\xa6 https://t.co/Zopv6qgfyL'"
1215347514418663424,2020-01-09 19:00:02,b'@Flexicoder Which one is that? I just got the Jarvis desk a few weeks back.'
1214703182720290817,2020-01-08 00:19:41,b'RT @ktaehyu33833209: Everyone that was making memes now realising this shit is not a joke. #IranvsUSA https://t.co/DkoKB9RoIe'
1214535464578736128,2020-01-07 13:13:14,b'@kelhutch17 I just got mine two weeks ago.'
1214419052757577728,2020-01-07 05:30:39,"b'RT @Toyota: Introducing Toyota Woven City at #CES2020! The town of the future... where people live, work and play. Bringing our vision of #\xe2\x80\xa6'"
1214410590979887104,2020-01-07 04:57:02,b'@DraytonWilliams Upgrading?'
1213674666314760193,2020-01-05 04:12:44,"b""@49ersfangirl They're mortal"""
1212961338407784449,2020-01-03 04:58:13,b'@DraytonWilliams Kicking off 2020 with a bang literally'
1212766399656972288,2020-01-02 16:03:36,"b""@TheMarceloLewin I'm kinda in the same position, as much as I love iOS development, I know it will be easier for me\xe2\x80\xa6 https://t.co/jjMx4vMOig"""
1212178581985492992,2020-01-01 01:07:49,b'@codeine_coding Which Brand?'
1211489821366972416,2019-12-30 03:30:56,b'@49ersfangirl They need one more score'
