id,created_at,text
1242074688341377024,2020-03-23 13:04:16,b'@MAP_Information \xd9\x85\xd8\xa7 \xd9\x87\xd9\x8a \xd9\x87\xd8\xb0\xd9\x87 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xad\xd9\x83\xd8\xa7\xd9\x85\xd8\x9f'
1241661663251763200,2020-03-22 09:43:04,b'@Razer I\xe2\x80\x99ll be playing League of legends'
1241661609254191106,2020-03-22 09:42:51,b'RT @Razer: Ill equipped for social distancing? How about we fix you up\xe2\x80\x93join our giveaway to win this care package! Here\xe2\x80\x99s what you need to\xe2\x80\xa6'
1241388477951942656,2020-03-21 15:37:31,b'RT @EzKhaliid: https://t.co/G0gGqYNFVH'
1241117348620374016,2020-03-20 21:40:09,b'@Miha77320556 @xiihjriix @Ministere_Sante @MehdiNajim59 \xd8\xb1\xd8\xa7\xd9\x87 \xd9\x88\xd8\xa7\xd9\x82\xd9\x8a\xd9\x84\xd8\xa7 \xd9\x88\xd8\xb5\xd9\x84\xd8\xa7\xd8\xaa \xd8\xaa\xd8\xa7\xd8\xad\xd9\x85\xd8\xa7 \xd9\x84\xd8\xaf\xd8\xa7\xd9\x83 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xaf\xd8\xaf\xd8\x8c \xd8\xad\xd9\x8a\xd8\xaa \xd9\x85\xd8\xa7\xd8\xb4\xd9\x8a \xd9\x83\xd9\x88\xd9\x84\xd8\xb4\xd9\x8a \xd9\x83\xd8\xa7\xd9\x8a\xd8\xaf\xd9\x8a\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xaa\xd8\xad\xd8\xa7\xd9\x84\xd9\x8a\xd9\x84'
1241055113449521156,2020-03-20 17:32:51,b'@GRonaldita @YBelhaissi \xd9\x8a\xd8\xa7 \xd8\xb1\xd8\xa8\xd9\x8a \xd8\xa2\xd9\x85\xd9\x8a\xd9\x86 \xd9\x85\xd8\xa7\xd8\xaa\xd8\xae\xd9\x84\xd9\x8a\xd9\x87\xd8\xa7\xd8\xb4 \xd8\xaa\xd8\xae\xd8\xb1\xd8\xac \xd9\x88 \xd8\xaa\xd8\xa7\xd9\x85\xd8\xaa\xd9\x88\xd9\x85\xd8\xa7 \xd9\x84\xd8\xa7\xd8\xaa\xd8\xb5\xd8\xae\xd8\xb1\xd8\xaa\xd9\x88 \xd9\x81\xd8\xa7\xd8\xb4 \xd8\xaa\xd8\xac\xd9\x8a\xd9\x88 \xd8\xad\xd9\x8a\xd8\xaf\xd9\x88 \xd8\xa7\xd9\x8a \xd8\xad\xd8\xa7\xd8\xac\xd8\xa9 \xd9\x82\xd8\xb3\xd8\xaa\xd9\x88\xd9\x87\xd8\xa7\xd9\x8b'
1240977412080513026,2020-03-20 12:24:05,b'Dear ministry you only give details when it\xe2\x80\x99s about an old man.  We want information about people who die not just\xe2\x80\xa6 https://t.co/lcSlJSpxRA'
1240255239581847552,2020-03-18 12:34:26,b'RT @discordapp: welcome educators new to Discord \xf0\x9f\x91\x8b\n\nyou can now create your own pre-organized classroom space with one single click.\n\nwe wr\xe2\x80\xa6'
1239708478438019078,2020-03-17 00:21:48,b'@Ministere_Sante @Elotmanisaad https://t.co/yEWGhkcUiO'
1239151920771629056,2020-03-15 11:30:14,"b""RT @liawaifu: It's starting to male me very anxious to go to sleep and wake up to my feed full of coronavirus memes/news and everything :/"""
1238603529687793665,2020-03-13 23:11:08,"b""RT @liawaifu: We were all excited about 2020 being OUR year...\nNice joke haha let's go next \xf0\x9f\x91\x89"""
1236738439732695043,2020-03-08 19:39:56,b'Maybe tomorrow thow! \xf0\x9f\x98\x8c https://t.co/hiTBOJxHbP'
1236464572728512512,2020-03-08 01:31:41,b'@Nightbloo \xf0\x9f\x98\x82 hilarious'
1236464316917985281,2020-03-08 01:30:40,b'RT @SJimons: The feeling when someone three times your age speeds past you as you pedal up a hill... and then you realise they have an engi\xe2\x80\xa6'
1236264152412413952,2020-03-07 12:15:17,b'RT @SkinSpotlights: Watch out https://t.co/aNfVsyKBwt'
1236263020696932353,2020-03-07 12:10:47,b'@SkinSpotlights Who is that champ'
1235164349435711488,2020-03-04 11:25:03,b'Damn true! https://t.co/QXp9rQLuSa'
1235117433565908992,2020-03-04 08:18:38,b'RT @MAP_Information: #MapInfographie\n\n\xd8\xaa\xd8\xb3\xd8\xac\xd9\x8a\xd9\x84 \xd8\xa3\xd9\x88\xd9\x84 \xd8\xad\xd8\xa7\xd9\x84\xd8\xa9 \xd8\xa5\xd8\xb5\xd8\xa7\xd8\xa8\xd8\xa9 \xd8\xa8\xd9\x81\xd9\x8a\xd8\xb1\xd9\x88\xd8\xb3 \xd9\x83\xd9\x88\xd8\xb1\xd9\x88\xd9\x86\xd8\xa7 \xd8\xa8\xd8\xa7\xd9\x84\xd9\x85\xd8\xba\xd8\xb1\xd8\xa8 .. \xd9\x87\xd8\xb0\xd9\x87 \xd8\xb7\xd8\xb1\xd9\x82 \xd8\xa7\xd9\x84\xd9\x88\xd9\x82\xd8\xa7\xd9\x8a\xd8\xa9 \xd9\x85\xd9\x86\xd9\x87\n\n#\xd9\x83\xd9\x88\xd8\xb1\xd9\x88\xd9\x86\xd8\xa7_\xd9\x81\xd9\x8a\xd8\xb1\xd9\x88\xd8\xb3 https://t.co/x5Fb5DA\xe2\x80\xa6'
