id,created_at,text
1242086161759252481,2020-03-23 13:49:52,"b'@BernieSanders Doesn\xe2\x80\x99t matter...if it were $2k, Bernie would ask for $4k \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f Criticism for the sake of criticism.'"
1241721488841019393,2020-03-22 13:40:47,b'@godzillo_ @BernieSanders You have a basic human right to earn money.'
1241012294777286656,2020-03-20 14:42:42,b'@MattMoscona How about a Simone Augustus and Shaq match up in the second round?'
1239761733293654017,2020-03-17 03:53:25,b'RT @mblank50: Sandlot 2020! Played 12 innings! https://t.co/iQTbnNrGN9'
1238160392934830082,2020-03-12 17:50:16,"b""RT @MattMoscona: Wash your hands.\n\nCover your sneezes and coughs.\n\nIf you're sick, stay home.\n\nSame behaviors we should practice at all tim\xe2\x80\xa6"""
1237829436470448135,2020-03-11 19:55:10,b'@chadn63324282 https://t.co/F7oa4leThK'
1237767698962165761,2020-03-11 15:49:50,b'@almostbrenda It depends which resort you are going to \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x98\x81'
1236775689816285188,2020-03-08 22:07:57,b'RT @Doctor_Vamp: @Breaking911 https://t.co/Qxsh2WALFZ'
1236671121686233088,2020-03-08 15:12:26,b'@mblank50 The hitter wasn\xe2\x80\x99t too happy about that!  Way to deal JB!'
1236290129838432257,2020-03-07 13:58:30,"b'RT @KTBS_Sports: Final: Benton 62, Ouachita Parish 48. The Lady Tigers win the 5A championship. @BentonTigersLA https://t.co/EG5xDbgmos'"
1236010838613536768,2020-03-06 19:28:42,b'Twitter gold! https://t.co/p3zSDS2TvX'
1235978790733590529,2020-03-06 17:21:21,"b'RT @BaseballQuotes1: I think the biggest thing is just focusing on the day-to-day, your routine, not getting caught up in the future or the\xe2\x80\xa6'"
1235906773648842752,2020-03-06 12:35:11,b'First High School triple @DaigreZachary Class of 2023! #MarucciBaseball #TexasHighSchoolBaseball #FutureProspect https://t.co/1rDTOToi4F'
1235905275812593664,2020-03-06 12:29:14,b'Wall Banger @DaigreJaxon Class of 2021!  #PremierBaseballofTexas #TexasHighSchoolBaseball #Uncommitted https://t.co/5Lk52cnEP2'
1235538149465563137,2020-03-05 12:10:24,"b'RT @PSUGASkip: HS Baseball Pitchers...I don\xe2\x80\x99t care if you throw 80 or 88, doesn\xe2\x80\x99t matter. Tell me you are tough, you will work, you will pa\xe2\x80\xa6'"
1235533674776612864,2020-03-05 11:52:37,b'RT @Bpquigs: STRAIGHT STEAL OF HOME!! @EBJ42  INCREDIBLE 3-0 chants https://t.co/ANc6GlZ9z3'
1233796360102645761,2020-02-29 16:49:09,"b'RT @BleacherReport: Mahmoud Abdul-Rauf trolling everyone \xf0\x9f\xa4\xa3\n\n(via ahmibrahimm, kothawalaa, shaikh.andbake/IG) https://t.co/rTxIGp6O0y'"
1233794555486580737,2020-02-29 16:41:59,b'@MaxPreps @coachdanmoore What was the final score?'
1233767353592225794,2020-02-29 14:53:54,b'@DaigreJaxon @PaulineDaigre @DaigreZachary Birthday Base Hit #Classof2021 #uncommitted https://t.co/KM2gp8q014'
1233354844456542208,2020-02-28 11:34:44,"b'@CFBONFOX Ran a 4.60 in 1990...I\xe2\x80\x99m betting on a 6.9 today, if I don\xe2\x80\x99t pull a hammy'"
1233353776477691913,2020-02-28 11:30:29,b'RT @mblank50: Magnolia west Freshman win Opener 11-2 Jackson Blank 3.1 innings pitched 8k\xe2\x80\x99s. 2-3 with 3 RBI\xe2\x80\x99s https://t.co/87MfLRz5S1'
1231583121314926593,2020-02-23 14:14:32,b'@todd_hable \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'
1231009421372907520,2020-02-22 00:14:51,"b'RT @charliekirk11: Facts:\n\nBernie wants a $15 minimum wage\n\nThat would mean a gross salary of $31,200 for a 40 hr. work week\n\nBut he wants\xe2\x80\xa6'"
1231007024697298945,2020-02-22 00:05:20,b'@kajunjon 23'
1230202136207745025,2020-02-19 18:46:59,b'@mblank50 Nice bender!'
1229511919066808320,2020-02-17 21:04:19,b'RT @SACSTomball: Another wonderful day spent with colleagues w/i the @archgh as we recenter our spiritual prayer for the many beautiful stu\xe2\x80\xa6'
1229250663017861120,2020-02-17 03:46:11,b'@DaigreJaxon @DaigreZachary https://t.co/hRkZBi59ne'
1229175720250834946,2020-02-16 22:48:23,b'RT @HardcoreCFB: Which team would have the best chance to beat the 2001 Miami Hurricanes?\n\n#CollegeFootball #HardcoreCFB #Miami #Nebraska #\xe2\x80\xa6'
1228817981804892161,2020-02-15 23:06:51,b'RT @BearkatsBSB: Sophomore lefty Matt Dillard gets the ball today for the Kats. \n\nLHP Ty Madrigal going for the Gaels. #EatEmUpKats #NCAABS\xe2\x80\xa6'
1228660602748489728,2020-02-15 12:41:29,b'RT @AYSSPORTS: I would run through a brick wall for this man! Who is with me?! #LSU #AYS https://t.co/T15qQYHcpK'
1227620175672938498,2020-02-12 15:47:12,b'RT @graham122830: Had a great time talking baseball with @BaseballAwaken for this Podcast!!!'
1226925743206227970,2020-02-10 17:47:47,b'RT @JayDee_BB: LSU\xe2\x80\x99s 2020 Offense:\n\n- QB Myles Brennan (4\xe2\xad\x90\xef\xb8\x8f)\n- WR Ja\xe2\x80\x99Marr Chase (5\xe2\xad\x90\xef\xb8\x8f)\n- WR Terrace Marshall (5\xe2\xad\x90\xef\xb8\x8f)\n- WR Trey Palmer (5\xe2\xad\x90\xef\xb8\x8f)\n-\xe2\x80\xa6'
1226857784274227200,2020-02-10 13:17:44,b'@cfbquotes Come on guys...UCF was out there for this exact debate and response.  Nice move CFB Quotes.'
1225595045639839745,2020-02-07 01:40:03,b'RT @rahm3sh: It was at that moment she knew she messed up \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x92\x80 https://t.co/4FYt8QYoZz'
1225553306166218752,2020-02-06 22:54:12,b'@cajun4trump I love the parents big picture perspective.  On point'
