id,created_at,text
1240470160521285635,2020-03-19 02:48:27,b'RT @CWBatwoman: Becoming the hero Gotham needs. Stream every episode of #Batwoman so far free only on The CW: https://t.co/EyTwax3HDL https\xe2\x80\xa6'
1237875569888550912,2020-03-11 22:58:29,b'RT @StephenAmell: Please do not RT this.'
1237743598822662145,2020-03-11 14:14:04,b'RT @CW_TheFlash: Kid Flash is back in Central City. New episode of #TheFlash starts NOW! https://t.co/bRekyNkbke'
1235018886199881729,2020-03-04 01:47:02,b'RT @TheDCUniverse: The Boy Wonder\xe2\x80\x99s still going strong after 80 years. https://t.co/09rOrE1hPe https://t.co/PF0ctrm4NZ'
1235018372762554368,2020-03-04 01:45:00,b'RT @supplierofmemes: Cursed Video https://t.co/mGqMCVnL6G'
1235017958294007808,2020-03-04 01:43:21,"b'RT @ACastMex: It\xe2\x80\x99s 2008 I\xe2\x80\x99m 3, I wake up and I eat cereal :) https://t.co/eydUujyypa'"
1234530487848312832,2020-03-02 17:26:19,"b""RT @StephenAmell: I'm proud of Cody. I'm proud of Brandi. Proud of Matt and Mrs. Matt and Nick and Kenny and Chris and Moxley and Dustin an\xe2\x80\xa6"""
1232511816636469254,2020-02-26 03:44:50,b'RT @Pagmyst: Preview Clip for tonights episode of #TheFlash! A NEW Crisis Change is confirmed! A Former Friend is now a Villain...and also\xe2\x80\xa6'
1231786636213735425,2020-02-24 03:43:14,b'RT @heneidocof: @JimenezChilly I think someone is just mad that he came out before you did and confirmed it all. The man looks genuinely ha\xe2\x80\xa6'
1222545088326356993,2020-01-29 15:40:37,b'RT @ARROWwriters: \xe2\x80\x9cI was his brother....... and Oliver Queen.... was mine.\xe2\x80\x9d'
1222332510723624960,2020-01-29 01:35:55,b'RT @StephenAmell: Today\xe2\x80\x99s bittersweet. Arrow meant so much to me for so many years. It was a transformative journey... but it was time to l\xe2\x80\xa6'
1222187447909584896,2020-01-28 15:59:29,b'RT @MrBeastYT: Random Person - I love your tik toks\n\nMe - *Looks around confused\n\nRandom Person - *Keeps looking at me\n\nMe - I guess this i\xe2\x80\xa6'
1220719704827924480,2020-01-24 14:47:12,b'@RaidRPG  I lost so much weight because all I did was sit at home and play Raid Shadow legend. As soon as I hit the\xe2\x80\xa6 https://t.co/rGLEtA2gyD'
1220379248424366080,2020-01-23 16:14:21,b'RT @mguggenheim: Boom. Thanks to all who watched!'
1218801099735478272,2020-01-19 07:43:21,b'RT @EddyTZenLee: I\xe2\x80\x99m glad I was able to voice Gladion and be Ash\xe2\x80\x99s Rival for this region and this momentous battle! Way to go Champion!! @s\xe2\x80\xa6'
1218801061810573312,2020-01-19 07:43:12,b'RT @MastersShitpost: Giveaway ends tomorrow!'
1218776960853299200,2020-01-19 06:07:25,b'Oof yh https://t.co/WFIZsvVkGR'
1217283799316422656,2020-01-15 03:14:08,b'RT @StephenAmell: 8 seasons and an entire Universe seems like a pretty good time to step away. \n\nWhat a ride.'
1216885655004860416,2020-01-14 00:52:03,b'#NintendoSwitch https://t.co/wN08I8J6SR'
1216885216108638208,2020-01-14 00:50:18,b'#NintendoSwitch https://t.co/l4l28I6nSQ'
1216884877355712512,2020-01-14 00:48:58,b'#NintendoSwitch https://t.co/Fw2NuAQX1t'
1216883454098305025,2020-01-14 00:43:18,b'#NintendoSwitch https://t.co/4j0Nc4ubQW'
1216882613278797824,2020-01-14 00:39:58,b'#NintendoSwitch https://t.co/pXZniaqouy'
1216881585267494912,2020-01-14 00:35:53,b'#NintendoSwitch https://t.co/5Xrpc4ACkC'
1215993163636248581,2020-01-11 13:45:36,b'@KawainessStore Yeah of course!!'
1215847629541654529,2020-01-11 04:07:18,b'Pretty Epic!!!! #NintendoSwitch https://t.co/66whxnV6od'
1215117147556413447,2020-01-09 03:44:38,b'RT @madjackrabbit: this game gear ad is the funniest shit ever https://t.co/PnxHgkNKsA'
1214902408016547840,2020-01-08 13:31:20,b'RT @DiscordReturns: Some of my best work yet https://t.co/yqVkUZw9Im'
1214902062749822977,2020-01-08 13:29:58,b'RT @ThatsADarkHorse: Everyone: The N64 controller is stupid! What a horrible design!\n\nMe: https://t.co/CdBpn1xUJe'
1214601303701250048,2020-01-07 17:34:51,"b'@MastersShitpost I can automatically win, it\xe2\x80\x99s pretty easy but the story in each game does compel me'"
1214600932715114499,2020-01-07 17:33:23,b'RT @MastersShitpost: 100 FOLLOWER GIVEAWAY \xf0\x9f\x8e\x89 \n\nTo celebrate 100 followers I will be giving out a $10 eshop gift card! All you have to do is\xe2\x80\xa6'
1214102079012249600,2020-01-06 08:31:07,b'RT @StephenAmell: Ready for everyone to say goodbye to Arrow. Ready to shoot Heels. Ready for a Code 8 sequel. Ready. https://t.co/uWbNLv6D\xe2\x80\xa6'
1214093253974188032,2020-01-06 07:56:03,b'#NintendoSwitch https://t.co/iXbRpBekO2'
1213706442471067653,2020-01-05 06:19:00,b'Oof welp https://t.co/yVOgUzyGYP'
1213336848967204864,2020-01-04 05:50:22,b'Epic #SuperMarioOdyssey #NintendoSwitch https://t.co/xbGc5dGyLe'
1212912882989580291,2020-01-03 01:45:40,b'RT @MzKatieCassidy: On a scale of 1-10 how much do you guys miss watching me on your screen?\xf0\x9f\x91\x87\xf0\x9f\x8f\xbc #Arrow https://t.co/PEd575RC7D'
1212199253809885184,2020-01-01 02:29:58,b'#Naruto #NintendoSwitch https://t.co/50LIwcC5yK'
1212192058091270144,2020-01-01 02:01:22,b'Yessir #BreathoftheWild #NintendoSwitch https://t.co/7v0GROYGTm'
1212156799337533442,2019-12-31 23:41:16,b'#NewProfilePic https://t.co/1JSDngfcvz'
