id,created_at,text
1242124584456835073,2020-03-23 16:22:33,b'@OnePlus_IN \xf0\x9f\x92\xa9'
1242124051977400321,2020-03-23 16:20:26,b'RT @WHO: Media briefing on #COVID19 with @DrTedros. #coronavirus https://t.co/VkAu8osSLn'
1242099077505941506,2020-03-23 14:41:11,b'RT @DrTedros: There are several measures you can take to protect yourself from #COVID19. One of the most important ones is regular &amp; safe h\xe2\x80\xa6'
1242099030022164480,2020-03-23 14:41:00,"b'RT @DrTedros: Solidarity among nations, solidarity among #healthworkers, solidarity among all of us is the only way to stop this #COVID19 p\xe2\x80\xa6'"
1242098093929062400,2020-03-23 14:37:17,"b'RT @DrBeniRusani: Is #COVID\xe3\x83\xbc19 airborne?\n\nWatch. Clear voice &amp; explanation.\n\nNow, this is what we call science. https://t.co/JFLOS9vckD'"
1242097235623477249,2020-03-23 14:33:52,b'RT @CMOMaharashtra: CM Uddhav Balasaheb Thackeray addressing the State https://t.co/oSgBuNv9Ex'
1242095788768948225,2020-03-23 14:28:07,"b'RT @IAF_MCC: A small body of determined spirits, fired by an unquenchable faith in their Mission, can alter the course of History!!!\n\nFight\xe2\x80\xa6'"
1242093967987986433,2020-03-23 14:20:53,"b'RT @the_hindu: Just in | #Uber suspends its operations in Mumbai, Pune and Nagpur until further notice. Reports @ajeetmahale \n#CoronavirusO\xe2\x80\xa6'"
1242093492400087041,2020-03-23 14:19:00,"b'RT @MumbaiPolice: In order to avert the spread of #Coronavirus through gathering of public, prohibitory order has been issued restricting a\xe2\x80\xa6'"
1242081510296973319,2020-03-23 13:31:23,b'RT @the_hindu: The patient had a travel history to Italy and was tested positive for COVID-19 on March 21.\n#CoronavirusOutbreak \nhttps://t.\xe2\x80\xa6'
1242081174475788288,2020-03-23 13:30:03,b'RT @narendramodi: One thing I specially requested all media houses to do is to keep reiterating the importance of social distancing and bei\xe2\x80\xa6'
1242016985375883264,2020-03-23 09:14:59,b'Rest in peace or Rest in home . CHOICE is yours!#COVID\xe3\x83\xbc19 #StayHomeSaveLives #coronavirus #coronavirus'
1242009121924104192,2020-03-23 08:43:44,"b""Don't bang too hard. Dogs can't resist the sound.#dogsofquarantine #dogsoftwitter #dogslifeindanger #aninalsindanger"""
