id,created_at,text
1241858348355633153,2020-03-22 22:44:37,"b'RT @OfficialChip: \xe2\x80\x98SKEPTA , CHIP &amp; YOUNG ADZ - INSOMNIA\xe2\x80\x99 (THE GROUNDBREAKING ALBUM) PRE ORDER NOW https://t.co/F6Vn9Dun5Q OUT 27.03.20 @SKE\xe2\x80\xa6'"
1163444596069871616,2019-08-19 13:36:22,b'@zaygotthewater thanks bro!'
1163167869175304193,2019-08-18 19:16:45,b'@VOBalogun @GRMDAILY Thanks man! Yeah definitely!'
1163166162915667970,2019-08-18 19:09:58,b'@VOBalogun @GRMDAILY Love!'
1163164337097400320,2019-08-18 19:02:43,b'@FrantikAce Love famm'
1163122450768572418,2019-08-18 16:16:16,b'@Jeremie_Mo thanks man'
1161345075328290816,2019-08-13 18:33:37,b'@rebecca_judd @JahnayCM thank youu!'
1161326383773229057,2019-08-13 17:19:20,b'@JahnayCM \xf0\x9f\x98\x80'
1155614690191523843,2019-07-28 23:03:07,b'@itshdott @OfficialChip thanks man'
1155586201174315008,2019-07-28 21:09:54,b'@089968Raph @OfficialChip Haha love!'
1155572404560814087,2019-07-28 20:15:05,b'@ZicoXT @OfficialChip Love!'
1155565709642149889,2019-07-28 19:48:29,b'@ASATTPod Haha thank you!'
1153798744602632193,2019-07-23 22:47:11,"b""@usernameisjc Love fammm and \xf0\x9f\x98\x82\xf0\x9f\x98\x82 same loool can't wait"""
1142170631280218112,2019-06-21 20:41:13,b'@usernameisjc lool either way we both wizards'
1142166554869678081,2019-06-21 20:25:01,b'@usernameisjc hahhaa yeah that makes more sense lool safeee'
1142164897091989506,2019-06-21 20:18:26,"b'@usernameisjc the ufo at the end lool a wizard abducted by aliens you kna, mental lol'"
1141944156874579968,2019-06-21 05:41:17,b'@LifeOfShan Haha \xe2\x9d\xa4'
1121888147229564938,2019-04-26 21:25:52,b'@LifeOfShan @YS_BOMB11 \xf0\x9f\x98\x80 love for that!'
1107727967667609601,2019-03-18 19:38:22,b'@RBNVIII @OfficialChip love!'
1095833994384543750,2019-02-13 23:55:58,b'@OfficialChip #Ten10 Tour - Been a sick few days on the road #TourVisuals #LondonNext https://t.co/HkO1Bf0VBa'
1090014619547119619,2019-01-28 22:31:51,b'@MsFitzieBaby \xf0\x9f\x98\x80'
1037701782258892800,2018-09-06 13:59:19,b'@FrantikAce Haha yeah im alive'
1037689454587129861,2018-09-06 13:10:19,"b'@Reubb_ @NepentheZ thanks Reub, hey man'"
1037689255009472513,2018-09-06 13:09:32,b'@wizetheproducer haha love bro'
1017770751489986561,2018-07-13 14:00:31,b'@Reubb_ @AlexFrancesXTUX @TaureanRoye Hahahahah'
