id,created_at,text
1241864149526872064,2020-03-22 23:07:40,"b""@realssw2000 @WahidSakaKhan @BernieSanders Venezuela is not America, Venezuela has no agriculture to support it's o\xe2\x80\xa6 https://t.co/WAOtrosGaD"""
1241574428187791360,2020-03-22 03:56:25,"b'RT @AkinolaGG: ""You\'ve become the very thing you\'ve sworn to destroy!"" https://t.co/pWtDLYWGTM'"
1241573623229448194,2020-03-22 03:53:13,b'@djliedell Facts bro'
1241509927975297027,2020-03-21 23:40:07,b'They got me surrounded https://t.co/JhYnmqTXY5'
1241194204119937024,2020-03-21 02:45:33,"b""@HouseOfSchwa @Jim222001 @miles4ok5 It is untrue, but can't help believe that he thinks this way, from how his cult acts."""
1241193446444019714,2020-03-21 02:42:32,b'RT @NoGamePaul: #ThankYouPresidentTrump for being the worst president we could have ever asked for\n https://t.co/QZX9kbBNsw'
1241110619979493378,2020-03-20 21:13:25,"b""@ggqf1 I'm down %30, help"""
1241101272830394368,2020-03-20 20:36:16,b'Thank goodness my test results came in negative \xf0\x9f\x98\x93\xf0\x9f\x98\xb7\xf0\x9f\x92\xaa https://t.co/PDmVvnF6oe'
1241097458119102464,2020-03-20 20:21:07,b'RT @sergeytbh: *California and New York shut down due to #CoronaCrisis*\n\nFlorida: https://t.co/7YlSvJ3dJ5'
1240599072731475968,2020-03-19 11:20:42,b'@thereal_waffles You know I keep that thang on me https://t.co/NdaLs7X39R'
1240598352619864070,2020-03-19 11:17:51,b'@gremlinarts Aww'
1240598107617927170,2020-03-19 11:16:52,"b'@OnlyOneJob Dude everytime I see your selfie you get even more squinty, trying to catch those BTS chicks or something?'"
1240592404253757440,2020-03-19 10:54:12,b'Everyday on Twitter trending. https://t.co/y8KIHQz1is'
1240255523427139584,2020-03-18 12:35:34,"b'Well, looks like alcoholism is in my immediate future. https://t.co/lckpIjsq4D'"
1240254988041039872,2020-03-18 12:33:26,"b""@ggqf1 Don't"""
1240024871750565893,2020-03-17 21:19:02,b'Dont you hate it when you spill while chugging water? https://t.co/gfcGV8mbri'
1240024410284851201,2020-03-17 21:17:12,"b""RT @RubberNinja: Add my public hygienic covid-19 BTTV emotes to your channel! (Thread below I'm adding them as I'm making them this week).\xe2\x80\xa6"""
1240023780740792321,2020-03-17 21:14:42,b'@Drizoon @milxetoast HE WAS A SKATERBOY'
1239743021316550656,2020-03-17 02:39:04,b'@drekwiz You need a journey'
1239671953641951234,2020-03-16 21:56:40,"b'RT @DeanObeidallah: REMINDER: First case of coronavirus in US was Jan 20.  Trump was asked on Jan 22 on CNBC about virus and said ""We have\xe2\x80\xa6'"
1239494726480326656,2020-03-16 10:12:26,b'RT @GlamandGore: #BernieWon the #DemDebate . Pass it on. https://t.co/COHV9en1hk'
