id,created_at,text
1241867457767198720,2020-03-22 23:20:49,b'#NewProfilePic https://t.co/jplBJTNB9I'
788784399378739200,2016-10-19 16:50:30,b'https://t.co/0h1P5YYpAA'
788784174463352832,2016-10-19 16:49:36,b'https://t.co/1OComxo7No'
788783709520531456,2016-10-19 16:47:45,b'At Dashera https://t.co/Uq2vOFNg4X'
768087932926365697,2016-08-23 14:10:08,b'https://t.co/NNHS36beyQ'
596945616309063680,2015-05-09 07:51:40,b'Toataly Hot Day My God 46 Degree Temp In Bharuch Gujarat'
588182986631340033,2015-04-15 03:32:06,b'http://t.co/gqocXO9CD9'
588182979844952067,2015-04-15 03:32:04,b'http://t.co/9pacfAgzWL'
588025540222779393,2015-04-14 17:06:28,b'http://t.co/hNqPVzP8vW'
582226023204302848,2015-03-29 17:01:15,b'http://t.co/KvliOEqLbq'
581844472910069760,2015-03-28 15:45:07,b'@7bhabesh7 ya thnkx Bro'
