id,created_at,text
1242215223718817792,2020-03-23 22:22:43,b'@ZhengYaohui @Boblish3Boblish @guendouzx @UtdGeraId Did you forget how to make coherent sentences aswell?'
1242189908929843205,2020-03-23 20:42:07,b'@ZhengYaohui @Boblish3Boblish @guendouzx @UtdGeraId Not sure you know what incompetent means'
1242185723026997252,2020-03-23 20:25:29,b'@ZhengYaohui @Boblish3Boblish @guendouzx @UtdGeraId I\xe2\x80\x99ve never seen more cringe in my life. Fella actually called his boyfriend hahahah'
1242141083888386048,2020-03-23 17:28:06,b'RT @GamingGiver: \xf0\x9f\x8e\x81 MASSIVE GIVEAWAY \xf0\x9f\x8e\x81 \n\nI\xe2\x80\x99m giving away 3 of these bundles\n\n- Follow me @GamingGiver and rt\n- Follow @ItsVeNooX \n\nTurn on n\xe2\x80\xa6'
1242140799103569927,2020-03-23 17:26:59,b'@Boblish3Boblish @guendouzx @UtdGeraId Yikes'
1242136621845221376,2020-03-23 17:10:23,b'@guendouzx @Boblish3Boblish @UtdGeraId It actually hurts to see \xf0\x9f\x98\x82'
1242136387337555968,2020-03-23 17:09:27,b'@Boblish3Boblish @guendouzx @UtdGeraId It\xe2\x80\x99s bait retard'
1241889047930449921,2020-03-23 00:46:36,b'@Jay_RMA @OdoiSZN20_ yikes'
1241859452258615297,2020-03-22 22:49:00,b'@Jay_RMA @OdoiSZN20_ Does he play for your team anymore? Why do you give a shit. You\xe2\x80\x99re not a Real Madrid supporter\xe2\x80\xa6 https://t.co/wNMoEMNnsu'
1241028732573409282,2020-03-20 15:48:01,b'RT @camgrilll: the government is making us quarantine so they can change the batteries in the pigeons'
1241027930928578560,2020-03-20 15:44:50,b'RT @Robboszn26: If this tweet is balanced in 12 hours I\xe2\x80\x99ll give everyone who participated a shoutout! https://t.co/6GRCYOdV07'
1240780002456633345,2020-03-19 23:19:39,b'@Dino_Visco @_shameless_man @City_Xtra @MirrorFootball Yes becuase soo many get that far. Trying to be the moral on\xe2\x80\xa6 https://t.co/baytxreoCD'
1240778775392124930,2020-03-19 23:14:47,b'@1sttimedad @J_Gomez97 That\xe2\x80\x99s croke park lad'
1240665340046123014,2020-03-19 15:44:02,b'@andrewrobertso5 #askrobbo Are you thinking of becoming a manager or a coach after you retire?'
1240657119881371650,2020-03-19 15:11:22,b'@hasselldan1983 @ffs_Ieroy https://t.co/AMAJ0M7hhv'
1240656786715299845,2020-03-19 15:10:02,b'@CFCBucharest @AFCboston @ffs_Ieroy Dinamo&gt;&gt;&gt;&gt;'
1240384974915846144,2020-03-18 21:09:57,b'@HugoLUHG Yikes'
1240065663449866241,2020-03-18 00:01:08,b'@BabaTwe @utd_nv @MikeLUHGv7 Yikes'
1240065568432144384,2020-03-18 00:00:45,b'@BabaTwe @utd_nv @MikeLUHGv7 Yikes'
1240064567235002369,2020-03-17 23:56:46,b'@Cameron68643562 @DavidMeyler @Castro1021 @masongreenwood Will be shit becuase Castro is in it'
1240063793302056967,2020-03-17 23:53:42,b'@CaroleS70968878 @Eamonn120 @PaulDonnellySF Guess you\xe2\x80\x99re easily impressed'
1240046844522246149,2020-03-17 22:46:21,"b'RT @PaulDonnellySF: What I would have liked to hear this evening, Support for people with a rent/ mortgage holiday, support  from banks for\xe2\x80\xa6'"
1240041632734609415,2020-03-17 22:25:38,b'@Hamza_AFC @r10dinho88 Not a regular'
1240040890871287811,2020-03-17 22:22:41,b'@Eamonn120 @PaulDonnellySF Was he though? Was HE outstanding?'
1239978831676444673,2020-03-17 18:16:05,b'@IlkayGuendogan @DeBruyneKev @KMbappe \xf0\x9f\xa4\xa1'
1239924241161687047,2020-03-17 14:39:10,b'@phd_in_football @TheSaItIsHere For a data analyst you\xe2\x80\x99re dense.'
1239647787475701761,2020-03-16 20:20:38,b'@PapaPioche Nah hear'
1239647208024215562,2020-03-16 20:18:20,b'@actiondan8 @FootballManager West African &gt;&gt;&gt;&gt;'
1239647132656848896,2020-03-16 20:18:02,b'@FootballManager Demand more.'
1239646891706638336,2020-03-16 20:17:05,b'@PapaPioche Hear'
1239288780865110017,2020-03-15 20:34:04,b'@ethandrewlfc @gavinm9 @MCM1333 @Tw3rcazette @NiallComps Are they not talking about club wage aswell?'
1239277963125850112,2020-03-15 19:51:05,b'@ethandrewlfc @gavinm9 @MCM1333 @Tw3rcazette @NiallComps In the leagues etc they make more revenue aswell you didn\xe2\x80\x99t take that into account.'
1239270957124108289,2020-03-15 19:23:15,"b'RT @JoshWoogsDiving: They need to just merge both games, men and women into their be gender friendly game.  Then we\xe2\x80\x99ll see what this fuckin\xe2\x80\xa6'"
1238614437944229888,2020-03-13 23:54:29,b'@nufcoliverr @BenWebbLFC @TeleFootball @BenRumsby @SamWallaceTel @JBurtTelegraph @Matt_Law_DT HAHAHAHAH'
1238015135689650177,2020-03-12 08:13:04,b'@kingkhaldoon_ @dj_turkey360 @bernardooooV3 https://t.co/njmjKIGoPB'
1237880160327585792,2020-03-11 23:16:43,b'@kingkhaldoon_ @dj_turkey360 @bernardooooV3 Your trophies were all won by cheating hahaha'
1237879178084732928,2020-03-11 23:12:49,b'@hamza_mse @Mony48410017 @lfcwiII @IconicGreenwood Ye we watched 2 different games.'
1237879092688474113,2020-03-11 23:12:29,b'@philcurtisuk @bubbIxs @RedFromThe6 We have to move on as a group but it\xe2\x80\x99s his fault and is mainly on his shoulders.'
1237876967275290628,2020-03-11 23:04:02,b'@MrLasagna_ @Mony48410017 @lfcwiII @IconicGreenwood ? Where\xe2\x80\x99s the gif'
1237875286344994817,2020-03-11 22:57:21,b'@MrLasagna_ @Mony48410017 @lfcwiII @IconicGreenwood Come back to me https://t.co/XH8st8PKsu'
