id,created_at,text
1241404339702423552,2020-03-21 16:40:33,b'Michael replaced this old gate style whole house shut off with a new ball valve style and a access panel.  Great jo\xe2\x80\xa6 https://t.co/VPBvSXYYKv'
1241403086373031937,2020-03-21 16:35:34,"b'A new tubular drain and water line connections for a renovation in North Raleigh.  Clean and organized, great job S\xe2\x80\xa6 https://t.co/795kNkOUaz'"
1241178705692708866,2020-03-21 01:43:58,"b'@westbrookwayne repaired this gas line in Wake Forest, NC.  Always have a professional install your gas line so it\xe2\x80\xa6 https://t.co/iiUMbeZJaM'"
1241175241600176133,2020-03-21 01:30:12,b'@westbrookwayne and Deshaun diagnosed and repaired these tankless water heaters for a local restaurant here in Rale\xe2\x80\xa6 https://t.co/98wdZPYbtf'
1241174290302734336,2020-03-21 01:26:25,"b'Michael, Deshaun and Felix digging up and repairing a broken sewer line in Raleigh NC.  Call us for all your drain\xe2\x80\xa6 https://t.co/EiwW9fwjZ9'"
1241173821891231744,2020-03-21 01:24:33,b'Deshaun and @westbrookwayne running new roof drains in Cary NC. https://t.co/YH0hahdxFC'
1238465695077109761,2020-03-13 14:03:25,"b""We take pride in our work here at Matthew's Plumbing Solutions.  Here is Deshaun cleaning and descaling a\xe2\x80\xa6 https://t.co/m7IvyWO8Ch"""
1235378988064915456,2020-03-05 01:37:57,"b'A new tankless install for homeowners in North Cary, NC by @westbrookwayne and Deshaun.  We loved seeing  their fac\xe2\x80\xa6 https://t.co/dqf560m1rx'"
1231759784195563520,2020-02-24 01:56:32,b'What an incredible game! https://t.co/TMe3uqHVRe'
1230291358470066179,2020-02-20 00:41:32,b'RT @MatthewsPlumbNC: @westbrookwayne and Deshaun installed this shiny new @NavienTankless water heater for a lucky homeowner in North Ralei\xe2\x80\xa6'
1230291246561865728,2020-02-20 00:41:05,b'@westbrookwayne and Deshaun installed this shiny new @NavienTankless water heater for a lucky homeowner in North Ra\xe2\x80\xa6 https://t.co/i43utpKKM8'
1225608547859357698,2020-02-07 02:33:43,"b'The weather is fluctuating, but not our commitment to quality work.  Here are a few photos from a water heater inst\xe2\x80\xa6 https://t.co/KVxiblugBj'"
1224413961686343683,2020-02-03 19:26:51,b'Uros and Deshaun installed this 50 gallon direct vent water heater for a Raleigh homeowner who was without hot wate\xe2\x80\xa6 https://t.co/w7qYH8aUt4'
1222288491524100098,2020-01-28 22:41:00,"b""Another @NavienTankless water heater install by Sam and Tyler.  It's a great looking install guys!  Call Matthew's\xe2\x80\xa6 https://t.co/DCSuwJIIhW"""
1220893179525976064,2020-01-25 02:16:31,"b""Here at Matthew's Plumbing Solutions we are trained and equipped to diagnose and repair your tankless water heater.\xe2\x80\xa6 https://t.co/ZwlnaJtsDQ"""
1211097369154064384,2019-12-29 01:31:28,b'@westbrookwayne is on call this weekend.  He installed this @ruud 50 gallon direct vent for one of our new customer\xe2\x80\xa6 https://t.co/wKnozbbWZZ'
1210739314574782474,2019-12-28 01:48:41,b'Uros and @westbrookwayne working hard to run a new water line for a homeowner in Raleigh!  Thank you for your hard\xe2\x80\xa6 https://t.co/JnwqffXjpL'
1210403506500390917,2019-12-27 03:34:18,b'@NavienTankless'
1210403159157465088,2019-12-27 03:32:56,b'A Raleigh homeowner had us out to diagnose their tankless water heater.  We are certified to install and repair you\xe2\x80\xa6 https://t.co/oxrbcGKj0J'
1210402364089360386,2019-12-27 03:29:46,b'An after hours water heater installation for a homeowner in Raleigh.  Call us for all your water heater needs. https://t.co/rOaoHatlqK'
1206930865462423552,2019-12-17 13:35:16,b'As a team we installed four water heaters yesterday.  Call us at 1-919-977-1896 for all your water heater needs.  W\xe2\x80\xa6 https://t.co/XW6y2oi8tS'
1190094700851683328,2019-11-01 02:34:22,b'Deshaun and Tyler installed this water heater inside an attic for a Apex homeowner.  Now they can take a hot shower\xe2\x80\xa6 https://t.co/hvTWdXeIBC'
1190094164718997506,2019-11-01 02:32:14,"b'We test all sizes of backflow assemblies.  Call us for your recertification, new install or backflow repair today! https://t.co/a1rUnso47W'"
1184166622652747776,2019-10-15 17:58:18,"b'@westbrookwayne finished the trim-out for this newly tiled shower.  From rough-in to trim-out, we do it all.  Call\xe2\x80\xa6 https://t.co/pY8otLbOWg'"
1181740187245797376,2019-10-09 01:16:30,b'@westbrookwayne and Moises replaced a leaking water heater for this more efficient and highly rated water heater.\xe2\x80\xa6 https://t.co/k5ZbG3p7Ww'
1181739620293324802,2019-10-09 01:14:15,"b""Mahendra, Tyler, Blake and @westbrookwayne repaired a Cary homes' sewer line today.  Now everything flows with no b\xe2\x80\xa6 https://t.co/xLpMmeSbQZ"""
1177380314441801728,2019-09-27 00:31:56,b'Blake and Deshaun installed this @NavienTankless water heater for homeowners in Wake Forest today.  Great job guys.\xe2\x80\xa6 https://t.co/Xy3qMbAHFI'
1176181187854962688,2019-09-23 17:07:02,b'@westbrookwayne and Jason installed a new shower valve and shower base in a condo at The Cotton Mill Condos in\xe2\x80\xa6 https://t.co/m5BlyNhbLu'
1175159002663202821,2019-09-20 21:25:14,b'We are renovating a bathroom and @westbrookwayne and Jason installed this new shower valve.  Call us if you are thi\xe2\x80\xa6 https://t.co/xhSSKhShHk'
1174139108593209346,2019-09-18 01:52:32,b'A great day to be in downtown Raleigh.  @DowntownRaleigh #matthewsplumbingsolutions https://t.co/OsW9YwyAkO'
1174005161473302533,2019-09-17 17:00:17,b'@westbrookwayne and Jason repaired this broken drain line.  Great job guys!  #matthewsplumbingsolutions https://t.co/a7cOn8nnLk'
1172525117760516096,2019-09-13 14:59:07,"b'@westbrookwayne and Deshaun  diagnosed and repaired this tankless water heater in Raleigh, NC.\xe2\x80\xa6 https://t.co/IFSpwm1yBo'"
1172495063936577536,2019-09-13 12:59:41,"b""Sam and Jason installed this tub with tub valve for this homeowner in Raleigh NC.  It looks sharp and we can't wait\xe2\x80\xa6 https://t.co/sU8U7BeyxL"""
1172154618496897024,2019-09-12 14:26:53,b'Testing a backflow for a homeowner in Raleigh.  #matthewsplumbingsolutions https://t.co/cxo1TjAlLm'
1172144560207749124,2019-09-12 13:46:55,b'Blake installed this @NavienTankless water heater at a home in Durham.  Great job Blake.  When you are ready for th\xe2\x80\xa6 https://t.co/h8XhfL117g'
1171786986237124608,2019-09-11 14:06:02,b'https://t.co/DafGvJPqVJ'
1171401227541897216,2019-09-10 12:33:10,b'We tested four backflows yesterday.  Is yours due for recertification?  Call us today!  #matthewsplumbingsolutions https://t.co/ilnxFS8oVh'
1170096043981246465,2019-09-06 22:06:50,b'Sam and Jason installed this tub with a tub &amp; shower valve at another rough-in job in Cary.  It looks great and is\xe2\x80\xa6 https://t.co/m8S7iNS88a'
1170016605155315715,2019-09-06 16:51:11,"b'If #HurricaneDorain has damaged your plumbing in any way, we are here to help.  We always call @NC_811 before we di\xe2\x80\xa6 https://t.co/u3uXnjlxyT'"
1169675560827703297,2019-09-05 18:15:59,"b'Zech and Deshaun pulled this collection of roots out of a main sewer line in Wake Forest, NC.\xe2\x80\xa6 https://t.co/348TQszNfb'"
1169672066913755139,2019-09-05 18:02:06,"b'Sam finishing up a tankless installation in Raleigh.  Tank or tankless, we can install them all for your home or bu\xe2\x80\xa6 https://t.co/OaPogQIdlo'"
1169405950886850561,2019-09-05 00:24:39,"b'Calm before the storm. Worried about your roof drains handling inches of storm water? Have no fear, MPS has the too\xe2\x80\xa6 https://t.co/GgHYB74tbM'"
1169076553340334081,2019-09-04 02:35:45,"b""Sam worked on roughing-in this beauty.  A new shower pan, shower bench and shower valve.  We can't wait to see the\xe2\x80\xa6 https://t.co/Q5LuwAQp4f"""
1168606498618052608,2019-09-02 19:27:55,"b'Happy Labor Day 2019!  We are very grateful for our employees and the hard work they put in each day!  Have a safe,\xe2\x80\xa6 https://t.co/XpXpj4HAk5'"
1167610643110871040,2019-08-31 01:30:45,"b""Sam inspecting his recent work.  At Matthew's Plumbing Solutions we can renovate your bathroom from rough-in to tri\xe2\x80\xa6 https://t.co/gmLoV0YRTL"""
1167609894389919750,2019-08-31 01:27:46,"b'Sam and Chris roughed-in this bathroom for a couple in Cary, NC.  #matthewsplumbingsolutions https://t.co/4qq3GWYeVQ'"
1166872509058338816,2019-08-29 00:37:40,b'Zech working on a new main waterline for a homeowner in North Raleigh.  The right machine makes all the difference.\xe2\x80\xa6 https://t.co/qVEfRfr3u9'
1166871388176748544,2019-08-29 00:33:13,"b'Matthew Walls, Plumber and Owner of @MatthewsPlumbNC starting a dig job in Clayton, NC.  We always contact @NC_811\xe2\x80\xa6 https://t.co/yQlnVtq16E'"
1166869279976960000,2019-08-29 00:24:50,b'Blake and @westbrookwayne working on the new water and sewer service for the addition to this Raleigh home in the F\xe2\x80\xa6 https://t.co/TVc3FJLbjn'
1166866549770260481,2019-08-29 00:13:59,"b'@westbrookwayne and Deshaun certified a 3"" domestic backflow for @lifetimefitness in Apex, NC.\xe2\x80\xa6 https://t.co/AA903owjQN'"
1166818970235748359,2019-08-28 21:04:55,"b""Meet the Matthew's Plumbing Solutions Team! https://t.co/Pn6EoXVHkE"""
