id,created_at,text
1242140869664309248,2020-03-23 17:27:15,b'@TuesdayClub_ @caitrionambalfe @Spotify @ApplePodcasts @iTunes @Outlander_STARZ @FordvFerrari https://t.co/iUsxVC157e'
1242137131927121921,2020-03-23 17:12:24,"b'@caitrionambalfe That looks amazing! I made ""jumbo-laya"" yesterday - gotta love leftovers! https://t.co/KdgjqN9itN'"
1242136646621028354,2020-03-23 17:10:28,b'RT @Caspar_Lee: WASH YOUR HANDS WASH YOUR HANDS WASH YOUR HANDS WASH YOUR HANDS WASH YOUR HANDS WASH YOUR HANDS WASH YOUR HANDS WASH YOUR H\xe2\x80\xa6'
1241883129671016455,2020-03-23 00:23:05,b'@Keidi_Keating any advise for someone writing a book?'
1241880090956500997,2020-03-23 00:11:01,"b'@SamHeughan if you could time travel, would you rather go back in time for forward to the future? #AskSamHeughan'"
1241878439612858384,2020-03-23 00:04:27,"b""@elaineroy324 @SamHeughan Omg is this @caitrionambalfe 's cat eddie???"""
1241873119167557632,2020-03-22 23:43:19,b'RT @_ColeBennett_: i give it another week before we all start going crazy'
1241866128470786056,2020-03-22 23:15:32,"b""@SamHeughan What's your favorite thing to cook? #AskSamHeughan"""
1241822512532635650,2020-03-22 20:22:13,b'#MyQuarantineInAGif https://t.co/FUHv8sQpRh'
1241820139332358144,2020-03-22 20:12:47,b'@JeffreeStar @pulte Sending love right back to ya @JeffreeStar !'
1241819683264790529,2020-03-22 20:10:59,b'@SamHeughan what has your daily routine looked like as of late (with this whole coronavirus thing going on) ?? #AskSamHeughan'
1241797296616022016,2020-03-22 18:42:01,"b""Ever have that moment when there's many different projects you'd like to do but your unsure of what to do first? Or\xe2\x80\xa6 https://t.co/ie9KMZO0JV"""
1241796341464018944,2020-03-22 18:38:13,b'@CatsandKilts @Writer_DG @Outlander_STARZ @SamHeughan @caitrionambalfe This is great! Love the creativity that went\xe2\x80\xa6 https://t.co/7eruPGnHaK'
1241789062878461953,2020-03-22 18:09:18,b'@LisaAnnWalter @Writer_DG I was just going to say! Love Diana for her honesty!!'
1241788718366756867,2020-03-22 18:07:56,b'@pulte Big thanks to you too Bill!!'
1241780142810284032,2020-03-22 17:33:51,"b'RT @JeffreeStar: I\xe2\x80\x99m going to give away $30,000 to 1 random person who retweets this tweet AND follows Twitter Philanthropist @Pulte and Me\xe2\x80\xa6'"
