id,created_at,text
1242087335623352320,2020-03-23 13:54:32,b'RT @Justbestials: https://t.co/XGwjOHAR1v'
1242086885566144513,2020-03-23 13:52:45,b'Squeezie ??\xf0\x9f\x98\xb3\xf0\x9f\x98\xb3 https://t.co/8iKZdpzekP'
1242064284118650880,2020-03-23 12:22:56,b'@sourisseauma @kilaaaam https://t.co/0WNrWfKMBi'
1242060476764299270,2020-03-23 12:07:48,b'@sourisseauma @kilaaaam c toi \xc3\xa0 chaque fois t sous les tweets de malik et iron'
1242058104935780354,2020-03-23 11:58:23,b'@sourisseauma @kilaaaam aaaaa le gay'
1241866016268959747,2020-03-22 23:15:05,b'pls @BarackObama follow me'
1241865734441009154,2020-03-22 23:13:58,b'@takisvwa youhou'
1241865403183267843,2020-03-22 23:12:39,b'@takisvwa montre (j\xe2\x80\x99ai pas ton pv lolilol \xf0\x9f\x91\x89\xf0\x9f\x8f\xbc\xf0\x9f\x91\x88\xf0\x9f\x8f\xbc)'
1241861644973727750,2020-03-22 22:57:43,b'@IronDeZz3 berk'
1241861600497238016,2020-03-22 22:57:32,b'RT @LilNaranciaa: Quand je parle \xc3\xa0 un compte Fake de meuf sauf que je reconnais les nudes de ma cousine'
1241861371341549568,2020-03-22 22:56:38,b'@IronDeZz3 sale gay de merde https://t.co/IGbVViB3f7'
1241860158722097157,2020-03-22 22:51:49,b'@IronDeZz3 @NoTryCiPur moi ossi'
1241860056502673417,2020-03-22 22:51:24,b'RT @NoTryCiPur: @IronDeZz3 @NEYZUWU2eDuNom Sous merde va'
1241859968799834112,2020-03-22 22:51:03,"b""RT @KazukiEnigma: @TeufeurSoff Le genre de gay fofolle que j'ai envie de balayer en le choppant par ses giga oreilles"""
1241859864881770496,2020-03-22 22:50:39,b'@IronDeZz3 :\xe2\x80\xa2{ eh ca fait un clown'
1241859489264959488,2020-03-22 22:49:09,b'@IronDeZz3 nn nn'
1241859267638038528,2020-03-22 22:48:16,b'euh @IronDeZz3 https://t.co/tjTeW3xsfM'
1241856748358643713,2020-03-22 22:38:16,b'just-pizzaa &gt;&lt; https://t.co/Y67xC9kWi1'
1241856377087234049,2020-03-22 22:36:47,"b""RT @Neeskuike: Seuls les vrais ont gard\xc3\xa9s leurs comptes avec un nom d'utilisateurs \xc3\xa9clat\xc3\xa9"""
1241855590965686274,2020-03-22 22:33:40,b'@kilaaaam hihi ^^'
1241854741182918663,2020-03-22 22:30:17,b'#NewProfilePic https://t.co/MgqIBbSPHE'
1241854494910054400,2020-03-22 22:29:18,b'https://t.co/UbnFCITaTy https://t.co/KeO07UKKDu'
1241853743571914752,2020-03-22 22:26:19,b'@IronDeZz3 ok on fait comme si tu m\xe2\x80\x99as tag'
1241853438964764673,2020-03-22 22:25:07,b'RT @polnvreff: Brutal retour \xc3\xa0 la r\xc3\xa9al pour la jeune maelys https://t.co/ZtngCKZpXG'
1241680471655960577,2020-03-22 10:57:48,b'empty ez https://t.co/POT6ABn6oq'
1241679912483815424,2020-03-22 10:55:35,"b'RT @binkscross: Il commence, par te dire ""confine toi""\xf0\x9f\xa5\xba\xf0\x9f\x92\x95 puis il enl\xc3\xa8ve le ""toi"" \xf0\x9f\x98\x94\xf0\x9f\x92\x94 donc t\'as plus de maison \xf0\x9f\x98\x96\xf0\x9f\x98\xbf puis il enl\xc3\xa8ve le ""ne"" \xf0\x9f\x98\xaa\xf0\x9f\x92\x94 e\xe2\x80\xa6'"
